row_index,sqli_type,db_engine,confidence,reasoning
7260,union_based,generic,0.7,union_null
7261,boolean_based,generic,0.5,order_by
7262,boolean_based,generic,0.5,or_equality
7263,boolean_based,oracle,0.7,elt_boolean
7264,time_blind,oracle,0.9,dbms_pipe
7265,boolean_based,generic,0.5,where_equality
7266,boolean_based,generic,0.5,where_equality
7267,time_blind,oracle,0.9,dbms_pipe
7268,boolean_based,generic,0.5,or_equality
7269,heavy_query,db2,0.7,db2_sysjoin
7270,time_blind,mysql,0.7,rlike_sleep
7271,boolean_based,generic,0.5,order_by
7272,boolean_based,generic,0.5,where_equality
7273,time_blind,postgresql,0.7,regexp_substring
7274,boolean_based,generic,0.5,where_equality
7275,boolean_based,generic,0.5,order_by
7276,time_blind,mysql,0.7,rlike_sleep
7277,time_blind,mysql,0.9,benchmark
7278,boolean_based,mysql,0.7,mysql_db
7279,union_based,generic,0.7,union_null
7280,heavy_query,mssql,0.7,mssql_sysjoin
7281,heavy_query,generic,0.7,domain_join
7282,time_blind,mysql,0.7,elt_sleep
7283,time_blind,postgresql,0.7,regexp_substring
7284,boolean_based,generic,0.5,elt_equality
7285,time_blind,mysql,0.9,sleep_time
7286,time_blind,mysql,0.7,elt_sleep
7287,time_blind,oracle,0.9,dbms_pipe
7288,boolean_based,mssql,0.7,case_cast
7289,time_blind,mysql,0.7,rlike_sleep
