row_index,sqli_type,db_engine,confidence,reasoning
150,benign,generic,0.60,"LIKE is SQL keyword not attack standalone"
151,boolean_blind,generic,0.80,"username LIKE char(37) for boolean blind SQLi"
152,time_blind,postgresql,0.95,"pg_sleep for PostgreSQL time blind SQLi"
153,boolean_blind,mysql,0.80,"$+<\ for boolean-based blind SQLi"
154,boolean_blind,generic,0.90,"or 3=3 is generic boolean blind SQLi"
155,boolean_blind,mysql,0.80,"( .\" obfuscation for boolean blind SQLi"
156,boolean_blind,mysql,0.80,"$+ ) for boolean-based blind SQLi"
157,benign,generic,0.60,"exec sp requires stored proc context"
158,union_based,mssql,0.85,"\+<$ + @@VERSION for MSSQL union SQLi"
159,boolean_blind,mysql,0.80,"\<$ for boolean-based blind SQLi"
160,union_based,mysql,0.85,"&&1 + version() for union SQLi"
161,auth_bypass,generic,0.95,"admin' or 1=1/* is auth bypass"
162,time_blind,mssql,0.95,"waitfor delay '0:0:10' for MSSQL time blind"
163,union_based,mssql,0.85,"\ ) + @@VERSION for MSSQL union SQLi"
164,union_based,mysql,0.80,".1$_ union select for union SQLi"
165,boolean_blind,generic,0.80,"and 1 in (select) for boolean blind SQLi"
166,auth_bypass,generic,0.95,"hi') or ('a'='a for auth bypass"
167,error_based,oracle,0.95,"utl_inaddr + all_tab_columns for Oracle error"
168,auth_bypass,mysql,0.95,"admin\"\" or 1=1 for MySQL auth bypass"
169,boolean_blind,generic,0.90,"\") or true-- is boolean blind SQLi"
170,union_based,mssql,0.85,"$ . + @@VERSION for MSSQL union SQLi"
171,boolean_blind,mysql,0.80,"({ obfuscation for boolean blind SQLi"
172,time_blind,postgresql,0.95,"pg_sleep for PostgreSQL time blind SQLi"
173,boolean_blind,mysql,0.80,"{.\" obfuscation for boolean blind SQLi"
174,time_blind,mysql,0.90,"sleep() for MySQL time blind SQLi"
175,boolean_blind,mysql,0.80,"<@. for boolean-based blind SQLi"
176,auth_bypass,generic,0.90,"admin\"\") or (\"1\"=\"1\"-- for auth bypass"
177,union_based,mysql,0.85,"<@.. union select for union SQLi"
178,rce,mssql,0.90,"xp_regread for MSSQL RCE via registry"
179,union_based,mysql,0.85,"@ 1 + version() for union SQLi"
