row_index,sqli_type,db_engine,confidence,reasoning
33330,error_based,oracle,0.9,cast for PostgreSQL injection
33331,error_based,oracle,0.95,xmltype for Oracle error extraction
33332,error_based,oracle,0.9,cast for PostgreSQL injection
33333,boolean_blind,oracle,0.8,dbms_utility.sqlid_to_sqlhash for blind
33334,boolean_blind,oracle,0.8,ctxsys.drithsx.sn for Oracle blind
33335,auth_bypass,generic,0.6,quote injection
33336,error_based,oracle,0.95,xmltype for Oracle error extraction
33337,error_based,oracle,0.95,xmltype for Oracle error extraction
33338,error_based,oracle,0.95,xmltype for Oracle error extraction
33339,error_based,oracle,0.9,cast for PostgreSQL injection
33340,error_based,oracle,0.95,xmltype for Oracle error extraction
33341,boolean_blind,oracle,0.8,dbms_utility.sqlid_to_sqlhash for blind
33342,auth_bypass,generic,0.6,wildcard injection
33343,boolean_blind,oracle,0.8,dbms_utility.sqlid_to_sqlhash for blind
33344,error_based,mssql,0.8,char for MSSQL encoding
33345,auth_bypass,generic,0.6,wildcard injection
33346,error_based,oracle,0.95,xmltype for Oracle error extraction
33347,boolean_blind,oracle,0.8,ctxsys.drithsx.sn for Oracle blind
33348,error_based,oracle,0.95,xmltype for Oracle error extraction
33349,auth_bypass,generic,0.6,wildcard injection
33350,auth_bypass,generic,0.6,quote injection
33351,error_based,oracle,0.9,cast for PostgreSQL injection
33352,boolean_blind,oracle,0.8,dbms_utility.sqlid_to_sqlhash for blind
33353,error_based,oracle,0.95,xmltype for Oracle error extraction
33354,boolean_blind,oracle,0.8,ctxsys.drithsx.sn for Oracle blind
33355,error_based,oracle,0.95,xmltype for Oracle error extraction
33356,auth_bypass,generic,0.6,wildcard injection
33357,error_based,oracle,0.95,xmltype for Oracle error extraction
33358,boolean_blind,oracle,0.8,ctxsys.drithsx.sn for Oracle blind
33359,error_based,oracle,0.95,xmltype for Oracle error extraction
