root_id,slot_name,slot_type,domain,constraint,purpose,corpus_role
PG_BOOL_R001,lhs,int,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R001,operator,cmp,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R001,rhs,int,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R002,lhs,int,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R002,operator,cmp,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R002,rhs,int,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R003,lhs,int,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R003,operator,cmp,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R003,rhs,int,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R004,lhs,int,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R004,operator,cmp,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R004,rhs,int,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R005,lhs,int,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R005,operator,cmp,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R005,rhs,int,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R006,lhs,text,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
