"id","sqli_type","db_engine","confidence"
"901","time_blind","mysql","1.00"
"902","time_blind","oracle","1.00"
"903","union_based","generic","0.85"
"904","boolean_blind","oracle","0.85"
"905","time_blind","mysql","1.00"
"906","time_blind","mssql","1.00"
"907","boolean_blind","generic","0.85"
"908","error_based","oracle","1.00"
"909","error_based","oracle","1.00"
"910","error_based","oracle","1.00"
"911","union_based","generic","1.00"
"912","error_based","oracle","1.00"
"913","error_based","oracle","1.00"
"914","error_based","oracle","1.00"
"915","error_based","oracle","1.00"
"916","error_based","oracle","1.00"
"917","error_based","postgresql","1.00"
"918","error_based","oracle","1.00"
"919","boolean_blind","generic","0.85"
"920","time_blind","mysql","1.00"
"921","boolean_blind","generic","0.70"
"922","error_based","oracle","1.00"
"923","error_based","oracle","1.00"
"924","boolean_blind","generic","0.85"
"925","error_based","oracle","1.00"
"926","error_based","oracle","0.85"
"927","time_blind","mysql","1.00"
"928","time_blind","mysql","1.00"
"929","error_based","oracle","1.00"
"930","time_blind","oracle","1.00"
"931","time_blind","sqlite","1.00"
"932","boolean_blind","mssql","0.85"
"933","boolean_blind","mssql","0.85"
"934","boolean_blind","oracle","0.85"
"935","boolean_blind","generic","0.85"
"936","boolean_blind","generic","0.70"
"937","error_based","oracle","1.00"
"938","error_based","oracle","1.00"
"939","error_based","postgresql","1.00"
"940","error_based","oracle","1.00"
"941","error_based","oracle","1.00"
"942","error_based","oracle","1.00"
"943","boolean_blind","postgresql","0.85"
"944","error_based","mssql","1.00"
"945","error_based","oracle","1.00"
"946","error_based","oracle","1.00"
"947","error_based","oracle","1.00"
"948","boolean_blind","generic","0.70"
"949","boolean_blind","generic","0.70"
"950","error_based","oracle","1.00"
"951","error_based","oracle","1.00"
"952","error_based","oracle","0.85"
"953","error_based","mysql","1.00"
"954","time_blind","mysql","0.85"
"955","error_based","oracle","1.00"
"956","error_based","mysql","0.85"
"957","union_based","mysql","1.00"
"958","boolean_blind","generic","0.70"
"959","time_blind","postgresql","1.00"
"960","union_based","mysql","1.00"
"961","error_based","postgresql","1.00"
"962","error_based","oracle","1.00"
"963","union_based","mysql","1.00"
"964","boolean_blind","generic","0.70"
"965","boolean_blind","generic","0.70"
"966","time_blind","mysql","0.85"
"967","union_based","generic","1.00"
"968","error_based","postgresql","1.00"
"969","boolean_blind","mysql","0.85"
"970","error_based","mssql","1.00"
"971","error_based","oracle","0.85"
"972","error_based","oracle","1.00"
"973","boolean_blind","mssql","0.85"
"974","error_based","oracle","1.00"
"975","boolean_blind","mysql","0.85"
"976","error_based","oracle","0.85"
"977","boolean_blind","mssql","0.85"
"978","boolean_blind","mysql","0.85"
"979","boolean_blind","mysql","0.85"
"980","time_blind","generic","0.85"
"981","error_based","oracle","1.00"
"982","union_based","mysql","1.00"
"983","error_based","oracle","1.00"
"984","error_based","oracle","0.85"
"985","error_based","oracle","1.00"
"986","union_based","mysql","1.00"
"987","time_blind","mysql","1.00"
"988","time_blind","oracle","1.00"
"989","time_blind","generic","0.85"
"990","error_based","oracle","1.00"
"991","time_blind","mysql","0.85"
"992","boolean_blind","mssql","0.85"
"993","boolean_blind","generic","0.70"
"994","error_based","mysql","0.85"
"995","boolean_blind","generic","0.85"
"996","error_based","oracle","1.00"
"997","error_based","oracle","0.85"
"998","boolean_blind","generic","0.70"
"999","time_blind","mysql","1.00"
"1000","boolean_blind","generic","0.70"
"1001","union_based","generic","1.00"
"1002","union_based","generic","1.00"
"1003","error_based","oracle","1.00"
"1004","error_based","oracle","1.00"
"1005","boolean_blind","mysql","0.85"
"1006","boolean_blind","generic","0.70"
"1007","time_blind","postgresql","1.00"
"1008","time_blind","mysql","1.00"
"1009","boolean_blind","generic","0.70"
"1010","error_based","oracle","1.00"
"1011","error_based","oracle","1.00"
"1012","boolean_blind","generic","0.70"
"1013","union_based","generic","1.00"
"1014","union_based","generic","1.00"
"1015","time_blind","mysql","1.00"
"1016","boolean_blind","generic","0.70"
"1017","boolean_blind","generic","0.70"
"1018","error_based","oracle","1.00"
"1019","error_based","oracle","1.00"
"1020","time_blind","mysql","1.00"
"1021","boolean_blind","oracle","0.85"
"1022","boolean_blind","generic","0.70"
"1023","boolean_blind","generic","0.70"
"1024","error_based","oracle","1.00"
"1025","union_based","generic","1.00"
"1026","error_based","oracle","1.00"
"1027","boolean_blind","generic","1.00"
"1028","error_based","oracle","1.00"
"1029","union_based","generic","1.00"
"1030","error_based","oracle","1.00"
"1031","error_based","postgresql","1.00"
"1032","time_blind","sqlite","1.00"
"1033","union_based","mysql","0.85"
"1034","error_based","oracle","1.00"
"1035","boolean_blind","mysql","0.85"
"1036","error_based","postgresql","1.00"
"1037","time_blind","mysql","1.00"
"1038","time_blind","mysql","1.00"
"1039","error_based","oracle","1.00"
"1040","error_based","postgresql","1.00"
"1041","error_based","oracle","1.00"
"1042","error_based","oracle","1.00"
"1043","error_based","oracle","1.00"
"1044","boolean_blind","mysql","0.85"
"1045","time_blind","mysql","1.00"
"1046","error_based","oracle","1.00"
"1047","error_based","postgresql","1.00"
"1048","error_based","oracle","1.00"
"1049","error_based","oracle","1.00"
"1050","boolean_blind","generic","0.70"
"1051","error_based","oracle","1.00"
"1052","boolean_blind","generic","0.85"
"1053","union_based","generic","1.00"
"1054","boolean_blind","generic","0.70"
"1055","error_based","oracle","1.00"
"1056","error_based","mysql","1.00"
"1057","error_based","oracle","1.00"
"1058","error_based","oracle","1.00"
"1059","time_blind","mysql","1.00"
"1060","error_based","oracle","1.00"
"1061","boolean_blind","generic","0.70"
"1062","union_based","generic","1.00"
"1063","error_based","oracle","1.00"
"1064","boolean_blind","generic","0.70"
"1065","error_based","oracle","1.00"
"1066","error_based","oracle","1.00"
"1067","boolean_blind","generic","0.70"
"1068","union_based","mysql","1.00"
"1069","boolean_blind","generic","0.70"
"1070","time_blind","postgresql","1.00"
"1071","boolean_blind","generic","0.85"
"1072","time_blind","sqlite","1.00"
"1073","error_based","oracle","1.00"
"1074","error_based","oracle","1.00"
"1075","boolean_blind","mssql","0.85"
"1076","error_based","oracle","1.00"
"1077","boolean_blind","generic","0.70"
"1078","boolean_blind","generic","0.70"
"1079","error_based","oracle","1.00"
"1080","boolean_blind","oracle","0.85"
"1081","error_based","oracle","1.00"
"1082","boolean_blind","generic","0.70"
"1083","boolean_blind","generic","0.70"
"1084","boolean_blind","generic","0.70"
"1085","error_based","oracle","1.00"
"1086","boolean_blind","generic","0.70"
"1087","error_based","postgresql","1.00"
"1088","error_based","oracle","1.00"
"1089","error_based","oracle","1.00"
"1090","error_based","postgresql","1.00"
"1091","error_based","oracle","1.00"
"1092","error_based","oracle","1.00"
"1093","union_based","mysql","1.00"
"1094","error_based","oracle","1.00"
"1095","boolean_blind","generic","1.00"
"1096","error_based","postgresql","1.00"
"1097","boolean_blind","generic","0.70"
"1098","error_based","oracle","0.85"
"1099","boolean_blind","mssql","0.85"
"1100","error_based","oracle","1.00"
"1101","union_based","mysql","1.00"
"1102","error_based","mysql","1.00"
"1103","union_based","generic","1.00"
"1104","error_based","oracle","1.00"
"1105","error_based","oracle","1.00"
"1106","error_based","mysql","1.00"
"1107","union_based","generic","1.00"
"1108","union_based","mysql","1.00"
"1109","error_based","oracle","1.00"
"1110","time_blind","mysql","1.00"
"1111","boolean_blind","generic","0.70"
"1112","time_blind","generic","0.85"
"1113","time_blind","mysql","1.00"
"1114","time_blind","mysql","1.00"
"1115","error_based","mysql","1.00"
"1116","time_blind","mysql","1.00"
"1117","error_based","oracle","1.00"
"1118","error_based","postgresql","1.00"
"1119","error_based","postgresql","1.00"
"1120","union_based","mysql","1.00"
"1121","error_based","oracle","1.00"
"1122","error_based","oracle","1.00"
"1123","union_based","mysql","1.00"
"1124","error_based","oracle","1.00"
"1125","union_based","mysql","1.00"
"1126","union_based","generic","0.85"
"1127","error_based","oracle","1.00"
"1128","error_based","oracle","1.00"
"1129","union_based","mssql","0.85"
"1130","boolean_blind","mssql","0.85"
"1131","error_based","oracle","1.00"
"1132","time_blind","mysql","1.00"
"1133","boolean_blind","generic","0.70"
"1134","time_blind","mysql","1.00"
"1135","error_based","oracle","1.00"
"1136","boolean_blind","mysql","0.85"
"1137","error_based","oracle","1.00"
"1138","boolean_blind","generic","0.70"
"1139","error_based","oracle","1.00"
"1140","error_based","oracle","1.00"
"1141","boolean_blind","generic","0.70"
"1142","time_blind","mysql","1.00"
"1143","error_based","postgresql","1.00"
"1144","boolean_blind","mysql","0.85"
"1145","time_blind","postgresql","1.00"
"1146","error_based","mssql","1.00"
"1147","error_based","oracle","1.00"
"1148","error_based","mssql","1.00"
"1149","boolean_blind","generic","0.70"
"1150","error_based","oracle","1.00"
"1151","time_blind","generic","0.85"
"1152","error_based","oracle","1.00"
"1153","error_based","postgresql","1.00"
"1154","error_based","postgresql","1.00"
"1155","error_based","oracle","1.00"
"1156","time_blind","generic","0.70"
"1157","error_based","oracle","1.00"
"1158","error_based","postgresql","1.00"
"1159","error_based","mysql","1.00"
"1160","error_based","mysql","1.00"
"1161","union_based","generic","1.00"
"1162","error_based","oracle","1.00"
"1163","error_based","postgresql","1.00"
"1164","time_blind","oracle","1.00"
"1165","error_based","oracle","1.00"
"1166","boolean_blind","generic","0.70"
"1167","boolean_blind","mysql","0.85"
"1168","boolean_blind","generic","0.70"
"1169","error_based","oracle","1.00"
"1170","error_based","oracle","1.00"
"1171","error_based","postgresql","1.00"
"1172","boolean_blind","mssql","0.85"
"1173","error_based","oracle","1.00"
"1174","error_based","mssql","1.00"
"1175","error_based","oracle","1.00"
"1176","error_based","oracle","1.00"
"1177","error_based","postgresql","1.00"
"1178","error_based","oracle","1.00"
"1179","union_based","generic","1.00"
"1180","error_based","oracle","1.00"
"1181","error_based","oracle","1.00"
"1182","error_based","oracle","1.00"
"1183","boolean_blind","generic","0.70"
"1184","error_based","postgresql","1.00"
"1185","error_based","oracle","1.00"
"1186","boolean_blind","mssql","0.85"
"1187","time_blind","mysql","1.00"
"1188","error_based","oracle","1.00"
"1189","time_blind","mysql","1.00"
"1190","time_blind","mysql","1.00"
"1191","error_based","oracle","1.00"
"1192","union_based","mysql","1.00"
"1193","error_based","postgresql","1.00"
"1194","union_based","generic","1.00"
"1195","error_based","postgresql","1.00"
"1196","time_blind","mysql","1.00"
"1197","error_based","oracle","1.00"
"1198","error_based","mssql","1.00"
"1199","union_based","generic","0.85"
"1200","boolean_blind","generic","0.70"
