id,sqli_type,db_engine,confidence
13001,error_based,oracle,1.0
13002,error_based,oracle,1.0
13003,boolean_blind,generic,0.85
13004,union_based,generic,0.85
13005,error_based,oracle,1.0
13006,time_blind,mysql,0.85
13007,error_based,mssql,0.85
13008,union_based,mysql,0.85
13009,time_blind,oracle,0.85
13010,error_based,oracle,1.0
13011,union_based,mysql,0.85
13012,boolean_blind,mysql,0.85
13013,union_based,generic,0.85
13014,error_based,oracle,1.0
13015,error_based,oracle,1.0
13016,error_based,oracle,1.0
13017,boolean_blind,mssql,0.85
13018,error_based,oracle,1.0
13019,error_based,oracle,1.0
13020,error_based,oracle,1.0
13021,boolean_blind,mssql,0.85
13022,boolean_blind,oracle,1.0
13023,boolean_blind,generic,0.85
13024,boolean_blind,postgresql,1.0
13025,time_blind,mysql,0.85
13026,error_based,oracle,1.0
13027,error_based,oracle,1.0
13028,time_blind,mysql,0.85
13029,time_blind,mysql,0.85
13030,error_based,oracle,1.0
13031,time_blind,mysql,0.85
13032,boolean_blind,postgresql,1.0
13033,error_based,mysql,0.85
13034,boolean_blind,postgresql,1.0
13035,error_based,oracle,1.0
13036,boolean_blind,generic,0.85
13037,boolean_blind,postgresql,1.0
13038,boolean_blind,generic,0.85
13039,time_blind,mysql,0.85
13040,boolean_blind,mssql,0.85
13041,error_based,oracle,1.0
13042,error_based,oracle,1.0
13043,error_based,oracle,1.0
13044,error_based,oracle,1.0
13045,error_based,oracle,1.0
13046,error_based,oracle,1.0
13047,union_based,mysql,0.85
13048,error_based,mssql,0.85
13049,error_based,oracle,1.0
13050,boolean_blind,mysql,0.85
13051,error_based,oracle,1.0
13052,error_based,oracle,1.0
13053,error_based,oracle,1.0
13054,union_based,mysql,0.85
13055,boolean_blind,generic,0.85
13056,time_blind,postgresql,0.85
13057,boolean_blind,oracle,1.0
13058,boolean_blind,postgresql,1.0
13059,error_based,oracle,1.0
13060,union_based,generic,0.85
13061,union_based,generic,0.85
13062,boolean_blind,generic,0.85
13063,time_blind,postgresql,0.85
13064,boolean_blind,mssql,0.85
13065,boolean_blind,generic,0.85
13066,error_based,oracle,1.0
13067,error_based,oracle,1.0
13068,boolean_blind,mysql,1.0
13069,boolean_blind,mssql,0.85
13070,error_based,oracle,1.0
13071,error_based,oracle,1.0
13072,error_based,oracle,1.0
13073,error_based,oracle,1.0
13074,boolean_blind,mysql,0.85
13075,error_based,oracle,1.0
13076,boolean_blind,generic,0.85
13077,error_based,oracle,1.0
13078,error_based,mysql,0.85
13079,error_based,oracle,1.0
13080,boolean_blind,generic,0.85
13081,union_based,mysql,0.85
13082,error_based,oracle,1.0
13083,boolean_blind,generic,0.85
13084,boolean_blind,postgresql,1.0
13085,time_blind,mysql,0.85
13086,error_based,oracle,1.0
13087,boolean_blind,generic,0.85
13088,error_based,oracle,1.0
13089,error_based,oracle,1.0
13090,time_blind,mysql,1.0
13091,error_based,oracle,1.0
13092,time_blind,mysql,0.85
13093,boolean_blind,generic,0.85
13094,error_based,oracle,1.0
13095,boolean_blind,mssql,0.85
13096,error_based,oracle,1.0
13097,error_based,oracle,1.0
13098,union_based,generic,0.7
13099,boolean_blind,oracle,1.0
13100,error_based,oracle,1.0
13101,error_based,mysql,0.85
13102,error_based,mssql,0.85
13103,time_blind,mysql,0.85
13104,time_blind,oracle,0.85
13105,boolean_blind,oracle,0.85
13106,error_based,oracle,1.0
13107,union_based,mysql,0.85
13108,boolean_blind,postgresql,1.0
13109,union_based,oracle,1.0
13110,boolean_blind,generic,0.85
13111,error_based,oracle,1.0
13112,boolean_blind,generic,0.85
13113,union_based,mysql,0.85
13114,error_based,oracle,1.0
13115,error_based,oracle,1.0
13116,time_blind,mysql,0.85
13117,boolean_blind,mysql,0.85
13118,boolean_blind,generic,0.7
13119,error_based,oracle,1.0
13120,boolean_blind,postgresql,1.0
13121,boolean_blind,generic,0.85
13122,error_based,oracle,1.0
13123,union_based,generic,0.85
13124,union_based,mysql,0.85
13125,error_based,oracle,1.0
13126,boolean_blind,mysql,1.0
13127,time_blind,mssql,1.0
