id,sqli_type,db_engine,confidence
3501,boolean_blind,generic,0.70
3502,boolean_blind,generic,0.70
3503,union_based,generic,1.00
3504,boolean_blind,mysql,1.00
3505,error_based,mysql,1.00
3506,boolean_blind,generic,0.70
3507,union_based,oracle,1.00
3508,union_based,generic,1.00
3509,union_based,generic,0.85
3510,boolean_blind,generic,0.70
3511,boolean_blind,generic,0.70
3512,boolean_blind,generic,0.70
3513,time_blind,mysql,1.00
3514,time_blind,mysql,1.00
3515,boolean_blind,generic,0.70
3516,time_blind,mysql,0.85
3517,boolean_blind,generic,0.70
3518,time_blind,generic,0.85
3519,boolean_blind,generic,0.70
3520,time_blind,oracle,1.00
3521,time_blind,oracle,1.00
3522,time_blind,mysql,1.00
3523,boolean_blind,generic,0.70
3524,time_blind,mysql,1.00
3525,union_based,generic,1.00
3526,error_based,mysql,1.00
3527,boolean_blind,oracle,1.00
3528,union_based,generic,1.00
3529,time_blind,mysql,1.00
3530,union_based,mysql,1.00
3531,union_based,mysql,1.00
3532,error_based,mysql,1.00
3533,error_based,mysql,1.00
3534,boolean_blind,generic,0.70
3535,boolean_blind,mysql,0.85
3536,union_based,mysql,1.00
3537,boolean_blind,mysql,0.85
3538,union_based,mysql,1.00
3539,boolean_blind,generic,0.70
3540,boolean_blind,mysql,0.85
3541,union_based,mysql,1.00
3542,time_blind,mssql,1.00
3543,error_based,oracle,1.00
3544,boolean_blind,oracle,1.00
3545,time_blind,postgresql,0.85
3546,boolean_blind,mysql,0.85
3547,error_based,mysql,1.00
3548,time_blind,generic,0.85
3549,time_blind,generic,0.85
3550,union_based,mysql,1.00
3551,time_blind,mysql,1.00
3552,time_blind,postgresql,1.00
3553,boolean_blind,mysql,1.00
3554,time_blind,mysql,0.85
3555,time_blind,mssql,1.00
3556,union_based,mysql,1.00
3557,boolean_blind,generic,0.70
3558,boolean_blind,generic,0.85
3559,union_based,generic,1.00
3560,error_based,mysql,1.00
3561,time_blind,oracle,1.00
3562,time_blind,mysql,1.00
3563,time_blind,mysql,1.00
3564,boolean_blind,mysql,0.85
3565,time_blind,mysql,0.85
3566,boolean_blind,generic,0.70
3567,time_blind,oracle,1.00
3568,union_based,generic,1.00
3569,boolean_blind,generic,0.70
3570,time_blind,mysql,1.00
3571,time_blind,sqlite,1.00
3572,boolean_blind,mysql,0.85
3573,boolean_blind,generic,0.70
3574,union_based,mysql,1.00
3575,error_based,postgresql,1.00
3576,boolean_blind,mysql,0.85
3577,union_based,generic,0.85
3578,boolean_blind,mysql,0.85
3579,time_blind,oracle,1.00
3580,boolean_blind,generic,0.70
3581,union_based,generic,1.00
3582,boolean_blind,mysql,0.85
3583,time_blind,postgresql,1.00
3584,union_based,mysql,1.00
3585,boolean_blind,generic,0.70
3586,time_blind,oracle,1.00
3587,error_based,mysql,1.00
3588,time_blind,oracle,1.00
3589,error_based,oracle,1.00
3590,time_blind,postgresql,1.00
3591,boolean_blind,mysql,0.85
3592,time_blind,oracle,1.00
3593,boolean_blind,generic,0.70
3594,union_based,generic,1.00
3595,error_based,mysql,1.00
3596,boolean_blind,mysql,0.85
3597,union_based,generic,0.85
3598,union_based,mysql,1.00
3599,time_blind,mysql,1.00
3600,error_based,mysql,1.00
3601,time_blind,sqlite,1.00
3602,time_blind,generic,0.85
3603,union_based,generic,1.00
3604,boolean_blind,generic,0.85
3605,time_blind,generic,0.85
3606,time_blind,oracle,1.00
3607,boolean_blind,generic,0.70
3608,boolean_blind,mysql,0.85
3609,time_blind,mysql,1.00
3610,boolean_blind,mysql,1.00
3611,boolean_blind,oracle,1.00
3612,error_based,oracle,1.00
3613,time_blind,oracle,1.00
3614,time_blind,generic,0.85
3615,error_based,mysql,1.00
3616,boolean_blind,mysql,0.85
3617,time_blind,mysql,1.00
3618,time_blind,mysql,1.00
3619,boolean_blind,mysql,0.85
3620,time_blind,postgresql,1.00
3621,boolean_blind,generic,0.70
3622,boolean_blind,generic,0.70
3623,boolean_blind,generic,0.70
3624,time_blind,generic,0.85
3625,time_blind,mysql,1.00
3626,time_blind,oracle,1.00
3627,union_based,generic,1.00
3628,error_based,oracle,1.00
3629,error_based,mysql,1.00
3630,error_based,oracle,1.00
3631,boolean_blind,mysql,0.85
3632,union_based,generic,1.00
3633,time_blind,generic,0.85
3634,error_based,mysql,1.00
3635,boolean_blind,mysql,0.85
3636,time_blind,mysql,1.00
3637,time_blind,mysql,1.00
3638,error_based,generic,0.85
3639,boolean_blind,oracle,1.00
3640,error_based,postgresql,1.00
3641,union_based,mysql,1.00
3642,time_blind,oracle,1.00
3643,union_based,generic,0.85
3644,boolean_blind,generic,0.70
3645,boolean_blind,generic,0.70
3646,time_blind,oracle,1.00
3647,error_based,mysql,1.00
3648,boolean_blind,generic,0.70
3649,error_based,mysql,1.00
3650,boolean_blind,mysql,0.85
3651,error_based,oracle,1.00
3652,union_based,generic,1.00
3653,union_based,generic,1.00
3654,boolean_blind,mysql,0.85
3655,union_based,generic,1.00
3656,time_blind,generic,0.85
3657,boolean_blind,generic,0.85
3658,union_based,generic,1.00
3659,boolean_blind,generic,0.70
3660,union_based,mysql,1.00
3661,time_blind,mysql,0.85
3662,union_based,generic,1.00
3663,time_blind,mysql,1.00
3664,boolean_blind,generic,0.70
3665,union_based,mysql,1.00
3666,time_blind,postgresql,1.00
3667,boolean_blind,generic,0.70
3668,error_based,mysql,1.00
3669,union_based,mysql,1.00
3670,time_blind,mysql,1.00
3671,error_based,oracle,1.00
3672,time_blind,sqlite,1.00
3673,time_blind,postgresql,1.00
3674,boolean_blind,mysql,0.85
3675,error_based,mysql,1.00
3676,boolean_blind,mysql,0.85
3677,error_based,mysql,1.00
3678,boolean_blind,mysql,0.85
3679,time_blind,oracle,1.00
3680,union_based,generic,1.00
3681,boolean_blind,mysql,0.85
3682,time_blind,mysql,1.00
3683,boolean_blind,mysql,0.85
3684,time_blind,mssql,1.00
3685,time_blind,oracle,1.00
3686,boolean_blind,generic,0.70
3687,time_blind,mysql,1.00
3688,error_based,generic,0.85
3689,time_blind,mysql,1.00
3690,boolean_blind,generic,0.70
3691,union_based,generic,1.00
3692,time_blind,mysql,1.00
3693,time_blind,mysql,1.00
3694,time_blind,mysql,1.00
3695,time_blind,mysql,0.85
3696,error_based,mysql,1.00
3697,boolean_blind,generic,0.70
3698,union_based,mysql,1.00
3699,time_blind,mysql,1.00
3700,time_blind,postgresql,1.00
3701,union_based,mysql,1.00
3702,error_based,mysql,1.00
3703,union_based,generic,1.00
3704,error_based,mysql,1.00
3705,error_based,oracle,1.00
3706,boolean_blind,generic,0.70
3707,time_blind,postgresql,1.00
3708,boolean_blind,mysql,0.85
3709,error_based,oracle,1.00
3710,union_based,generic,1.00
3711,boolean_blind,generic,0.70
3712,boolean_blind,generic,0.70
3713,time_blind,mysql,1.00
3714,boolean_blind,generic,0.70
3715,union_based,generic,1.00
3716,boolean_blind,generic,0.70
3717,time_blind,mysql,1.00
3718,time_blind,generic,0.85
3719,time_blind,oracle,1.00
3720,error_based,generic,0.85
3721,boolean_blind,generic,0.70
3722,union_based,mysql,1.00
3723,boolean_blind,mysql,0.85
3724,error_based,mysql,1.00
3725,time_blind,generic,0.85
3726,boolean_blind,postgresql,1.00
3727,error_based,oracle,1.00
3728,time_blind,mysql,1.00
3729,union_based,mysql,0.85
3730,time_blind,mssql,1.00
3731,boolean_blind,mysql,0.85
3732,boolean_blind,mssql,1.00
3733,time_blind,oracle,1.00
3734,time_blind,generic,0.85
3735,boolean_blind,generic,0.70
3736,time_blind,postgresql,1.00
3737,boolean_blind,mysql,0.85
3738,union_based,generic,1.00
3739,error_based,mysql,1.00
3740,error_based,mysql,1.00
3741,time_blind,sqlite,0.85
3742,error_based,mysql,1.00
3743,error_based,mysql,1.00
3744,error_based,mysql,1.00
3745,error_based,mysql,1.00
3746,error_based,mysql,1.00
3747,time_blind,mysql,1.00
3748,time_blind,mysql,1.00
3749,union_based,generic,1.00
3750,union_based,mysql,0.85
3751,union_based,mysql,1.00
3752,time_blind,postgresql,1.00
3753,union_based,generic,1.00
3754,boolean_blind,generic,0.70
3755,time_blind,mssql,1.00
3756,error_based,oracle,1.00
3757,union_based,generic,1.00
3758,time_blind,mysql,1.00
3759,union_based,mysql,1.00
3760,boolean_blind,postgresql,1.00
3761,union_based,generic,1.00
3762,union_based,generic,1.00
3763,error_based,mssql,1.00
3764,time_blind,generic,0.85
3765,union_based,generic,1.00
3766,union_based,mysql,1.00
3767,time_blind,oracle,1.00
3768,boolean_blind,mysql,0.85
3769,time_blind,mysql,1.00
3770,time_blind,sqlite,1.00
3771,union_based,generic,1.00
3772,union_based,generic,1.00
3773,boolean_blind,generic,0.70
3774,union_based,generic,1.00
3775,union_based,generic,1.00
3776,time_blind,oracle,1.00
3777,time_blind,oracle,1.00
3778,union_based,generic,1.00
3779,boolean_blind,mysql,1.00
3780,time_blind,mysql,1.00
3781,boolean_blind,generic,0.70
3782,union_based,generic,1.00
3783,boolean_blind,mysql,0.85
3784,union_based,generic,0.85
3785,union_based,generic,1.00
3786,time_blind,mysql,1.00
3787,boolean_blind,generic,0.70
3788,time_blind,generic,0.85
3789,union_based,mysql,1.00
3790,union_based,generic,1.00
3791,time_blind,postgresql,1.00
3792,time_blind,postgresql,1.00
3793,union_based,mysql,1.00
3794,boolean_blind,oracle,1.00
3795,boolean_blind,mysql,0.85
3796,boolean_blind,generic,0.70
3797,union_based,generic,1.00
3798,time_blind,mysql,1.00
3799,union_based,oracle,1.00
3800,time_blind,generic,0.85
3801,boolean_blind,mysql,0.85
3802,time_blind,sqlite,1.00
3803,time_blind,postgresql,1.00
3804,time_blind,mysql,1.00
3805,time_blind,mysql,1.00
3806,time_blind,postgresql,1.00
3807,union_based,oracle,1.00
3808,time_blind,mysql,1.00
3809,boolean_blind,generic,0.70
3810,time_blind,generic,0.85
3811,boolean_blind,mssql,1.00
3812,time_blind,mysql,0.85
3813,union_based,oracle,1.00
3814,boolean_blind,mssql,1.00
3815,union_based,generic,1.00
3816,time_blind,generic,0.85
3817,time_blind,generic,0.85
3818,time_blind,postgresql,1.00
3819,boolean_blind,generic,0.85
