"id","sqli_type","db_engine","confidence"
"11001","error_based","oracle","1.00"
"11002","time_blind","oracle","1.00"
"11003","error_based","oracle","1.00"
"11004","time_blind","mysql","1.00"
"11005","boolean_blind","generic","0.85"
"11006","boolean_blind","oracle","0.85"
"11007","boolean_blind","oracle","1.00"
"11008","boolean_blind","generic","0.85"
"11009","union_based","mysql","1.00"
"11010","error_based","generic","0.85"
"11011","error_based","oracle","1.00"
"11012","error_based","oracle","1.00"
"11013","time_blind","mysql","1.00"
"11014","error_based","oracle","1.00"
"11015","error_based","oracle","1.00"
"11016","error_based","oracle","1.00"
"11017","error_based","oracle","1.00"
"11018","error_based","mysql","1.00"
"11019","error_based","oracle","1.00"
"11020","error_based","oracle","1.00"
"11021","error_based","oracle","1.00"
"11022","boolean_blind","generic","0.85"
"11023","time_blind","mysql","1.00"
"11024","boolean_blind","generic","0.85"
"11025","union_based","mysql","1.00"
"11026","error_based","oracle","1.00"
"11027","error_based","oracle","1.00"
"11028","boolean_blind","generic","0.85"
"11029","error_based","oracle","1.00"
"11030","error_based","oracle","1.00"
"11031","error_based","oracle","1.00"
"11032","time_blind","generic","0.85"
"11033","error_based","oracle","0.85"
"11034","time_blind","mysql","1.00"
"11035","boolean_blind","generic","0.85"
"11036","union_based","generic","0.85"
"11037","error_based","oracle","1.00"
"11038","boolean_blind","generic","0.85"
"11039","boolean_blind","generic","0.85"
"11040","boolean_blind","oracle","0.85"
"11041","union_based","generic","0.85"
"11042","error_based","oracle","1.00"
"11043","time_blind","postgresql","1.00"
"11044","boolean_blind","generic","0.85"
"11045","union_based","generic","0.85"
"11046","union_based","mysql","1.00"
"11047","error_based","oracle","1.00"
"11048","boolean_blind","oracle","1.00"
"11049","error_based","mysql","1.00"
"11050","union_based","generic","0.85"
"11051","union_based","mysql","1.00"
"11052","error_based","oracle","1.00"
"11053","time_blind","postgresql","1.00"
"11054","error_based","oracle","1.00"
"11055","boolean_blind","oracle","0.85"
"11056","time_blind","generic","0.85"
"11057","boolean_blind","generic","0.85"
"11058","error_based","oracle","1.00"
"11059","boolean_blind","generic","0.85"
"11060","boolean_blind","generic","0.85"
"11061","error_based","oracle","1.00"
"11062","boolean_blind","generic","0.85"
"11063","error_based","oracle","1.00"
"11064","union_based","mysql","1.00"
"11065","error_based","oracle","1.00"
"11066","error_based","oracle","1.00"
"11067","boolean_blind","generic","0.85"
"11068","boolean_blind","generic","0.85"
"11069","boolean_blind","mysql","0.85"
"11070","union_based","mysql","1.00"
"11071","boolean_blind","oracle","0.85"
"11072","error_based","mysql","0.85"
"11073","error_based","oracle","1.00"
"11074","union_based","generic","0.85"
"11075","error_based","mysql","1.00"
"11076","error_based","oracle","1.00"
"11077","boolean_blind","generic","0.85"
"11078","boolean_blind","generic","0.85"
"11079","time_blind","mysql","1.00"
"11080","error_based","generic","0.85"
"11081","union_based","mysql","1.00"
"11082","union_based","mysql","1.00"
"11083","boolean_blind","oracle","0.85"
"11084","error_based","oracle","1.00"
"11085","time_blind","oracle","1.00"
"11086","boolean_blind","oracle","0.85"
"11087","boolean_blind","generic","0.85"
"11088","error_based","oracle","1.00"
"11089","union_based","generic","0.85"
"11090","time_blind","oracle","1.00"
"11091","error_based","oracle","1.00"
"11092","error_based","oracle","1.00"
"11093","error_based","oracle","1.00"
"11094","union_based","mysql","1.00"
"11095","time_blind","mysql","1.00"
"11096","union_based","generic","0.85"
"11097","error_based","oracle","1.00"
"11098","error_based","oracle","1.00"
"11099","boolean_blind","mysql","0.85"
"11100","boolean_blind","generic","0.85"
"11101","error_based","oracle","1.00"
"11102","error_based","oracle","1.00"
"11103","error_based","oracle","1.00"
"11104","union_based","mysql","1.00"
"11105","error_based","oracle","1.00"
"11106","error_based","oracle","1.00"
