id,sqli_type,db_engine,confidence
14001,time_blind,mysql,0.85
14002,boolean_blind,generic,0.70
14003,error_based,mysql,0.85
14004,time_blind,oracle,0.85
14005,boolean_blind,oracle,1.00
14006,boolean_blind,mysql,1.00
14007,boolean_blind,mysql,1.00
14008,error_based,oracle,0.85
14009,time_blind,mysql,0.85
14010,boolean_blind,mssql,1.00
14011,boolean_blind,oracle,1.00
14012,union_based,generic,0.85
14013,union_based,generic,0.85
14014,error_based,oracle,0.85
14015,boolean_blind,generic,0.85
14016,time_blind,postgresql,0.85
14017,boolean_blind,oracle,1.00
14018,boolean_blind,mysql,0.85
14019,error_based,oracle,0.85
14020,error_based,oracle,0.85
14021,error_based,oracle,0.85
14022,union_based,generic,0.85
14023,boolean_blind,generic,0.85
14024,boolean_blind,mysql,1.00
14025,time_blind,mysql,0.85
14026,error_based,mssql,0.85
14027,boolean_blind,generic,0.85
14028,boolean_blind,generic,0.85
14029,boolean_blind,generic,0.70
14030,boolean_blind,oracle,1.00
14031,union_based,generic,0.85
14032,error_based,oracle,0.85
14033,error_based,oracle,0.85
14034,boolean_blind,oracle,1.00
14035,error_based,mssql,0.85
14036,error_based,oracle,0.85
14037,error_based,oracle,0.85
14038,error_based,oracle,0.85
14039,error_based,mssql,0.85
14040,boolean_blind,oracle,1.00
14041,union_based,generic,0.85
14042,union_based,generic,0.85
14043,boolean_blind,generic,0.70
14044,error_based,oracle,1.00
14045,error_based,oracle,1.00
14046,boolean_blind,generic,0.85
14047,boolean_blind,mssql,1.00
14048,boolean_blind,generic,0.85
14049,error_based,oracle,0.85
14050,error_based,oracle,0.85
14051,time_blind,oracle,0.85
14052,error_based,mysql,0.85
14053,time_blind,oracle,0.85
14054,boolean_blind,oracle,1.00
14055,error_based,oracle,0.85
14056,error_based,oracle,0.85
14057,union_based,mysql,1.00
14058,error_based,oracle,0.85
14059,boolean_blind,oracle,1.00
14060,boolean_blind,generic,0.85
14061,union_based,generic,0.85
14062,error_based,oracle,0.85
14063,error_based,mysql,0.85
14064,boolean_blind,generic,0.70
14065,error_based,oracle,0.85
14066,union_based,generic,0.85
14067,error_based,oracle,0.85
14068,boolean_blind,generic,0.85
14069,boolean_blind,mssql,1.00
14070,error_based,oracle,0.85
14071,error_based,oracle,0.85
14072,boolean_blind,mysql,1.00
14073,boolean_blind,oracle,1.00
14074,error_based,oracle,0.85
14075,error_based,mysql,0.85
14076,time_blind,sqlite,0.85
14077,union_based,mysql,1.00
14078,boolean_blind,mysql,0.85
14079,boolean_blind,oracle,1.00
14080,error_based,oracle,0.85
14081,boolean_blind,oracle,1.00
14082,error_based,mssql,0.85
14083,error_based,oracle,1.00
14084,error_based,oracle,0.85
14085,time_blind,mysql,0.85
14086,error_based,oracle,0.85
14087,error_based,oracle,0.85
14088,error_based,oracle,0.85
14089,error_based,oracle,0.85
14090,error_based,oracle,0.85
14091,boolean_blind,generic,0.70
14092,time_blind,mysql,0.85
14093,boolean_blind,mysql,1.00
14094,boolean_blind,generic,0.85
14095,union_based,mysql,1.00
14096,boolean_blind,oracle,0.85
14097,error_based,oracle,0.85
14098,time_blind,mysql,0.85
14099,error_based,oracle,0.85
14100,error_based,oracle,1.00
14101,error_based,oracle,0.85
14102,boolean_blind,generic,0.85
