id,sqli_type,db_engine,confidence
8001,error_based,oracle,1.00
8002,boolean_blind,mssql,1.00
8003,error_based,oracle,1.00
8004,boolean_blind,mysql,0.85
8005,boolean_blind,mssql,1.00
8006,boolean_blind,generic,0.85
8007,boolean_blind,postgresql,1.00
8008,boolean_blind,generic,0.85
8009,union_based,mysql,1.00
8010,boolean_blind,postgresql,1.00
8011,error_based,oracle,1.00
8012,boolean_blind,oracle,1.00
8013,error_based,oracle,1.00
8014,boolean_blind,generic,0.85
8015,error_based,oracle,1.00
8016,error_based,oracle,1.00
8017,error_based,oracle,1.00
8018,boolean_blind,postgresql,1.00
8019,boolean_blind,generic,0.85
8020,error_based,oracle,1.00
8021,boolean_blind,mysql,0.85
8022,error_based,oracle,1.00
8023,error_based,oracle,1.00
8024,boolean_blind,mysql,1.00
8025,error_based,oracle,1.00
8026,boolean_blind,mssql,1.00
8027,boolean_blind,mysql,0.85
8028,union_based,generic,0.85
8029,time_blind,generic,1.00
8030,error_based,mssql,1.00
8031,time_blind,mysql,1.00
8032,boolean_blind,postgresql,1.00
8033,time_blind,mysql,1.00
8034,union_based,generic,0.85
8035,time_blind,sqlite,1.00
8036,error_based,oracle,1.00
8037,error_based,mysql,1.00
8038,boolean_blind,generic,0.85
8039,time_blind,mysql,1.00
8040,boolean_blind,oracle,1.00
8041,error_based,oracle,1.00
8042,boolean_blind,mysql,1.00
8043,boolean_blind,oracle,1.00
8044,boolean_blind,generic,0.85
8045,error_based,oracle,1.00
8046,error_based,oracle,1.00
8047,error_based,oracle,1.00
8048,error_based,oracle,1.00
8049,boolean_blind,generic,0.70
8050,boolean_blind,oracle,1.00
8051,boolean_blind,generic,0.85
8052,boolean_blind,mysql,1.00
8053,error_based,oracle,1.00
8054,error_based,oracle,1.00
8055,boolean_blind,generic,0.85
8056,error_based,oracle,1.00
8057,time_blind,mysql,1.00
8058,error_based,oracle,1.00
8059,error_based,oracle,1.00
8060,error_based,oracle,1.00
8061,boolean_blind,postgresql,1.00
8062,error_based,oracle,1.00
8063,error_based,oracle,1.00
8064,error_based,oracle,1.00
8065,boolean_blind,oracle,1.00
8066,error_based,oracle,1.00
8067,error_based,oracle,1.00
8068,error_based,oracle,1.00
8069,time_blind,mysql,1.00
8070,boolean_blind,mysql,1.00
8071,boolean_blind,postgresql,1.00
8072,error_based,oracle,1.00
8073,boolean_blind,generic,0.85
8074,time_blind,generic,0.85
8075,error_based,oracle,1.00
8076,error_based,oracle,1.00
8077,union_based,generic,1.00
8078,boolean_blind,generic,0.85
8079,error_based,oracle,1.00
8080,error_based,oracle,1.00
8081,time_blind,mysql,1.00
8082,time_blind,oracle,1.00
8083,boolean_blind,generic,0.85
8084,error_based,oracle,1.00
8085,boolean_blind,postgresql,1.00
8086,boolean_blind,generic,0.70
8087,union_based,mysql,1.00
8088,error_based,oracle,1.00
8089,time_blind,mysql,1.00
8090,error_based,oracle,1.00
8091,boolean_blind,mysql,1.00
8092,error_based,oracle,1.00
8093,error_based,mysql,0.85
8094,union_based,mysql,1.00
8095,boolean_blind,postgresql,1.00
8096,error_based,oracle,1.00
8097,union_based,generic,1.00
8098,time_blind,mssql,1.00
8099,boolean_blind,generic,0.85
8100,error_based,oracle,1.00
8101,union_based,generic,1.00
8102,boolean_blind,postgresql,1.00
8103,error_based,oracle,1.00
8104,boolean_blind,generic,0.70
8105,boolean_blind,generic,0.85
8106,error_based,mysql,1.00
8107,boolean_blind,oracle,1.00
8108,union_based,generic,1.00
8109,union_based,mysql,1.00
8110,union_based,mysql,1.00
8111,error_based,oracle,1.00
8112,error_based,oracle,1.00
8113,boolean_blind,generic,0.85
8114,boolean_blind,generic,0.85
8115,boolean_blind,postgresql,1.00
8116,time_blind,mysql,1.00
8117,boolean_blind,generic,0.85
8118,boolean_blind,oracle,1.00
8119,error_based,oracle,1.00
8120,error_based,oracle,1.00
8121,time_blind,mysql,1.00
8122,time_blind,sqlite,1.00
8123,error_based,oracle,1.00
8124,boolean_blind,generic,0.70
8125,error_based,oracle,1.00
8126,boolean_blind,mysql,0.85
8127,error_based,oracle,1.00
8128,error_based,oracle,1.00
8129,boolean_blind,generic,0.85
8130,boolean_blind,generic,0.85
8131,error_based,oracle,1.00
8132,time_blind,mysql,1.00
8133,error_based,oracle,1.00
8134,union_based,mysql,1.00
8135,time_blind,mysql,1.00
8136,error_based,oracle,1.00
8137,error_based,oracle,1.00
8138,error_based,oracle,1.00
8139,boolean_blind,mssql,1.00
