row_index,field,old_value,new_value,rule,reason
111,reasoning,0x hex exec() for MSSQL RCE,,R6,Reasoning quality: Only 27 chars (need >= 30)
142,reasoning,"\""",,R6,Reasoning quality: Only 2 chars (need >= 30)
143,reasoning,"\""",,R6,Reasoning quality: Only 2 chars (need >= 30)
188,reasoning,1;SELECT * is stacked query,,R6,Reasoning quality: Only 27 chars (need >= 30)
209,reasoning,admin'/* is MySQL auth bypass,,R6,Reasoning quality: Only 29 chars (need >= 30)
233,reasoning,@#\,,R6,Reasoning quality: Only 3 chars (need >= 30)
235,reasoning,or 3=3 with unusual char,,R6,Reasoning quality: Only 24 chars (need >= 30)
238,reasoning,"\""",,R6,Reasoning quality: Only 2 chars (need >= 30)
259,reasoning,sqlvuln requires context,,R6,Reasoning quality: Only 24 chars (need >= 30)
265,reasoning,xp_cmdshell for MSSQL RCE,,R6,Reasoning quality: Only 25 chars (need >= 30)
269,reasoning,select top 1 requires context,,R6,Reasoning quality: Only 29 chars (need >= 30)
271,reasoning,a' -- is boolean blind SQLi,,R6,Reasoning quality: Only 27 chars (need >= 30)
273,reasoning,#\,,R6,Reasoning quality: Only 2 chars (need >= 30)
277,reasoning,0x exec() for MSSQL RCE,,R6,Reasoning quality: Only 23 chars (need >= 30)
284,reasoning,or 1=1 with unusual char,,R6,Reasoning quality: Only 24 chars (need >= 30)
288,reasoning,declare @s requires context,,R6,Reasoning quality: Only 27 chars (need >= 30)
291,reasoning,"#\\""",,R6,Reasoning quality: Only 4 chars (need >= 30)
293,reasoning,xp_cmdshell for MSSQL RCE,,R6,Reasoning quality: Only 25 chars (need >= 30)
323,reasoning,"\""",,R6,Reasoning quality: Only 2 chars (need >= 30)
326,reasoning,admin' or 1=1 for auth bypass,,R6,Reasoning quality: Only 29 chars (need >= 30)
327,reasoning,"\""",,R6,Reasoning quality: Only 2 chars (need >= 30)
334,reasoning,Cannot determine attack type,,R6,Reasoning quality: Only 28 chars (need >= 30)
340,reasoning,Cannot determine attack type,,R6,Reasoning quality: Only 28 chars (need >= 30)
341,reasoning,Cannot recognize LDAP syntax,,R6,Reasoning quality: Only 28 chars (need >= 30)
350,reasoning,OR 1=1 with comma obfuscation,,R6,Reasoning quality: Only 29 chars (need >= 30)
353,reasoning,OR with ?[ obfuscation,,R6,Reasoning quality: Only 22 chars (need >= 30)
357,reasoning,sleep() for time-based blind,,R6,Reasoning quality: Only 28 chars (need >= 30)
358,reasoning,sleep() with TIME variable,,R6,Reasoning quality: Only 26 chars (need >= 30)
361,reasoning,UNION ALL for data extraction,,R6,Reasoning quality: Only 29 chars (need >= 30)
362,reasoning,UNION ALL with NULL values,,R6,Reasoning quality: Only 26 chars (need >= 30)
367,reasoning,AND equality comparison,,R6,Reasoning quality: Only 23 chars (need >= 30)
368,reasoning,Boolean comparison for blind,,R6,Reasoning quality: Only 28 chars (need >= 30)
372,reasoning,UNION ALL for data extraction,,R6,Reasoning quality: Only 29 chars (need >= 30)
374,reasoning,OR equality for boolean blind,,R6,Reasoning quality: Only 29 chars (need >= 30)
376,reasoning,CASE WHEN for boolean blind,,R6,Reasoning quality: Only 27 chars (need >= 30)
378,reasoning,benchmark() for time blind,,R6,Reasoning quality: Only 26 chars (need >= 30)
379,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
382,reasoning,UNION ALL for data extraction,,R6,Reasoning quality: Only 29 chars (need >= 30)
384,reasoning,WHERE equality for blind,,R6,Reasoning quality: Only 24 chars (need >= 30)
385,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
395,reasoning,Case when for Firebird blind,,R6,Reasoning quality: Only 28 chars (need >= 30)
396,reasoning,UNION SELECT for union-based,,R6,Reasoning quality: Only 28 chars (need >= 30)
398,reasoning,pg_sleep() for time blind,,R6,Reasoning quality: Only 25 chars (need >= 30)
399,reasoning,benchmark() for time blind,,R6,Reasoning quality: Only 26 chars (need >= 30)
400,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
401,reasoning,benchmark() for time blind,,R6,Reasoning quality: Only 26 chars (need >= 30)
402,reasoning,make_set() for boolean blind,,R6,Reasoning quality: Only 28 chars (need >= 30)
403,reasoning,WHERE clause equality,,R6,Reasoning quality: Only 21 chars (need >= 30)
406,reasoning,sleep() for time blind,,R6,Reasoning quality: Only 22 chars (need >= 30)
407,reasoning,Cannot determine attack type,,R6,Reasoning quality: Only 28 chars (need >= 30)
408,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
409,reasoning,Multiple sysusers table join,,R6,Reasoning quality: Only 28 chars (need >= 30)
410,reasoning,randomblob() for time blind,,R6,Reasoning quality: Only 27 chars (need >= 30)
411,reasoning,pg_sleep() for time blind,,R6,Reasoning quality: Only 25 chars (need >= 30)
