row_index,field,old,new,reason
2,sqli_type,error_based,out_of_band,critic-correction-type
5,sqli_type,stacked_queries,benign,relabel-benign-fallback
5,db_engine,mssql,unknown,relabel-benign-fallback
12,sqli_type,auth_bypass,boolean_blind,critic-correction-type
15,sqli_type,error_based,out_of_band,critic-correction-type
21,sqli_type,boolean_blind,benign,relabel-benign-fallback
21,db_engine,mssql,unknown,relabel-benign-fallback
23,sqli_type,auth_bypass,boolean_blind,critic-correction-type
28,sqli_type,error_based,out_of_band,critic-correction-type
49,sqli_type,boolean_blind,benign,relabel-benign-fallback
49,db_engine,generic,unknown,relabel-benign-fallback
51,sqli_type,auth_bypass,boolean_blind,critic-correction-type
59,sqli_type,auth_bypass,boolean_blind,critic-correction-type
60,sqli_type,boolean_blind,benign,relabel-benign-fallback
60,db_engine,generic,unknown,relabel-benign-fallback
63,sqli_type,auth_bypass,boolean_blind,critic-correction-type
66,sqli_type,boolean_blind,benign,relabel-benign-fallback
66,db_engine,generic,unknown,relabel-benign-fallback
74,sqli_type,auth_bypass,boolean_blind,critic-correction-type
76,sqli_type,boolean_blind,benign,relabel-benign-fallback
76,db_engine,generic,unknown,relabel-benign-fallback
86,sqli_type,auth_bypass,boolean_blind,relabel-classifier
88,sqli_type,error_based,out_of_band,critic-correction-type
90,sqli_type,auth_bypass,benign,relabel-benign-fallback
90,db_engine,mssql,unknown,relabel-benign-fallback
97,sqli_type,error_based,out_of_band,critic-correction-type
100,sqli_type,boolean_blind,benign,relabel-benign-fallback
100,db_engine,generic,unknown,relabel-benign-fallback
104,sqli_type,auth_bypass,boolean_blind,critic-correction-type
106,sqli_type,error_based,out_of_band,critic-correction-type
111,sqli_type,rce,union_based,relabel-classifier
111,db_engine,mssql,generic,relabel-classifier
117,sqli_type,boolean_blind,benign,relabel-benign-fallback
117,db_engine,generic,unknown,relabel-benign-fallback
119,sqli_type,boolean_blind,benign,relabel-benign-fallback
119,db_engine,generic,unknown,relabel-benign-fallback
122,sqli_type,auth_bypass,boolean_blind,critic-correction-type
126,sqli_type,error_based,out_of_band,critic-correction-type
135,sqli_type,boolean_blind,benign,relabel-benign-fallback
135,db_engine,generic,unknown,relabel-benign-fallback
136,sqli_type,stacked_queries,benign,relabel-benign-fallback
136,db_engine,oracle,unknown,relabel-benign-fallback
137,sqli_type,auth_bypass,boolean_blind,relabel-classifier
146,sqli_type,stacked_queries,benign,relabel-benign-fallback
146,db_engine,mysql,unknown,relabel-benign-fallback
147,sqli_type,auth_bypass,boolean_blind,critic-correction-type
151,sqli_type,boolean_blind,benign,relabel-benign-fallback
151,db_engine,generic,unknown,relabel-benign-fallback
154,sqli_type,boolean_blind,benign,relabel-benign-fallback
154,db_engine,generic,unknown,relabel-benign-fallback
161,sqli_type,auth_bypass,boolean_blind,critic-correction-type
165,sqli_type,boolean_blind,benign,relabel-benign-fallback
165,db_engine,generic,unknown,relabel-benign-fallback
166,sqli_type,auth_bypass,boolean_blind,relabel-classifier
167,sqli_type,error_based,out_of_band,critic-correction-type
168,sqli_type,auth_bypass,boolean_blind,critic-correction-type
169,sqli_type,boolean_blind,benign,relabel-benign-fallback
169,db_engine,generic,unknown,relabel-benign-fallback
176,sqli_type,auth_bypass,boolean_blind,critic-correction-type
178,sqli_type,rce,stacked_queries,relabel-classifier
178,db_engine,mssql,generic,relabel-classifier
184,sqli_type,boolean_blind,benign,relabel-benign-fallback
184,db_engine,generic,unknown,relabel-benign-fallback
187,sqli_type,auth_bypass,boolean_blind,critic-correction-type
190,sqli_type,boolean_blind,benign,relabel-benign-fallback
190,db_engine,generic,unknown,relabel-benign-fallback
196,sqli_type,boolean_blind,benign,relabel-benign-fallback
196,db_engine,generic,unknown,relabel-benign-fallback
197,sqli_type,error_based,out_of_band,critic-correction-type
198,sqli_type,error_based,out_of_band,critic-correction-type
200,sqli_type,boolean_blind,union_based,relabel-classifier
202,sqli_type,auth_bypass,benign,relabel-benign-fallback
202,db_engine,generic,unknown,relabel-benign-fallback
209,sqli_type,auth_bypass,benign,relabel-benign-fallback
209,db_engine,mysql,unknown,relabel-benign-fallback
212,sqli_type,error_based,out_of_band,critic-correction-type
218,sqli_type,union_based,benign,relabel-benign-fallback
218,db_engine,mysql,unknown,relabel-benign-fallback
221,sqli_type,auth_bypass,boolean_blind,critic-correction-type
223,sqli_type,boolean_blind,benign,relabel-benign-fallback
223,db_engine,generic,unknown,relabel-benign-fallback
226,sqli_type,error_based,out_of_band,critic-correction-type
231,sqli_type,boolean_blind,benign,relabel-benign-fallback
231,db_engine,generic,unknown,relabel-benign-fallback
235,sqli_type,boolean_blind,benign,relabel-benign-fallback
235,db_engine,generic,unknown,relabel-benign-fallback
236,sqli_type,error_based,out_of_band,critic-correction-type
253,sqli_type,auth_bypass,boolean_blind,critic-correction-type
256,sqli_type,error_based,out_of_band,critic-correction-type
257,sqli_type,error_based,out_of_band,critic-correction-type
258,sqli_type,boolean_blind,benign,relabel-benign-fallback
258,db_engine,generic,unknown,relabel-benign-fallback
262,sqli_type,auth_bypass,benign,relabel-benign-fallback
262,db_engine,generic,unknown,relabel-benign-fallback
271,sqli_type,boolean_blind,benign,relabel-benign-fallback
271,db_engine,generic,unknown,relabel-benign-fallback
275,sqli_type,stacked_queries,rce,relabel-classifier
275,db_engine,mssql,generic,relabel-classifier
280,sqli_type,boolean_blind,benign,relabel-benign-fallback
280,db_engine,generic,unknown,relabel-benign-fallback
298,sqli_type,boolean_blind,union_based,relabel-classifier
309,sqli_type,error_based,out_of_band,critic-correction-type
321,sqli_type,boolean_blind,benign,relabel-benign-fallback
321,db_engine,generic,unknown,relabel-benign-fallback
325,sqli_type,error_based,out_of_band,critic-correction-type
326,sqli_type,auth_bypass,boolean_blind,critic-correction-type
342,sqli_type,error_based,out_of_band,critic-correction-type
346,sqli_type,error_based,out_of_band,critic-correction-type
363,sqli_type,time_blind,rce,critic-correction-type
364,sqli_type,boolean_blind,benign,relabel-benign-fallback
364,db_engine,generic,unknown,relabel-benign-fallback
365,sqli_type,error_based,rce,critic-correction-type
366,sqli_type,boolean_blind,benign,relabel-benign-fallback
366,db_engine,generic,unknown,relabel-benign-fallback
367,sqli_type,boolean_blind,benign,relabel-benign-fallback
367,db_engine,generic,unknown,relabel-benign-fallback
374,sqli_type,boolean_blind,benign,relabel-benign-fallback
374,db_engine,generic,unknown,relabel-benign-fallback
375,sqli_type,time_blind,boolean_blind,relabel-classifier
375,db_engine,oracle,generic,relabel-classifier
376,sqli_type,boolean_blind,benign,relabel-benign-fallback
376,db_engine,generic,unknown,relabel-benign-fallback
378,sqli_type,time_blind,rce,critic-correction-type
383,sqli_type,error_based,rce,critic-correction-type
384,sqli_type,boolean_blind,benign,relabel-benign-fallback
384,db_engine,generic,unknown,relabel-benign-fallback
386,sqli_type,error_based,rce,critic-correction-type
387,sqli_type,boolean_blind,benign,relabel-benign-fallback
387,db_engine,postgresql,unknown,relabel-benign-fallback
391,sqli_type,time_blind,boolean_blind,relabel-classifier
391,db_engine,postgresql,generic,relabel-classifier
396,sqli_type,union_based,boolean_blind,relabel-classifier
397,sqli_type,error_based,out_of_band,critic-correction-type
399,sqli_type,time_blind,rce,critic-correction-type
401,sqli_type,time_blind,rce,critic-correction-type
402,sqli_type,boolean_blind,benign,relabel-benign-fallback
402,db_engine,mysql,unknown,relabel-benign-fallback
403,sqli_type,boolean_blind,benign,relabel-benign-fallback
403,db_engine,generic,unknown,relabel-benign-fallback
404,sqli_type,error_based,rce,critic-correction-type
412,sqli_type,boolean_blind,benign,relabel-benign-fallback
412,db_engine,generic,unknown,relabel-benign-fallback
413,sqli_type,boolean_blind,benign,relabel-benign-fallback
413,db_engine,generic,unknown,relabel-benign-fallback
414,sqli_type,boolean_blind,benign,relabel-benign-fallback
414,db_engine,generic,unknown,relabel-benign-fallback
421,sqli_type,boolean_blind,benign,relabel-benign-fallback
421,db_engine,generic,unknown,relabel-benign-fallback
422,sqli_type,boolean_blind,benign,relabel-benign-fallback
422,db_engine,postgresql,unknown,relabel-benign-fallback
426,sqli_type,boolean_blind,benign,relabel-benign-fallback
426,db_engine,mysql,unknown,relabel-benign-fallback
429,sqli_type,time_blind,boolean_blind,relabel-classifier
429,db_engine,postgresql,generic,relabel-classifier
431,sqli_type,error_based,out_of_band,critic-correction-type
432,sqli_type,time_blind,rce,critic-correction-type
433,sqli_type,boolean_blind,benign,relabel-benign-fallback
433,db_engine,generic,unknown,relabel-benign-fallback
439,sqli_type,boolean_blind,benign,relabel-benign-fallback
439,db_engine,mssql,unknown,relabel-benign-fallback
440,sqli_type,time_blind,benign,relabel-benign-fallback
440,db_engine,oracle,unknown,relabel-benign-fallback
442,sqli_type,boolean_blind,benign,relabel-benign-fallback
442,db_engine,postgresql,unknown,relabel-benign-fallback
446,sqli_type,time_blind,rce,critic-correction-type
447,sqli_type,time_blind,rce,critic-correction-type
451,sqli_type,boolean_blind,benign,relabel-benign-fallback
451,db_engine,generic,unknown,relabel-benign-fallback
455,sqli_type,boolean_blind,benign,relabel-benign-fallback
455,db_engine,generic,unknown,relabel-benign-fallback
461,sqli_type,time_blind,benign,relabel-benign-fallback
461,db_engine,oracle,unknown,relabel-benign-fallback
462,sqli_type,error_based,rce,critic-correction-type
466,db_engine,generic,unknown,relabel-benign-fallback
473,sqli_type,boolean_blind,benign,relabel-benign-fallback
473,db_engine,generic,unknown,relabel-benign-fallback
474,sqli_type,boolean_blind,benign,relabel-benign-fallback
474,db_engine,generic,unknown,relabel-benign-fallback
476,sqli_type,time_blind,boolean_blind,relabel-classifier
476,db_engine,postgresql,generic,relabel-classifier
483,sqli_type,boolean_blind,benign,relabel-benign-fallback
483,db_engine,mysql,unknown,relabel-benign-fallback
486,sqli_type,time_blind,benign,relabel-benign-fallback
486,db_engine,oracle,unknown,relabel-benign-fallback
489,sqli_type,error_based,rce,critic-correction-type
491,sqli_type,error_based,rce,critic-correction-type
495,sqli_type,boolean_blind,benign,relabel-benign-fallback
495,db_engine,mysql,unknown,relabel-benign-fallback
497,sqli_type,boolean_blind,benign,relabel-benign-fallback
497,db_engine,generic,unknown,relabel-benign-fallback
498,sqli_type,error_based,rce,critic-correction-type
499,sqli_type,error_based,rce,critic-correction-type
501,sqli_type,time_blind,rce,critic-correction-type
502,sqli_type,boolean_blind,benign,relabel-benign-fallback
502,db_engine,mysql,unknown,relabel-benign-fallback
507,sqli_type,error_based,rce,critic-correction-type
509,sqli_type,boolean_blind,benign,relabel-benign-fallback
509,db_engine,generic,unknown,relabel-benign-fallback
518,sqli_type,boolean_blind,benign,relabel-benign-fallback
518,db_engine,generic,unknown,relabel-benign-fallback
519,sqli_type,error_based,rce,critic-correction-type
520,sqli_type,error_based,rce,critic-correction-type
521,sqli_type,boolean_blind,benign,relabel-benign-fallback
521,db_engine,generic,unknown,relabel-benign-fallback
523,sqli_type,boolean_blind,rce,critic-correction-type
524,sqli_type,error_based,boolean_blind,relabel-classifier
524,db_engine,mysql,generic,relabel-classifier
527,sqli_type,boolean_blind,benign,relabel-benign-fallback
527,db_engine,postgresql,unknown,relabel-benign-fallback
531,sqli_type,boolean_blind,benign,relabel-benign-fallback
531,db_engine,generic,unknown,relabel-benign-fallback
533,sqli_type,error_based,rce,critic-correction-type
534,sqli_type,error_based,rce,critic-correction-type
541,sqli_type,error_based,out_of_band,critic-correction-type
544,sqli_type,time_blind,boolean_blind,relabel-classifier
550,sqli_type,time_blind,benign,relabel-benign-fallback
550,db_engine,oracle,unknown,relabel-benign-fallback
553,sqli_type,error_based,out_of_band,critic-correction-type
554,sqli_type,boolean_blind,benign,relabel-benign-fallback
554,db_engine,generic,unknown,relabel-benign-fallback
558,sqli_type,boolean_blind,rce,relabel-classifier
565,sqli_type,time_blind,benign,relabel-benign-fallback
565,db_engine,oracle,unknown,relabel-benign-fallback
570,sqli_type,error_based,rce,critic-correction-type
572,sqli_type,boolean_blind,benign,relabel-benign-fallback
572,db_engine,generic,unknown,relabel-benign-fallback
