row_index,sqli_type,db_engine,confidence,reasoning
60,boolean_blind,generic,0.8,BETWEEN operator used for logical testing of values
61,auth_bypass,generic,0.9,Tautology pattern with noise characters used for filter bypass
62,union_based,mysql,0.95,MySQL '#' comment and UNION version() used to extract database info
63,auth_bypass,generic,1.0,Classic authentication bypass tautology using '1'='1'
64,time_blind,mssql,1.0,MSSQL waitfor delay command used for timing-based exfiltration
65,union_based,oracle,0.95,Oracle-specific v$version and rownum used in UNION query
66,auth_bypass,generic,0.9,Simple tautology attack for authentication bypass
67,union_based,mysql,0.9,MySQL version() function utilized in a UNION select payload
68,auth_bypass,generic,0.8,Tautology with obfuscated operator used to bypass security controls
69,auth_bypass,generic,0.8,Tautology utilizing string concatenation noise for evasion
70,union_based,mssql,0.9,MSSQL @@VERSION global variable used in a UNION based attack
71,auth_bypass,generic,0.8,Authentication bypass via tautology with injected noise
72,polyglot,generic,0.6,Sequence of keywords suggesting a partial polyglot or encoded payload
73,auth_bypass,generic,0.8,Tautology bypass using bitwise or logical operator noise
74,auth_bypass,generic,1.0,Classic authentication bypass pattern with parenthesis balancing
75,stacked_queries,mssql,0.95,MSSQL declare and hex-encoded stacked query execution
76,auth_bypass,mysql,0.9,MySQL specific '#' comment used in a tautology attack
77,auth_bypass,generic,0.8,Tautology bypass with complex string noise for evasion
78,auth_bypass,generic,1.0,Authentication bypass using a simple string equality tautology
79,union_based,mysql,0.9,UNION SELECT utilizing MySQL version() for metadata extraction
80,time_blind,postgresql,0.8,PostgreSQL sleep function used for timing-based inference
81,union_based,oracle,0.95,Oracle-specific metadata extraction using banner from v$version
82,union_based,mssql,0.95,MSSQL sysobjects table used in UNION query to list objects
83,union_based,mysql,0.9,MySQL UNION SELECT attack leveraging internal version function
84,union_based,mysql,0.9,MySQL UNION SELECT attack with specific comment delimiters
85,auth_bypass,mysql,0.9,MySQL specific tautology using '#' comment for filter bypass
86,auth_bypass,generic,0.9,Tautology with quote obfuscation to evade input filters
87,union_based,oracle,0.95,Oracle UNION attack extracting banner information from v$version
88,error_based,oracle,1.0,Oracle utl_inaddr used for error-based data exfiltration
89,union_based,mssql,0.9,MSSQL @@VERSION extraction using a UNION SELECT payload
