row_index,sqli_type,db_engine,confidence,reasoning
330,boolean_blind,generic,0.95,Tautology or 1=1 with obfuscation
331,union_based,mysql,0.9,UNION SELECT with char() encoding
332,union_based,mysql,0.95,UNION SELECT with version() and MySQL comment
333,error_based,oracle,0.95,utl_inaddr.get_host_address is an Oracle error-based technique
334,time_blind,postgresql,0.95,pg_sleep is a PostgreSQL time delay function
335,boolean_blind,generic,0.9,Tautology or 3=3 with curly quote
336,union_based,mysql,0.85,UNION SELECT with obfuscated arithmetic
337,boolean_blind,mysql,0.9,Tautology or 1=1 with MySQL comment character in string
338,union_based,generic,0.9,UNION SELECT from information_schema
339,boolean_blind,generic,0.9,Tautology or 1=1 with bracket obfuscation
340,time_blind,mysql,0.95,benchmark() is a MySQL time delay technique
341,error_based,oracle,0.95,utl_inaddr for Oracle error-based exfiltration
342,error_based,oracle,0.95,Oracle error-based data exfiltration
343,boolean_blind,generic,0.9,Tautology with empty strings
344,stacked_queries,generic,0.7,DML keyword delete used as a probe
345,time_blind,mssql,0.95,waitfor delay is a MSSQL time delay function
346,boolean_blind,generic,0.9,Tautology or 1=1 with non-printable character
347,error_based,generic,0.85,Forcing an error by referencing a non-existent table
348,boolean_blind,generic,0.9,Tautology or 1=1 with obfuscation
349,union_based,mssql,0.9,UNION SELECT with @@VERSION
350,stacked_queries,mssql,0.95,DECLARE and hex-encoded payload for MSSQL
351,boolean_blind,generic,0.85,Boolean condition userid IS NULL
352,boolean_blind,generic,0.9,Tautology or 1=1
353,union_based,mssql,0.9,UNION SELECT with @@VERSION
354,union_based,mysql,0.9,UNION SELECT with version()
355,union_based,mysql,0.9,UNION SELECT with version()
356,error_based,oracle,0.95,Oracle utl_inaddr error-based technique
357,error_based,oracle,0.95,Oracle error-based data exfiltration
358,boolean_blind,generic,0.9,Tautology or 1=1
359,boolean_blind,generic,0.9,Tautology or 1=1
