structure_cell_id,root_id,y_level,semantic_family,cell_index,cell_recipe,expected_samples,required_tokens,skeleton_reference,structure_signature,cell_contract
PG_BOOL_R001_C01,PG_BOOL_R001,Y2,comparison_numeric,1,base_predicate,6,=,INT = INT,6755654b2fba539b07353c1a,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R001_C02,PG_BOOL_R001,Y2,comparison_numeric,2,parenthesized_predicate,6,=,(INT = INT),0714f315616c14dc63e30f5e,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R001_C03,PG_BOOL_R001,Y2,comparison_numeric,3,negated_inverse_predicate,6,=|NOT,NOT (INT = INT),fbadceab1ea85ed3720142c2,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R001_C04,PG_BOOL_R001,Y2,comparison_numeric,4,is_true_wrapper,6,=|IS|TRUE,(INT = INT) IS TRUE,7d16609043eb636e022fe58c,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R001_C05,PG_BOOL_R001,Y2,comparison_numeric,5,is_not_false_wrapper,6,=|FALSE|IS|NOT,(INT = INT) IS NOT FALSE,23c28b3877d9eec20fbb01a8,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R001_C06,PG_BOOL_R001,Y2,comparison_numeric,6,case_boolean_wrapper,6,=|CASE|ELSE|END|FALSE|THEN|TRUE|WHEN,CASE WHEN (INT = INT) THEN TRUE ELSE FALSE END,249979b5837e78c3a479cb3f,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R001_C07,PG_BOOL_R001,Y2,comparison_numeric,7,and_true_guard,6,=|AND,(INT = INT) AND (INT = INT),9b4904058ad628ae6622fa62,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R001_C08,PG_BOOL_R001,Y2,comparison_numeric,8,or_false_guard,6,<|<>|=|>|OR,(INT = INT) OR (INT <> INT),6ed6034cc0077855bd4b7dd6,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R001_C09,PG_BOOL_R001,Y2,comparison_numeric,9,equals_true_wrapper,6,=|TRUE,((INT = INT) = TRUE),39ea4a31046babbf291041d6,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R001_C10,PG_BOOL_R001,Y2,comparison_numeric,10,coalesce_false_wrapper,6,=|COALESCE|FALSE,"COALESCE((INT = INT), FALSE)",8a1a6d1e2be3e2585e9c8ae8,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
