root_id,semantic_family,root_name,abstract_grammar,slot_schema,postgres_constructs,postgres_specificity,source_reference,context_requirement,injection_family,engine_validation_status,exploit_confirmation_status,corpus_role,attack_intent
PG_BOOL_R001,numeric_comparison,numeric_=,<num> <cmp_op> <num>,lhs:int; operator:cmp; rhs:int,=,standard_sql,https://www.postgresql.org/docs/18/functions-comparison.html,Z1_payload_only,Boolean_query_logic_candidate,not_executed_in_PostgreSQL_runtime,not_confirmed,seqgan_attack_source,boolean_predicate_injection
PG_BOOL_R002,numeric_comparison,numeric_<>,<num> <cmp_op> <num>,lhs:int; operator:cmp; rhs:int,<>,standard_sql,https://www.postgresql.org/docs/18/functions-comparison.html,Z1_payload_only,Boolean_query_logic_candidate,not_executed_in_PostgreSQL_runtime,not_confirmed,seqgan_attack_source,boolean_predicate_injection
PG_BOOL_R003,numeric_comparison,numeric_>,<num> <cmp_op> <num>,lhs:int; operator:cmp; rhs:int,>,standard_sql,https://www.postgresql.org/docs/18/functions-comparison.html,Z1_payload_only,Boolean_query_logic_candidate,not_executed_in_PostgreSQL_runtime,not_confirmed,seqgan_attack_source,boolean_predicate_injection
PG_BOOL_R004,numeric_comparison,numeric_<,<num> <cmp_op> <num>,lhs:int; operator:cmp; rhs:int,<,standard_sql,https://www.postgresql.org/docs/18/functions-comparison.html,Z1_payload_only,Boolean_query_logic_candidate,not_executed_in_PostgreSQL_runtime,not_confirmed,seqgan_attack_source,boolean_predicate_injection
PG_BOOL_R005,numeric_comparison,numeric_>=,<num> <cmp_op> <num>,lhs:int; operator:cmp; rhs:int,>=,standard_sql,https://www.postgresql.org/docs/18/functions-comparison.html,Z1_payload_only,Boolean_query_logic_candidate,not_executed_in_PostgreSQL_runtime,not_confirmed,seqgan_attack_source,boolean_predicate_injection
PG_BOOL_R006,string_comparison,string_=,<text> <cmp_predicate> <text>,lhs:text; operator:text_cmp; rhs:text,=,standard_or_pg_predicate,https://www.postgresql.org/docs/18/functions-comparison.html,Z1_payload_only,Boolean_query_logic_candidate,not_executed_in_PostgreSQL_runtime,not_confirmed,seqgan_attack_source,boolean_predicate_injection
PG_BOOL_R007,string_comparison,string_<>,<text> <cmp_predicate> <text>,lhs:text; operator:text_cmp; rhs:text,<>,standard_or_pg_predicate,https://www.postgresql.org/docs/18/functions-comparison.html,Z1_payload_only,Boolean_query_logic_candidate,not_executed_in_PostgreSQL_runtime,not_confirmed,seqgan_attack_source,boolean_predicate_injection
PG_BOOL_R008,string_comparison,string_<,<text> <cmp_predicate> <text>,lhs:text; operator:text_cmp; rhs:text,<,standard_or_pg_predicate,https://www.postgresql.org/docs/18/functions-comparison.html,Z1_payload_only,Boolean_query_logic_candidate,not_executed_in_PostgreSQL_runtime,not_confirmed,seqgan_attack_source,boolean_predicate_injection
PG_BOOL_R009,string_comparison,string_>,<text> <cmp_predicate> <text>,lhs:text; operator:text_cmp; rhs:text,>,standard_or_pg_predicate,https://www.postgresql.org/docs/18/functions-comparison.html,Z1_payload_only,Boolean_query_logic_candidate,not_executed_in_PostgreSQL_runtime,not_confirmed,seqgan_attack_source,boolean_predicate_injection
PG_BOOL_R010,string_comparison,string_IS_DISTINCT_FROM,<text> <cmp_predicate> <text>,lhs:text; operator:text_cmp; rhs:text,IS DISTINCT FROM,standard_or_pg_predicate,https://www.postgresql.org/docs/18/functions-comparison.html,Z1_payload_only,Boolean_query_logic_candidate,not_executed_in_PostgreSQL_runtime,not_confirmed,seqgan_attack_source,boolean_predicate_injection
PG_BOOL_R011,boolean_null_predicates,is_true,<expr> IS <predicate>,predicate:enum,IS TRUE/FALSE/NULL/DISTINCT FROM,standard_or_pg_predicate,https://www.postgresql.org/docs/18/functions-comparison.html,Z1_payload_only,Boolean_query_logic_candidate,not_executed_in_PostgreSQL_runtime,not_confirmed,seqgan_attack_source,boolean_predicate_injection
PG_BOOL_R012,boolean_null_predicates,is_false,<expr> IS <predicate>,predicate:enum,IS TRUE/FALSE/NULL/DISTINCT FROM,standard_or_pg_predicate,https://www.postgresql.org/docs/18/functions-comparison.html,Z1_payload_only,Boolean_query_logic_candidate,not_executed_in_PostgreSQL_runtime,not_confirmed,seqgan_attack_source,boolean_predicate_injection
PG_BOOL_R013,boolean_null_predicates,is_null,<expr> IS <predicate>,predicate:enum,IS TRUE/FALSE/NULL/DISTINCT FROM,standard_or_pg_predicate,https://www.postgresql.org/docs/18/functions-comparison.html,Z1_payload_only,Boolean_query_logic_candidate,not_executed_in_PostgreSQL_runtime,not_confirmed,seqgan_attack_source,boolean_predicate_injection
PG_BOOL_R014,boolean_null_predicates,is_not_null,<expr> IS <predicate>,predicate:enum,IS TRUE/FALSE/NULL/DISTINCT FROM,standard_or_pg_predicate,https://www.postgresql.org/docs/18/functions-comparison.html,Z1_payload_only,Boolean_query_logic_candidate,not_executed_in_PostgreSQL_runtime,not_confirmed,seqgan_attack_source,boolean_predicate_injection
PG_BOOL_R015,boolean_null_predicates,distinct_null,<expr> IS <predicate>,predicate:enum,IS TRUE/FALSE/NULL/DISTINCT FROM,standard_or_pg_predicate,https://www.postgresql.org/docs/18/functions-comparison.html,Z1_payload_only,Boolean_query_logic_candidate,not_executed_in_PostgreSQL_runtime,not_confirmed,seqgan_attack_source,boolean_predicate_injection
PG_BOOL_R016,range_predicate,range_1_BETWEEN,<num> BETWEEN-family <num> AND <num>,value:int; low:int; high:int; form:enum,BETWEEN,standard_sql_plus_symmetric,https://www.postgresql.org/docs/18/functions-comparison.html,Z1_payload_only,Boolean_query_logic_candidate,not_executed_in_PostgreSQL_runtime,not_confirmed,seqgan_attack_source,boolean_predicate_injection
PG_BOOL_R017,range_predicate,range_2_NOT_BETWEEN,<num> BETWEEN-family <num> AND <num>,value:int; low:int; high:int; form:enum,NOT BETWEEN,standard_sql_plus_symmetric,https://www.postgresql.org/docs/18/functions-comparison.html,Z1_payload_only,Boolean_query_logic_candidate,not_executed_in_PostgreSQL_runtime,not_confirmed,seqgan_attack_source,boolean_predicate_injection
PG_BOOL_R018,range_predicate,range_3_BETWEEN_SYMMETRIC,<num> BETWEEN-family <num> AND <num>,value:int; low:int; high:int; form:enum,BETWEEN SYMMETRIC,standard_sql_plus_symmetric,https://www.postgresql.org/docs/18/functions-comparison.html,Z1_payload_only,Boolean_query_logic_candidate,not_executed_in_PostgreSQL_runtime,not_confirmed,seqgan_attack_source,boolean_predicate_injection
PG_BOOL_R019,range_predicate,range_4_NOT_BETWEEN_SYMMETRIC,<num> BETWEEN-family <num> AND <num>,value:int; low:int; high:int; form:enum,NOT BETWEEN SYMMETRIC,standard_sql_plus_symmetric,https://www.postgresql.org/docs/18/functions-comparison.html,Z1_payload_only,Boolean_query_logic_candidate,not_executed_in_PostgreSQL_runtime,not_confirmed,seqgan_attack_source,boolean_predicate_injection
PG_BOOL_R020,range_predicate,range_5_BETWEEN,<num> BETWEEN-family <num> AND <num>,value:int; low:int; high:int; form:enum,BETWEEN,standard_sql_plus_symmetric,https://www.postgresql.org/docs/18/functions-comparison.html,Z1_payload_only,Boolean_query_logic_candidate,not_executed_in_PostgreSQL_runtime,not_confirmed,seqgan_attack_source,boolean_predicate_injection
PG_BOOL_R021,membership_list,membership_1_IN,<scalar> [NOT] IN (<list>),value:int; list:int[]; form:enum,IN,standard_sql,https://www.postgresql.org/docs/18/functions-comparisons.html,Z1_payload_only,Boolean_query_logic_candidate,not_executed_in_PostgreSQL_runtime,not_confirmed,seqgan_attack_source,boolean_predicate_injection
PG_BOOL_R022,membership_list,membership_2_NOT_IN,<scalar> [NOT] IN (<list>),value:int; list:int[]; form:enum,NOT IN,standard_sql,https://www.postgresql.org/docs/18/functions-comparisons.html,Z1_payload_only,Boolean_query_logic_candidate,not_executed_in_PostgreSQL_runtime,not_confirmed,seqgan_attack_source,boolean_predicate_injection
