structure_cell_id,root_id,y_level,semantic_family,cell_index,cell_recipe,expected_samples,required_tokens,skeleton_reference,structure_signature,cell_contract
PG_BOOL_R001_C01,PG_BOOL_R001,Y3,comparison_numeric,1,base_predicate,6,=,INT = INT,bd8b9220aa10d3b451871b64,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R001_C02,PG_BOOL_R001,Y3,comparison_numeric,2,parenthesized_predicate,6,=,(INT = INT),20456ffaf2feced61971f9e6,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R001_C03,PG_BOOL_R001,Y3,comparison_numeric,3,negated_inverse_predicate,6,=|NOT,NOT (INT = INT),efda4655d07d2181560b163a,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R001_C04,PG_BOOL_R001,Y3,comparison_numeric,4,is_true_wrapper,6,=|IS|TRUE,(INT = INT) IS TRUE,8cead2ce9610b71edcdc5bb2,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R001_C05,PG_BOOL_R001,Y3,comparison_numeric,5,is_not_false_wrapper,6,=|FALSE|IS|NOT,(INT = INT) IS NOT FALSE,0f2540381a7bb35a7fd0251c,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R001_C06,PG_BOOL_R001,Y3,comparison_numeric,6,case_boolean_wrapper,6,=|CASE|ELSE|END|FALSE|THEN|TRUE|WHEN,CASE WHEN (INT = INT) THEN TRUE ELSE FALSE END,edbf6447f7495c57cfe13669,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R001_C07,PG_BOOL_R001,Y3,comparison_numeric,7,and_true_guard,6,=|AND,(INT = INT) AND (INT = INT),9805160d12a91f712d5d3853,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R001_C08,PG_BOOL_R001,Y3,comparison_numeric,8,or_false_guard,6,<|<>|=|>|OR,(INT = INT) OR (INT <> INT),4567ded6874c739556561f4b,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R001_C09,PG_BOOL_R001,Y3,comparison_numeric,9,equals_true_wrapper,6,=|TRUE,((INT = INT) = TRUE),f45a3387ebaa193fe54ded39,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R001_C10,PG_BOOL_R001,Y3,comparison_numeric,10,coalesce_false_wrapper,6,=|COALESCE|FALSE,"COALESCE((INT = INT), FALSE)",019fc35f76eab6ec222f7ba8,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R002_C01,PG_BOOL_R002,Y3,comparison_numeric,1,base_predicate,6,<|<>|>,INT <> INT,e74e12a5a8988d658cb26004,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R002_C02,PG_BOOL_R002,Y3,comparison_numeric,2,parenthesized_predicate,6,<|<>|>,(INT <> INT),6dc2a82740dd354dede93012,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R002_C03,PG_BOOL_R002,Y3,comparison_numeric,3,negated_inverse_predicate,6,<|<>|>|NOT,NOT (INT <> INT),07dc9042127b69dbf66fdcb6,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R002_C04,PG_BOOL_R002,Y3,comparison_numeric,4,is_true_wrapper,6,<|<>|>|IS|TRUE,(INT <> INT) IS TRUE,849ad49171845cf7d4f6e67d,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
