row_index,payload_norm,sqli_type,db_engine,confidence,reasoning,label_source,verdict,critic_evidence,correction_json
5,select name from syscolumns where id = ( select id from sysobjects where name = tablename' ) --,benign,unknown,0.60,No attack signals detected after re-label,relabel-benign-fallback,REJECT,[C7] Structural issue: unbalanced single quotes (1). Plus attack signal detected -> benign label wrong,
49,or 1 --',benign,unknown,0.60,No attack signals detected after re-label,relabel-benign-fallback,REJECT,[C7] Structural issue: unbalanced single quotes (1). Plus attack signal detected -> benign label wrong,
66,""" or 0 = 0 --",benign,unknown,0.60,No attack signals detected after re-label,relabel-benign-fallback,REJECT,[C7] Structural issue: unbalanced double quotes (1). Plus attack signal detected -> benign label wrong,
169,""" ) or true--",benign,unknown,0.60,No attack signals detected after re-label,relabel-benign-fallback,REJECT,"[C7] Structural issue: unbalanced double quotes (1); parentheses mismatch (0 open, 1 close). Plus attack signal detected -> benign label wrong",
190,x' and 1 = ( select count ( * ) from tabname ) ; --,benign,unknown,0.60,No attack signals detected after re-label,relabel-benign-fallback,REJECT,[C7] Structural issue: unbalanced single quotes (1). Plus attack signal detected -> benign label wrong,
209,admin'/*,benign,unknown,0.60,No attack signals detected after re-label,relabel-benign-fallback,REJECT,[C7] Structural issue: unbalanced single quotes (1). Plus attack signal detected -> benign label wrong,
231,""" or true--",benign,unknown,0.60,No attack signals detected after re-label,relabel-benign-fallback,REJECT,[C7] Structural issue: unbalanced double quotes (1). Plus attack signal detected -> benign label wrong,
271,a' --,benign,unknown,0.60,No attack signals detected after re-label,relabel-benign-fallback,REJECT,[C7] Structural issue: unbalanced single quotes (1). Plus attack signal detected -> benign label wrong,
367,"1%"" ) and 8024 = 3560--",benign,unknown,0.60,No attack signals detected after re-label,relabel-benign-fallback,REJECT,"[C7] Structural issue: unbalanced double quotes (1); parentheses mismatch (0 open, 1 close). Plus attack signal detected -> benign label wrong",
442,"1%' ) ) and char ( 109 ) ||char ( 79 ) ||char ( 70 ) ||char ( 90 ) = regexp_substring ( repeat ( right ( char ( 5012 ) ,0 ) ,5000000000 ) ,null ) --",benign,unknown,0.60,No attack signals detected after re-label,relabel-benign-fallback,REJECT,"[C7] Structural issue: unbalanced single quotes (1); parentheses mismatch (8 open, 10 close). Plus attack signal detected -> benign label wrong",
466,1%' ) order by 1--,benign,unknown,0.60,No attack signals detected after re-label,relabel-benign-fallback,REJECT,"[C7] Structural issue: unbalanced single quotes (1); parentheses mismatch (0 open, 1 close). Plus attack signal detected -> benign label wrong",
473,-7562 ) or 8571 = 8571--,benign,unknown,0.60,No attack signals detected after re-label,relabel-benign-fallback,REJECT,"[C7] Structural issue: parentheses mismatch (0 open, 1 close). Plus attack signal detected -> benign label wrong",
474,"-3707"" ) ) ) or 8571 = 8571--",benign,unknown,0.60,No attack signals detected after re-label,relabel-benign-fallback,REJECT,"[C7] Structural issue: unbalanced double quotes (1); parentheses mismatch (0 open, 3 close). Plus attack signal detected -> benign label wrong",
599,1' ) and 9198 = 9198--,benign,unknown,0.60,No attack signals detected after re-label,relabel-benign-fallback,REJECT,"[C7] Structural issue: unbalanced single quotes (1); parentheses mismatch (0 open, 1 close). Plus attack signal detected -> benign label wrong",
636,-4892%' ) ) or 2251 = 9881--,benign,unknown,0.60,No attack signals detected after re-label,relabel-benign-fallback,REJECT,"[C7] Structural issue: unbalanced single quotes (1); parentheses mismatch (0 open, 2 close). Plus attack signal detected -> benign label wrong",
680,"1"" ) ) and char ( 107 ) ||char ( 121 ) ||char ( 97 ) ||char ( 80 ) = regexp_substring ( repeat ( left ( crypt_key ( char ( 65 ) ||char ( 69 ) ||char ( 83 ) ,null ) ,0 ) ,500000000 ) ,null ) --",benign,unknown,0.60,No attack signals detected after re-label,relabel-benign-fallback,REJECT,"[C7] Structural issue: unbalanced double quotes (1); parentheses mismatch (11 open, 13 close). Plus attack signal detected -> benign label wrong",
