template,label,original_count,kept,removed
A,0,2016,3,2013
N,0,968,3,965
A A,0,420,3,417
N'STR'A'STR'A,1,402,3,399
select avg ( A ) from A select sum ( A ),0,320,3,317
select count ( A ) from A,0,320,3,317
select * from A,0,272,3,269
select avg ( A ) from A,0,271,3,268
select * from A where A between 'STR' and 'STR',0,262,3,259
select * from A where A not like 'STR',0,240,3,237
select * from A where A = 'STR' A A N A A,0,179,3,176
select * from A A A N A A A,0,176,3,173
select * from ( select A from A ),0,166,3,163
select * from A where A = 'STR',0,165,3,162
select * from A where A = 'STR' limit N,0,162,3,159
select * from A where A = 'STR' or A = 'STR',0,160,3,157
select min ( A ) as A from A,0,158,3,155
N%'STR'%'STR',1,136,3,133
"select post_id, meta_key, meta_value from wp_postmeta where post_id in ( N ) ord",0,126,3,123
"select A as id, A as A from A",0,117,3,114
select option_value from wp_options where option_name = 'STR' limit N,0,116,3,113
N'STR'A'STR',1,101,3,98
delete from A,0,96,3,93
select A,0,95,3,92
from ( select A A from A ),0,95,3,92
select count ( * ) as A,0,95,3,92
"select column_name ( s ) from A,A",0,94,3,91
select * from A where A not between N and N,0,93,3,90
select * from A N,0,93,3,90
select * from A A A N A A select A N A * from A,0,93,3,90
delete from A where A = 'STR',0,93,3,90
"select * from A where A not in ( 'STR', 'STR', 'STR' )",0,92,3,89
select * from A A A N A A,0,92,3,89
select A N * from A where A = 'STR',0,91,3,88
select * from A where not A = 'STR',0,89,3,86
select * from A where A = 'STR' and A = 'STR',0,89,3,86
select A from A,0,88,3,85
select A N A * from A,0,88,3,85
select A N * from A,0,88,3,85
select A ( s ) from A union all,0,88,3,85
"select * from A where A in ( 'STR', 'STR', 'STR' )",0,87,3,84
select A N A * from A select * from A A A N A A onlyselect A N * from A,0,87,3,84
select A ( s ) from A union,0,87,3,84
select * from A where A not between 'STR' and 'STR',0,87,3,84
select * from A order by A A,0,86,3,83
select A ( s from A right join,0,86,3,83
select count ( A A ) from A,0,85,3,82
select A ( s ) from A,0,85,3,82
select A ( s ) from A left join,0,84,3,81
select A ( s ) from A inner join,0,84,3,81
"select * from A order by A, A",0,82,3,79
select A A from A,0,82,3,79
select * from A order by A,0,82,3,79
select * from A where not A = 'STR' and not A = 'STR',0,80,3,77
select * from A N select * from A,0,79,3,76
update A set A = 'STR'where A = 'STR',0,79,3,76
select * from A where A between N and N,0,79,3,76
select A ( s ) from A A outer join,0,77,3,74
"select * from A order by A A, A A",0,76,3,73
select A ( s ) from A select A ( s ),0,76,3,73
select * from A where A like 'STR',0,76,3,73
select * from A A A N A A onlyselect A N * from A,0,75,3,72
select * from A where A = A,0,74,3,71
select A N * from A select * from A 3select * from A,0,73,3,70
"update A set A = 'STR', A = 'STR' where A = A",0,72,3,69
select A N * from A where A = 'STR' select * from A,0,72,3,69
select * from A where A = 'STR' and ( A = 'STR' or A = 'STR' ),0,71,3,68
A de A,0,70,3,67
"select * from A where A between ""A"" and ""A""",0,69,3,66
select * from A where A in ( select A from A ),0,68,3,65
"insert into A ( A, A, A ) values ( 'STR', 'STR', 'STR' )",0,67,3,64
select A from A union select A from A order by A,0,65,3,62
select A ( s ) from A select A from A,0,65,3,62
"select A as A, A as [A] from A",0,63,3,60
"select count ( A ) , A from A by A",0,61,3,58
select A from A union all select A from A order by A,0,56,3,53
"select A, A, A from A where A is null",0,56,3,53
"select A, A+ 'STR' + A+ 'STR' + A+ 'STR' + A as A from A",0,48,3,45
"select A,A from A where A = 'STR' union select A, A from A",0,45,3,42
select ( case when ( N = N ) then N else cast ( N as A ) / ( select N from A ) e,1,42,3,39
"select * from generate_series ( N,N,case when ( N = N ) then N else N end ) limi",1,42,3,39
select ( case when ( N = N ) then N else N* ( select N from A.db ) end ) #,1,42,3,39
