payload_norm,sqli_type,db_engine,confidence,reasoning,verdict,critique_reasons,suggested_type,suggested_db,payload_inner,wrapper_detected,strip_depth,a_type,a_db,a_signals,c_type,c_db,c_signals
68203466w,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,68203466w,False,0,benign,generic,no attack signal detected,heavy_query,generic,contains 7+ digit number (DoS-style payload)
hermanos barral 61,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,hermanos barral 61,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
ombra,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,ombra,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
aloguer,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,aloguer,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
"calle godelleta, s/n",benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,"calle godelleta, s/n",False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
oliveira,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,oliveira,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
07077546d,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,07077546d,False,0,benign,generic,no attack signal detected,heavy_query,generic,contains 7+ digit number (DoS-style payload)
cetraro,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,cetraro,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
casademonts,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,casademonts,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
38747118f,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,38747118f,False,0,benign,generic,no attack signal detected,heavy_query,generic,contains 7+ digit number (DoS-style payload)
rubio,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,rubio,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
grodecki,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,grodecki,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
bat3an,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,bat3an,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
"c/ reina del cielo 136, 8-d",benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,"c/ reina del cielo 136, 8-d",False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
villarrasa,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,villarrasa,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
pereda barrio,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,pereda barrio,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
"antonio asenjo, 178, 6?h",benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,"antonio asenjo, 178, 6?h",False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
57757963h,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,57757963h,False,0,benign,generic,no attack signal detected,heavy_query,generic,contains 7+ digit number (DoS-style payload)
alins,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,alins,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
legarreta sant,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,legarreta sant,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
maduric@biosoftware.th,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,maduric@biosoftware.th,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
"puerta del sol 124, 8?h",benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,"puerta del sol 124, 8?h",False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
afoscarse,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,afoscarse,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
p5r0i9i5ar,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,p5r0i9i5ar,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
fontellas,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,fontellas,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
lasedad,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,lasedad,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
jerez brecha,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,jerez brecha,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
cousinea,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,cousinea,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
476en9o9na5,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,476en9o9na5,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
sabanaya4,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,sabanaya4,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
"c/ los mimbres, 31",benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,"c/ los mimbres, 31",False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
"calle marsella s/n,",benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,"calle marsella s/n,",False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
yaonan,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,yaonan,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
flo hosta,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,flo hosta,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
maijhara,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,maijhara,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
7.96454E+15,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,7.96454E+15,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
franklin,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,franklin,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
chimenea,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,chimenea,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
fabres jordi,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,fabres jordi,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
