structure_cell_id,root_id,complexity,database,query_language,d_category,rendering_recipe,expected_samples,cross_db_semantic_equivalence,execution_context
Y4_R01_D01,Y4_R01,Y4_Basic_Obfuscation,PostgreSQL,SQL,D1,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R01_D02,Y4_R01,Y4_Basic_Obfuscation,MySQL,SQL,D1,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R01_D03,Y4_R01,Y4_Basic_Obfuscation,MariaDB,SQL,D1,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R01_D04,Y4_R01,Y4_Basic_Obfuscation,SQLite,SQL,D1,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R01_D05,Y4_R01,Y4_Basic_Obfuscation,SQL Server,T-SQL,D1,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R01_D06,Y4_R01,Y4_Basic_Obfuscation,Oracle,SQL,D1,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R01_D07,Y4_R01,Y4_Basic_Obfuscation,BigQuery,GoogleSQL,D2,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R01_D08,Y4_R01,Y4_Basic_Obfuscation,Snowflake,SQL,D2,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R01_D09,Y4_R01,Y4_Basic_Obfuscation,ClickHouse,SQL,D2,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R01_D10,Y4_R01,Y4_Basic_Obfuscation,DuckDB,SQL,D2,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R01_D11,Y4_R01,Y4_Basic_Obfuscation,MongoDB,MQL/JSON,D3,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R01_D12,Y4_R01,Y4_Basic_Obfuscation,Couchbase,SQL++,D3,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R01_D13,Y4_R01,Y4_Basic_Obfuscation,Redis,RediSearch query syntax (module required),D4,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R01_D14,Y4_R01,Y4_Basic_Obfuscation,Cassandra,CQL,D4,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R01_D15,Y4_R01,Y4_Basic_Obfuscation,DynamoDB,Condition/FilterExpression with values,D4,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
