structure_cell_id,root_id,y_level,semantic_family,cell_index,cell_recipe,expected_samples,required_tokens,skeleton_reference,structure_signature,cell_contract,module_id,module_short,ruleset_version
PG_BOOL_R001_C01,PG_BOOL_R001,Y1,comparison_numeric,1,base_predicate,6,=,INT = INT,e1940b84d0c078fe0c702393,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R001_C02,PG_BOOL_R001,Y1,comparison_numeric,2,parenthesized_predicate,6,=,(INT = INT),e62aeb1f44addd5ddb04a544,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R001_C03,PG_BOOL_R001,Y1,comparison_numeric,3,negated_inverse_predicate,6,=|NOT,NOT (INT = INT),7748d0fc3895108e6c8360d5,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R001_C04,PG_BOOL_R001,Y1,comparison_numeric,4,is_true_wrapper,6,=|IS|TRUE,(INT = INT) IS TRUE,cd66f7c5508e7cbe01b98c58,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R001_C05,PG_BOOL_R001,Y1,comparison_numeric,5,is_not_false_wrapper,6,=|FALSE|IS|NOT,(INT = INT) IS NOT FALSE,aee19333e98664341eedc149,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R001_C06,PG_BOOL_R001,Y1,comparison_numeric,6,case_boolean_wrapper,6,=|CASE|ELSE|END|FALSE|THEN|TRUE|WHEN,CASE WHEN (INT = INT) THEN TRUE ELSE FALSE END,940d857070805c2a479fed62,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R001_C07,PG_BOOL_R001,Y1,comparison_numeric,7,and_true_guard,6,=|AND,(INT = INT) AND (INT = INT),992ea1dcc1c1d4b5af3ccb10,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R001_C08,PG_BOOL_R001,Y1,comparison_numeric,8,or_false_guard,6,<|<>|=|>|OR,(INT = INT) OR (INT <> INT),9b3754c90b04c13b7a9383c6,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R001_C09,PG_BOOL_R001,Y1,comparison_numeric,9,equals_true_wrapper,6,=|TRUE,((INT = INT) = TRUE),8264287706d8a3a35be8165e,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R001_C10,PG_BOOL_R001,Y1,comparison_numeric,10,coalesce_false_wrapper,6,=|COALESCE|FALSE,"COALESCE((INT = INT), FALSE)",cd4dcde04e91128963995e04,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R002_C01,PG_BOOL_R002,Y1,comparison_numeric,1,base_predicate,6,<|<>|>,INT <> INT,ca12aa903ecf1f98d69d12f5,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R002_C02,PG_BOOL_R002,Y1,comparison_numeric,2,parenthesized_predicate,6,<|<>|>,(INT <> INT),af2538bd9a97a23074d94cd3,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R002_C03,PG_BOOL_R002,Y1,comparison_numeric,3,negated_inverse_predicate,6,<|<>|>|NOT,NOT (INT <> INT),fbe93d7b603d46acca49eb75,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R002_C04,PG_BOOL_R002,Y1,comparison_numeric,4,is_true_wrapper,6,<|<>|>|IS|TRUE,(INT <> INT) IS TRUE,834018fe8e1203991713828d,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R002_C05,PG_BOOL_R002,Y1,comparison_numeric,5,is_not_false_wrapper,6,<|<>|>|FALSE|IS|NOT,(INT <> INT) IS NOT FALSE,2575122d573ae72cb953eeff,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R002_C06,PG_BOOL_R002,Y1,comparison_numeric,6,case_boolean_wrapper,6,<|<>|>|CASE|ELSE|END|FALSE|THEN|TRUE|WHEN,CASE WHEN (INT <> INT) THEN TRUE ELSE FALSE END,6bdd2684b1d83be181616a7c,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R002_C07,PG_BOOL_R002,Y1,comparison_numeric,7,and_true_guard,6,<|<>|=|>|AND,(INT <> INT) AND (INT = INT),93b2d540af18db2a40282cb5,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R002_C08,PG_BOOL_R002,Y1,comparison_numeric,8,or_false_guard,6,<|<>|>|OR,(INT <> INT) OR (INT <> INT),03c3eee391bab538ee0d3610,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R002_C09,PG_BOOL_R002,Y1,comparison_numeric,9,equals_true_wrapper,6,<|<>|=|>|TRUE,((INT <> INT) = TRUE),7c08cf739d6fd4f37582ca4f,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R002_C10,PG_BOOL_R002,Y1,comparison_numeric,10,coalesce_false_wrapper,6,<|<>|>|COALESCE|FALSE,"COALESCE((INT <> INT), FALSE)",1644ddf43eb5ed87f36cbb0f,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R003_C01,PG_BOOL_R003,Y1,comparison_numeric,1,base_predicate,6,>,INT > INT,46e4e3ac2ca7fceae37ebdc7,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R003_C02,PG_BOOL_R003,Y1,comparison_numeric,2,parenthesized_predicate,6,>,(INT > INT),0aa3314672c8d69375b6ed09,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R003_C03,PG_BOOL_R003,Y1,comparison_numeric,3,negated_inverse_predicate,6,>|NOT,NOT (INT > INT),f17ab3223917f146d475c39e,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R003_C04,PG_BOOL_R003,Y1,comparison_numeric,4,is_true_wrapper,6,>|IS|TRUE,(INT > INT) IS TRUE,ec486c9559ef36cb0d996379,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R003_C05,PG_BOOL_R003,Y1,comparison_numeric,5,is_not_false_wrapper,6,>|FALSE|IS|NOT,(INT > INT) IS NOT FALSE,bab58377fd61e82d5595283e,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R003_C06,PG_BOOL_R003,Y1,comparison_numeric,6,case_boolean_wrapper,6,>|CASE|ELSE|END|FALSE|THEN|TRUE|WHEN,CASE WHEN (INT > INT) THEN TRUE ELSE FALSE END,8e9936f020f8c464473dc6de,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R003_C07,PG_BOOL_R003,Y1,comparison_numeric,7,and_true_guard,6,=|>|AND,(INT > INT) AND (INT = INT),6a02482c0ca3e2c9655a8b6d,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R003_C08,PG_BOOL_R003,Y1,comparison_numeric,8,or_false_guard,6,<|<>|>|OR,(INT > INT) OR (INT <> INT),391f43c12b8dbccda0402b16,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R003_C09,PG_BOOL_R003,Y1,comparison_numeric,9,equals_true_wrapper,6,=|>|TRUE,((INT > INT) = TRUE),8ef38ebaada7d86ed4bbd213,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R003_C10,PG_BOOL_R003,Y1,comparison_numeric,10,coalesce_false_wrapper,6,>|COALESCE|FALSE,"COALESCE((INT > INT), FALSE)",8b2747bdc4c29cf4b4ced3a6,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R004_C01,PG_BOOL_R004,Y1,comparison_numeric,1,base_predicate,6,<|<=|=,INT <= INT,2546223ab3c480d551bc1514,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R004_C02,PG_BOOL_R004,Y1,comparison_numeric,2,parenthesized_predicate,6,<|<=|=,(INT <= INT),34a8978a4d6b251d48386faf,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R004_C03,PG_BOOL_R004,Y1,comparison_numeric,3,negated_inverse_predicate,6,<|<=|=|NOT,NOT (INT <= INT),219078eac50693c9dc32eb12,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R004_C04,PG_BOOL_R004,Y1,comparison_numeric,4,is_true_wrapper,6,<|<=|=|IS|TRUE,(INT <= INT) IS TRUE,58e140e63302ad6d36ea50ef,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R004_C05,PG_BOOL_R004,Y1,comparison_numeric,5,is_not_false_wrapper,6,<|<=|=|FALSE|IS|NOT,(INT <= INT) IS NOT FALSE,fb8cadc550e493b467e9e281,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
