structure_cell_id,root_id,y_level,semantic_family,cell_index,cell_recipe,expected_samples,required_tokens,skeleton_reference,structure_signature,cell_contract
PG_BOOL_R001_C01,PG_BOOL_R001,Y4,comparison_numeric,1,base_predicate,6,=,INT = INT,b13df2935590868afc5a2384,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R001_C02,PG_BOOL_R001,Y4,comparison_numeric,2,parenthesized_predicate,6,=,(INT = INT),7ae2e0e029795cf8d4de19c5,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R001_C03,PG_BOOL_R001,Y4,comparison_numeric,3,negated_inverse_predicate,6,=|NOT,NOT (INT = INT),cfab80a7f312ba93e2f98106,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R001_C04,PG_BOOL_R001,Y4,comparison_numeric,4,is_true_wrapper,6,=|IS|TRUE,(INT = INT) IS TRUE,3c825b70bfb3485f5b36a44e,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R001_C05,PG_BOOL_R001,Y4,comparison_numeric,5,is_not_false_wrapper,6,=|FALSE|IS|NOT,(INT = INT) IS NOT FALSE,3f3f91bb4bc02dbb88a05338,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R001_C06,PG_BOOL_R001,Y4,comparison_numeric,6,case_boolean_wrapper,6,=|CASE|ELSE|END|FALSE|THEN|TRUE|WHEN,CASE WHEN (INT = INT) THEN TRUE ELSE FALSE END,4dfc3421865b35958847ebee,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R001_C07,PG_BOOL_R001,Y4,comparison_numeric,7,and_true_guard,6,=|AND,(INT = INT) AND (INT = INT),4473620ea0ad9628d8cd1fb0,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R001_C08,PG_BOOL_R001,Y4,comparison_numeric,8,or_false_guard,6,<|<>|=|>|OR,(INT = INT) OR (INT <> INT),b6611b662b1a6cbe8b9f1ac0,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R001_C09,PG_BOOL_R001,Y4,comparison_numeric,9,equals_true_wrapper,6,=|TRUE,((INT = INT) = TRUE),25b8e0766dd2f61b7f6fded7,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R001_C10,PG_BOOL_R001,Y4,comparison_numeric,10,coalesce_false_wrapper,6,=|COALESCE|FALSE,"COALESCE((INT = INT), FALSE)",6049070d6c434f61722dd456,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R002_C01,PG_BOOL_R002,Y4,comparison_numeric,1,base_predicate,6,<|<>|>,INT <> INT,478ef4b84c591c8fc35de9f0,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R002_C02,PG_BOOL_R002,Y4,comparison_numeric,2,parenthesized_predicate,6,<|<>|>,(INT <> INT),0ada26cb5f225a50970be1a4,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R002_C03,PG_BOOL_R002,Y4,comparison_numeric,3,negated_inverse_predicate,6,<|<>|>|NOT,NOT (INT <> INT),bf26bef690eccc40e41de8d5,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R002_C04,PG_BOOL_R002,Y4,comparison_numeric,4,is_true_wrapper,6,<|<>|>|IS|TRUE,(INT <> INT) IS TRUE,af4cf6995a614fc59820c028,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R002_C05,PG_BOOL_R002,Y4,comparison_numeric,5,is_not_false_wrapper,6,<|<>|>|FALSE|IS|NOT,(INT <> INT) IS NOT FALSE,c7e60c2f234e2c0c0f697227,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R002_C06,PG_BOOL_R002,Y4,comparison_numeric,6,case_boolean_wrapper,6,<|<>|>|CASE|ELSE|END|FALSE|THEN|TRUE|WHEN,CASE WHEN (INT <> INT) THEN TRUE ELSE FALSE END,efa550f2c71b23c5f2bc0891,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R002_C07,PG_BOOL_R002,Y4,comparison_numeric,7,and_true_guard,6,<|<>|=|>|AND,(INT <> INT) AND (INT = INT),69f469431e5db69d620bb8a5,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R002_C08,PG_BOOL_R002,Y4,comparison_numeric,8,or_false_guard,6,<|<>|>|OR,(INT <> INT) OR (INT <> INT),3155a0369d87978b24feae8b,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R002_C09,PG_BOOL_R002,Y4,comparison_numeric,9,equals_true_wrapper,6,<|<>|=|>|TRUE,((INT <> INT) = TRUE),3c5bb4e6c1d842fd476fc591,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R002_C10,PG_BOOL_R002,Y4,comparison_numeric,10,coalesce_false_wrapper,6,<|<>|>|COALESCE|FALSE,"COALESCE((INT <> INT), FALSE)",2956b5e70edcd0072b487ff6,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R003_C01,PG_BOOL_R003,Y4,comparison_numeric,1,base_predicate,6,>,INT > INT,1b7da73bc82653863aff1b83,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R003_C02,PG_BOOL_R003,Y4,comparison_numeric,2,parenthesized_predicate,6,>,(INT > INT),3c52f196e295a94a5ad181ae,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
