payload_raw,payload_norm,payload_delex,label,is_obfuscated,sqli_type_hint,source
SELECT * FROM with WHERE dress = 'band' LIMIT 3,SELECT * FROM with WHERE dress = 'band' LIMIT 3,SELECT * FROM with WHERE dress = <STR> LIMIT <NUM>,0,False,,sqli_dataset
SELECT * FROM plane WHERE band = 'gold' FETCH FIRST 3 ROWS ONLY,SELECT * FROM plane WHERE band = 'gold' FETCH FIRST 3 ROWS ONLY,SELECT * FROM plane WHERE band = <STR> FETCH FIRST <NUM> ROWS ONLY,0,False,,sqli_dataset
SELECT MIN ( bag )  AS engineer FROM jump,SELECT MIN ( bag ) AS engineer FROM jump,SELECT MIN ( bag ) AS engineer FROM jump,0,False,,sqli_dataset
SELECT MIN ( handsome )  AS lay FROM mad,SELECT MIN ( handsome ) AS lay FROM mad,SELECT MIN ( handsome ) AS lay FROM mad,0,False,,sqli_dataset
SELECT * FROM  ( SELECT someone FROM nor ),SELECT * FROM ( SELECT someone FROM nor ),SELECT * FROM ( SELECT someone FROM nor ),0,False,,sqli_dataset
SELECT TOP 3 * FROM higher SELECT * FROM ourselves 3SELECT * FROM worse,SELECT TOP 3 * FROM higher SELECT * FROM ourselves 3SELECT * FROM worse,SELECT TOP <NUM> * FROM higher SELECT * FROM ourselves 3SELECT * FROM worse,0,False,,sqli_dataset
SELECT * FROM excitement 3 SELECT * FROM railroad,SELECT * FROM excitement 3 SELECT * FROM railroad,SELECT * FROM excitement <NUM> SELECT * FROM railroad,0,False,,sqli_dataset
SELECT * FROM her FETCH FIRST 3 ROWS ONLY SELECT TOP 50 PERCENT * FROM driving,SELECT * FROM her FETCH FIRST 3 ROWS ONLY SELECT TOP 50 PERCENT * FROM driving,SELECT * FROM her FETCH FIRST <NUM> ROWS ONLY SELECT TOP <NUM> PERCENT * FROM driving,0,False,,sqli_dataset
SELECT TOP 50 PERCENT * FROM became SELECT * FROM road FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM salt,SELECT TOP 50 PERCENT * FROM became SELECT * FROM road FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM salt,SELECT TOP <NUM> PERCENT * FROM became SELECT * FROM road FETCH FIRST <NUM> PERCENT ROWS ONLYSELECT TOP <NUM> * FROM salt,0,False,,sqli_dataset
SELECT * FROM signal FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM kitchen,SELECT * FROM signal FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM kitchen,SELECT * FROM signal FETCH FIRST <NUM> PERCENT ROWS ONLYSELECT TOP <NUM> * FROM kitchen,0,False,,sqli_dataset
