payload_raw,payload_norm,payload_delex,label,is_obfuscated,sqli_type_hint,source
SELECT DISTINCT activity FROM tax,SELECT DISTINCT activity FROM tax,SELECT DISTINCT activity FROM tax,0,False,,sqli_dataset
SELECT COUNT ( DISTINCT shout )  FROM sky,SELECT COUNT ( DISTINCT shout ) FROM sky,SELECT COUNT ( DISTINCT shout ) FROM sky,0,False,,sqli_dataset
SELECT Count ( * )  AS company,SELECT Count ( * ) AS company,SELECT Count ( * ) AS company,0,False,,sqli_dataset
FROM  ( SELECT DISTINCT us FROM slabs ),FROM ( SELECT DISTINCT us FROM slabs ),FROM ( SELECT DISTINCT us FROM slabs ),0,False,,sqli_dataset
SELECT * FROM willing,SELECT * FROM willing,SELECT * FROM willing,0,False,,sqli_dataset
SELECT * FROM wise WHERE power = 'growth',SELECT * FROM wise WHERE power = 'growth',SELECT * FROM wise WHERE power = <STR>,0,False,,sqli_dataset
SELECT * FROM cause WHERE atomic = 'plural',SELECT * FROM cause WHERE atomic = 'plural',SELECT * FROM cause WHERE atomic = <STR>,0,False,,sqli_dataset
SELECT * FROM picture  WHERE second = above,SELECT * FROM picture WHERE second = above,SELECT * FROM picture WHERE second = above,0,False,,sqli_dataset
SELECT * FROM protection WHERE gold = 'involved'  AND City = 'poem',SELECT * FROM protection WHERE gold = 'involved' AND City = 'poem',SELECT * FROM protection WHERE gold = <STR> AND City = <STR>,0,False,,sqli_dataset
SELECT * FROM shut WHERE five = 'combine'  OR wore = 'put',SELECT * FROM shut WHERE five = 'combine' OR wore = 'put',SELECT * FROM shut WHERE five = <STR> OR wore = <STR>,0,False,,sqli_dataset
SELECT * FROM butter WHERE spent = 'want'  OR court = 'very',SELECT * FROM butter WHERE spent = 'want' OR court = 'very',SELECT * FROM butter WHERE spent = <STR> OR court = <STR>,0,False,,sqli_dataset
SELECT * FROM protection WHERE    NOT everybody = 'able',SELECT * FROM protection WHERE NOT everybody = 'able',SELECT * FROM protection WHERE NOT everybody = <STR>,0,False,,sqli_dataset
SELECT * FROM family WHERE national = 'finish'  AND  ( thousand = 'how' OR shout = 'pan' ),SELECT * FROM family WHERE national = 'finish' AND ( thousand = 'how' OR shout = 'pan' ),SELECT * FROM family WHERE national = <STR> AND ( thousand = <STR> OR shout = <STR> ),0,False,,sqli_dataset
SELECT * FROM inside WHERE NOT fall = 'book'  AND NOT fell = 'year',SELECT * FROM inside WHERE NOT fall = 'book' AND NOT fell = 'year',SELECT * FROM inside WHERE NOT fall = <STR> AND NOT fell = <STR>,0,False,,sqli_dataset
SELECT * FROM composition ORDER BY enough,SELECT * FROM composition ORDER BY enough,SELECT * FROM composition ORDER BY enough,0,False,,sqli_dataset
SELECT * FROM row ORDER BY change DESC,SELECT * FROM row ORDER BY change DESC,SELECT * FROM row ORDER BY change DESC,0,False,,sqli_dataset
"SELECT * FROM blank ORDER BY death, what","SELECT * FROM blank ORDER BY death, what","SELECT * FROM blank ORDER BY death, what",0,False,,sqli_dataset
"SELECT * FROM he ORDER BY usually ASC, rapidly DESC","SELECT * FROM he ORDER BY usually ASC, rapidly DESC","SELECT * FROM he ORDER BY usually ASC, rapidly DESC",0,False,,sqli_dataset
"INSERT INTO help ( grandfather, lungs, trail, time, closer, tongue )  VALUES  ( 'mistake', 'means'. surprise', 'outer', 'porch', 'beside', 'captain' )","INSERT INTO help ( grandfather, lungs, trail, time, closer, tongue ) VALUES ( 'mistake', 'means'. surprise', 'outer', 'porch', 'beside', 'captain' )","INSERT INTO help ( grandfather, lungs, trail, time, closer, tongue ) VALUES ( <STR>, <STR>. surprise<STR>outer<STR>porch<STR>beside<STR>captain' )",0,False,,sqli_dataset
