rendered_sample_id,parent_sample_id,parent_ruleset_id,parent_module_id,target_module_id,payload_before_transform,payload_after_transform,transform_recipe_id,transform_family,roundtrip_valid,structure_preserved,semantic_preserved,parent_reward_total,render_reward_total,accepted_for_next_stage,runtime_validation_required,runtime_claim_allowed,lineage_source
Y3_R001_C01_S01,Y1_R001_C01_S01,RS_Y1_R001_C01,Y1_basic_boolean,Y3_encoded_boolean,32 = 32,32%20%3D%2032,T_Y3_URL_FULL,url_encode_space_delimiter_operator_quote,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R001_C01_S02,Y2_R001_C01_S02,RS_Y2_R001_C01,Y2_boolean_variation,Y3_encoded_boolean,45 = 45,45%20=%2045,T_Y3_URL_PARTIAL,partial_url_encode_space_parentheses_comma,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R001_C01_S03,Y1_R001_C01_S03,RS_Y1_R001_C01,Y1_basic_boolean,Y3_encoded_boolean,58 = 58,58%20%3D%2058,T_Y3_OPERATOR_QUOTE_PERCENT,operator_and_quote_percent_encoding,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R001_C01_S04,Y1_R001_C01_S04,RS_Y1_R001_C01,Y1_basic_boolean,Y3_encoded_boolean,71 = 88,71%20%3D%2088,T_Y3_URL_FULL,url_encode_space_delimiter_operator_quote,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R001_C01_S05,Y2_R001_C01_S05,RS_Y2_R001_C01,Y2_boolean_variation,Y3_encoded_boolean,84 = 4,84%20=%204,T_Y3_URL_PARTIAL,partial_url_encode_space_parentheses_comma,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R001_C01_S06,Y1_R001_C01_S06,RS_Y1_R001_C01,Y1_basic_boolean,Y3_encoded_boolean,97 = 17,97%20%3D%2017,T_Y3_OPERATOR_QUOTE_PERCENT,operator_and_quote_percent_encoding,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R001_C02_S01,Y2_R001_C02_S01,RS_Y2_R001_C02,Y2_boolean_variation,Y3_encoded_boolean,(43 = 43),%2843%20=%2043%29,T_Y3_URL_PARTIAL,partial_url_encode_space_parentheses_comma,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R001_C02_S02,Y1_R001_C02_S02,RS_Y1_R001_C02,Y1_basic_boolean,Y3_encoded_boolean,(56 = 56),(56%20%3D%2056),T_Y3_OPERATOR_QUOTE_PERCENT,operator_and_quote_percent_encoding,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R001_C02_S03,Y1_R001_C02_S03,RS_Y1_R001_C02,Y1_basic_boolean,Y3_encoded_boolean,(69 = 69),%2869%20%3D%2069%29,T_Y3_URL_FULL,url_encode_space_delimiter_operator_quote,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R001_C02_S04,Y2_R001_C02_S04,RS_Y2_R001_C02,Y2_boolean_variation,Y3_encoded_boolean,(82 = 2),%2882%20=%202%29,T_Y3_URL_PARTIAL,partial_url_encode_space_parentheses_comma,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R001_C02_S05,Y1_R001_C02_S05,RS_Y1_R001_C02,Y1_basic_boolean,Y3_encoded_boolean,(95 = 15),(95%20%3D%2015),T_Y3_OPERATOR_QUOTE_PERCENT,operator_and_quote_percent_encoding,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R001_C02_S06,Y1_R001_C02_S06,RS_Y1_R001_C02,Y1_basic_boolean,Y3_encoded_boolean,(11 = 28),%2811%20%3D%2028%29,T_Y3_URL_FULL,url_encode_space_delimiter_operator_quote,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R001_C03_S01,Y1_R001_C03_S01,RS_Y1_R001_C03,Y1_basic_boolean,Y3_encoded_boolean,NOT (54 = 71),NOT%20(54%20%3D%2071),T_Y3_OPERATOR_QUOTE_PERCENT,operator_and_quote_percent_encoding,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
