row_index,payload_norm,sqli_type,db_engine,confidence,reasoning,label_source,verdict,critic_evidence,correction_json
0,""" or pg_sleep ( __TIME__ ) --",time_blind,mysql,0.95,"sleep (, pg_sleep ( is PostgreSQL-specific time-delay function — time-based blind inference (priority 5)",rule-based,REJECT,"[C7] Structural issue: unbalanced double quotes (1). Payload syntax not complete, confidence may need adjustment | [C8] Historical DB mismatch: 'pg_sleep' is postgresql-exclusive, but db_engine=mysql","{""db_engine"": ""postgresql""}"
5,select name from syscolumns where id = ( select id from sysobjects where name = tablename' ) --,benign,generic,0.8,No attack signals detected in payload,rule-based,REJECT,[C7] Structural issue: unbalanced single quotes (1). Plus attack signal detected -> benign label wrong,
49,or 1 --',benign,generic,0.8,No attack signals detected in payload,rule-based,REJECT,[C7] Structural issue: unbalanced single quotes (1). Plus attack signal detected -> benign label wrong,
57,1 or pg_sleep ( __TIME__ ) --,time_blind,mysql,0.95,"sleep (, pg_sleep ( is PostgreSQL-specific time-delay function — time-based blind inference (priority 5)",rule-based,REJECT,"[C8] Historical DB mismatch: 'pg_sleep' is postgresql-exclusive, but db_engine=mysql","{""db_engine"": ""postgresql""}"
66,""" or 0 = 0 --",benign,generic,0.8,No attack signals detected in payload,rule-based,REJECT,[C7] Structural issue: unbalanced double quotes (1). Plus attack signal detected -> benign label wrong,
91,"; if not ( substring ( ( select @@version ) ,24,1 ) <> 1 ) waitfor delay '0:0:2' --",time_blind,mysql,0.95,waitfor delay is MSSQL-specific time-delay function — time-based blind inference (priority 5),rule-based,REJECT,"[C8] Historical DB mismatch: 'waitfor delay' is mssql-exclusive, but db_engine=mysql","{""db_engine"": ""mssql""}"
109,1 ) ) or pg_sleep ( __TIME__ ) --,time_blind,mysql,0.95,"sleep (, pg_sleep ( is PostgreSQL-specific time-delay function — time-based blind inference (priority 5)",rule-based,REJECT,"[C7] Structural issue: parentheses mismatch (1 open, 3 close). Payload syntax not complete, confidence may need adjustment | [C8] Historical DB mismatch: 'pg_sleep' is postgresql-exclusive, but db_engine=mysql","{""db_engine"": ""postgresql""}"
129,"; if not ( substring ( ( select @@version ) ,25,1 ) <> 0 ) waitfor delay '0:0:2' --",time_blind,mysql,0.95,waitfor delay is MSSQL-specific time-delay function — time-based blind inference (priority 5),rule-based,REJECT,"[C8] Historical DB mismatch: 'waitfor delay' is mssql-exclusive, but db_engine=mysql","{""db_engine"": ""mssql""}"
152,) ) or pg_sleep ( __TIME__ ) --,time_blind,mysql,0.95,"sleep (, pg_sleep ( is PostgreSQL-specific time-delay function — time-based blind inference (priority 5)",rule-based,REJECT,"[C7] Structural issue: parentheses mismatch (1 open, 3 close). Payload syntax not complete, confidence may need adjustment | [C8] Historical DB mismatch: 'pg_sleep' is postgresql-exclusive, but db_engine=mysql","{""db_engine"": ""postgresql""}"
169,""" ) or true--",benign,generic,0.8,No attack signals detected in payload,rule-based,REJECT,"[C7] Structural issue: unbalanced double quotes (1); parentheses mismatch (0 open, 1 close). Plus attack signal detected -> benign label wrong",
172,1 ) or pg_sleep ( __TIME__ ) --,time_blind,mysql,0.95,"sleep (, pg_sleep ( is PostgreSQL-specific time-delay function — time-based blind inference (priority 5)",rule-based,REJECT,"[C7] Structural issue: parentheses mismatch (1 open, 2 close). Payload syntax not complete, confidence may need adjustment | [C8] Historical DB mismatch: 'pg_sleep' is postgresql-exclusive, but db_engine=mysql","{""db_engine"": ""postgresql""}"
190,x' and 1 = ( select count ( * ) from tabname ) ; --,benign,generic,0.8,No attack signals detected in payload,rule-based,REJECT,[C7] Structural issue: unbalanced single quotes (1). Plus attack signal detected -> benign label wrong,
209,admin'/*,benign,generic,0.8,No attack signals detected in payload,rule-based,REJECT,[C7] Structural issue: unbalanced single quotes (1). Plus attack signal detected -> benign label wrong,
231,""" or true--",benign,generic,0.8,No attack signals detected in payload,rule-based,REJECT,[C7] Structural issue: unbalanced double quotes (1). Plus attack signal detected -> benign label wrong,
334,pg_sleep ( __TIME__ ) --,time_blind,mysql,0.95,"sleep (, pg_sleep ( is PostgreSQL-specific time-delay function — time-based blind inference (priority 5)",rule-based,REJECT,"[C8] Historical DB mismatch: 'pg_sleep' is postgresql-exclusive, but db_engine=mysql","{""db_engine"": ""postgresql""}"
351,x' AND userid IS NULL; --,benign,generic,0.8,No attack signals detected in payload,rule-based,REJECT,[C7] Structural issue: unbalanced single quotes (1). Plus attack signal detected -> benign label wrong,
366,x' and members.email is NULL; --,benign,generic,0.8,No attack signals detected in payload,rule-based,REJECT,[C7] Structural issue: unbalanced single quotes (1). Plus attack signal detected -> benign label wrong,
