payload_raw,label,source,sqli_type_hint,is_obfuscated,payload_norm,payload_delex
"   SELECT apart, single, remarkable FROM fox WHERE activity  IS NULL",0,sqli_dataset.csv,,False,"SELECT apart, single, remarkable FROM fox WHERE activity IS NULL","SELECT apart, single, remarkable FROM fox WHERE activity IS NULL"
"   SELECT given, scale, chainFROM if WHERE ship  IS NOT NULL",0,sqli_dataset.csv,,False,"SELECT given, scale, chainFROM if WHERE ship IS NOT NULL","SELECT given, scale, chainFROM if WHERE ship IS NOT NULL"
"  UPDATE driven SET become =  'given', City =  'whispered' WHERE silence =  pool",0,sqli_dataset.csv,,False,"UPDATE driven SET become = 'given', City = 'whispered' WHERE silence = pool","UPDATE driven SET become = <STR>, City = <STR> WHERE silence = pool"
 UPDATE lower SET uncle = 'engineer'WHERE earn = 'sunlight',0,sqli_dataset.csv,,False,UPDATE lower SET uncle = 'engineer'WHERE earn = 'sunlight',UPDATE lower SET uncle = <STR>WHERE earn = <STR>
SELECT * FROM slave,0,sqli_dataset.csv,,False,SELECT * FROM slave,SELECT * FROM slave
DELETE FROM coat WHERE won = 'driving',0,sqli_dataset.csv,,False,DELETE FROM coat WHERE won = 'driving',DELETE FROM coat WHERE won = <STR>
DELETE FROM shinning,0,sqli_dataset.csv,,False,DELETE FROM shinning,DELETE FROM shinning
SELECT pilot ( s )  FROM told,0,sqli_dataset.csv,,False,SELECT pilot ( s ) FROM told,SELECT pilot ( s ) FROM told
SELECT * FROM  ( SELECT either FROM parallel ) ,0,sqli_dataset.csv,,False,SELECT * FROM ( SELECT either FROM parallel ),SELECT * FROM ( SELECT either FROM parallel )
SELECT TOP 3 * FROM between,0,sqli_dataset.csv,,False,SELECT TOP 3 * FROM between,SELECT TOP <NUM> * FROM between
SELECT * FROM bark 3,0,sqli_dataset.csv,,False,SELECT * FROM bark 3,SELECT * FROM bark <NUM>
