payload_raw,label,source,sqli_type_hint,is_obfuscated,payload_norm,payload_delex
"  SELECT correctly,relationship,bus FROM throat LEFT JOIN Orders ON skill.chapterID =  minerals.cast ORDER BY police.women",0,sqli_dataset.csv,,False,"SELECT correctly,relationship,bus FROM throat LEFT JOIN Orders ON skill.chapterID = minerals.cast ORDER BY police.women","SELECT correctly,relationship,bus FROM throat LEFT JOIN Orders ON skill.chapterID = minerals.cast ORDER BY police.women"
SELECT discovery ( s FROM kept RIGHT JOIN,0,sqli_dataset.csv,,False,SELECT discovery ( s FROM kept RIGHT JOIN,SELECT discovery ( s FROM kept RIGHT JOIN
"  SELECT Orders.machineryrID, Employees.clock, Employees.merely FROM OrdersRIGHT JOIN Employees ON Orders.EmployeeID  =  Employees.taxID ORDER BY Orders.badlyID",0,sqli_dataset.csv,,False,"SELECT Orders.machineryrID, Employees.clock, Employees.merely FROM OrdersRIGHT JOIN Employees ON Orders.EmployeeID = Employees.taxID ORDER BY Orders.badlyID","SELECT Orders.machineryrID, Employees.clock, Employees.merely FROM OrdersRIGHT JOIN Employees ON Orders.EmployeeID = Employees.taxID ORDER BY Orders.badlyID"
SELECT fire ( s )  FROM see FULL OUTER JOIN,0,sqli_dataset.csv,,False,SELECT fire ( s ) FROM see FULL OUTER JOIN,SELECT fire ( s ) FROM see FULL OUTER JOIN
" SELECT column_name ( s )  FROM pound,bet",0,sqli_dataset.csv,,False,"SELECT column_name ( s ) FROM pound,bet","SELECT column_name ( s ) FROM pound,bet"
SELECT quite ( s )  FROM tip UNION,0,sqli_dataset.csv,,False,SELECT quite ( s ) FROM tip UNION,SELECT quite ( s ) FROM tip UNION
SELECT beauty ( s )  FROM locate SELECT modern ( s ) ,0,sqli_dataset.csv,,False,SELECT beauty ( s ) FROM locate SELECT modern ( s ),SELECT beauty ( s ) FROM locate SELECT modern ( s )
SELECT ran ( s )  FROM rising UNION ALL,0,sqli_dataset.csv,,False,SELECT ran ( s ) FROM rising UNION ALL,SELECT ran ( s ) FROM rising UNION ALL
SELECT total ( s )  FROM upper SELECT high FROM which,0,sqli_dataset.csv,,False,SELECT total ( s ) FROM upper SELECT high FROM which,SELECT total ( s ) FROM upper SELECT high FROM which
SELECT symbol FROM variety UNION SELECT repeat FROM make ORDER BY travel,0,sqli_dataset.csv,,False,SELECT symbol FROM variety UNION SELECT repeat FROM make ORDER BY travel,SELECT symbol FROM variety UNION SELECT repeat FROM make ORDER BY travel
SELECT try FROM load UNION ALL SELECT nervous FROM making ORDER BY solid,0,sqli_dataset.csv,,False,SELECT try FROM load UNION ALL SELECT nervous FROM making ORDER BY solid,SELECT try FROM load UNION ALL SELECT nervous FROM making ORDER BY solid
"  SELECT labor,needed FROM asleep WHERE current = 'leather' UNION SELECT growth, ran FROM actual",0,sqli_dataset.csv,,False,"SELECT labor,needed FROM asleep WHERE current = 'leather' UNION SELECT growth, ran FROM actual","SELECT labor,needed FROM asleep WHERE current = <STR> UNION SELECT growth, ran FROM actual"
"   SELECT COUNT ( answer ) , stared FROM anywhere BY lady",0,sqli_dataset.csv,,False,"SELECT COUNT ( answer ) , stared FROM anywhere BY lady","SELECT COUNT ( answer ) , stared FROM anywhere BY lady"
"   SELECT Employees.knowledge, COUNT ( Orders.lifeID )  AS potatoesFROM    ( OrdersINNER JOIN carbon ON Orders.crowdID  =  Employees.sweetID ) ",0,sqli_dataset.csv,,False,"SELECT Employees.knowledge, COUNT ( Orders.lifeID ) AS potatoesFROM ( OrdersINNER JOIN carbon ON Orders.crowdID = Employees.sweetID )","SELECT Employees.knowledge, COUNT ( Orders.lifeID ) AS potatoesFROM ( OrdersINNER JOIN carbon ON Orders.crowdID = Employees.sweetID )"
SELECT * FROM bite FETCH FIRST 50 PERCENT ROWS ONLY,0,sqli_dataset.csv,,False,SELECT * FROM bite FETCH FIRST 50 PERCENT ROWS ONLY,SELECT * FROM bite FETCH FIRST <NUM> PERCENT ROWS ONLY
SELECT thank,0,sqli_dataset.csv,,False,SELECT thank,SELECT thank
SELECT * FROM swing,0,sqli_dataset.csv,,False,SELECT * FROM swing,SELECT * FROM swing
SELECT above FROM palace,0,sqli_dataset.csv,,False,SELECT above FROM palace,SELECT above FROM palace
SELECT DISTINCT smell FROM equator,0,sqli_dataset.csv,,False,SELECT DISTINCT smell FROM equator,SELECT DISTINCT smell FROM equator
SELECT COUNT ( DISTINCT expect )  FROM substance,0,sqli_dataset.csv,,False,SELECT COUNT ( DISTINCT expect ) FROM substance,SELECT COUNT ( DISTINCT expect ) FROM substance
SELECT Count ( * )  AS growth,0,sqli_dataset.csv,,False,SELECT Count ( * ) AS growth,SELECT Count ( * ) AS growth
FROM  ( SELECT DISTINCT trunk FROM courage ) ,0,sqli_dataset.csv,,False,FROM ( SELECT DISTINCT trunk FROM courage ),FROM ( SELECT DISTINCT trunk FROM courage )
SELECT * FROM thus,0,sqli_dataset.csv,,False,SELECT * FROM thus,SELECT * FROM thus
SELECT * FROM additional WHERE thou = 'not',0,sqli_dataset.csv,,False,SELECT * FROM additional WHERE thou = 'not',SELECT * FROM additional WHERE thou = <STR>
SELECT * FROM salmon WHERE act = 'glad',0,sqli_dataset.csv,,False,SELECT * FROM salmon WHERE act = 'glad',SELECT * FROM salmon WHERE act = <STR>
SELECT * FROM summer  WHERE taught = war,0,sqli_dataset.csv,,False,SELECT * FROM summer WHERE taught = war,SELECT * FROM summer WHERE taught = war
SELECT * FROM friendly WHERE pictured = 'name'  AND City = 'growth',0,sqli_dataset.csv,,False,SELECT * FROM friendly WHERE pictured = 'name' AND City = 'growth',SELECT * FROM friendly WHERE pictured = <STR> AND City = <STR>
SELECT * FROM fought WHERE silent = 'shorter'  OR north = 'affect',0,sqli_dataset.csv,,False,SELECT * FROM fought WHERE silent = 'shorter' OR north = 'affect',SELECT * FROM fought WHERE silent = <STR> OR north = <STR>
SELECT * FROM pay WHERE powder = 'manner'  OR pilot = 'saddle',0,sqli_dataset.csv,,False,SELECT * FROM pay WHERE powder = 'manner' OR pilot = 'saddle',SELECT * FROM pay WHERE powder = <STR> OR pilot = <STR>
SELECT * FROM day WHERE    NOT practice = 'depth',0,sqli_dataset.csv,,False,SELECT * FROM day WHERE NOT practice = 'depth',SELECT * FROM day WHERE NOT practice = <STR>
SELECT * FROM onto WHERE equally = 'square'  AND  ( guess = 'snake' OR break = 'bare' ) ,0,sqli_dataset.csv,,False,SELECT * FROM onto WHERE equally = 'square' AND ( guess = 'snake' OR break = 'bare' ),SELECT * FROM onto WHERE equally = <STR> AND ( guess = <STR> OR break = <STR> )
SELECT * FROM strange WHERE NOT atom = 'has'  AND NOT tide = 'twenty',0,sqli_dataset.csv,,False,SELECT * FROM strange WHERE NOT atom = 'has' AND NOT tide = 'twenty',SELECT * FROM strange WHERE NOT atom = <STR> AND NOT tide = <STR>
SELECT * FROM slave ORDER BY wire,0,sqli_dataset.csv,,False,SELECT * FROM slave ORDER BY wire,SELECT * FROM slave ORDER BY wire
SELECT * FROM century ORDER BY tobacco DESC,0,sqli_dataset.csv,,False,SELECT * FROM century ORDER BY tobacco DESC,SELECT * FROM century ORDER BY tobacco DESC
" SELECT * FROM helpful ORDER BY new, new",0,sqli_dataset.csv,,False,"SELECT * FROM helpful ORDER BY new, new","SELECT * FROM helpful ORDER BY new, new"
" SELECT * FROM dropped ORDER BY bank ASC, fog DESC",0,sqli_dataset.csv,,False,"SELECT * FROM dropped ORDER BY bank ASC, fog DESC","SELECT * FROM dropped ORDER BY bank ASC, fog DESC"
"INSERT INTO voice ( whatever, combine, direct, this, select, mine )  VALUES  ( 'widely', 'storm'. child', 'football', 'sun', 'bent', 'scale' )  ",0,sqli_dataset.csv,,False,"INSERT INTO voice ( whatever, combine, direct, this, select, mine ) VALUES ( 'widely', 'storm'. child', 'football', 'sun', 'bent', 'scale' )","INSERT INTO voice ( whatever, combine, direct, this, select, mine ) VALUES ( <STR>, <STR>. child<STR>football<STR>sun<STR>bent<STR>scale' )"
"INSERT INTO paper  ( plant, potatoes, powder )  VALUES  ( 'willing', 'stood', 'ice' )  ",0,sqli_dataset.csv,,False,"INSERT INTO paper ( plant, potatoes, powder ) VALUES ( 'willing', 'stood', 'ice' )","INSERT INTO paper ( plant, potatoes, powder ) VALUES ( <STR>, <STR>, <STR> )"
"   SELECT doubt, sheet, music FROM former WHERE force  IS NULL",0,sqli_dataset.csv,,False,"SELECT doubt, sheet, music FROM former WHERE force IS NULL","SELECT doubt, sheet, music FROM former WHERE force IS NULL"
"   SELECT may, shoot, loseFROM cell WHERE busy  IS NOT NULL",0,sqli_dataset.csv,,False,"SELECT may, shoot, loseFROM cell WHERE busy IS NOT NULL","SELECT may, shoot, loseFROM cell WHERE busy IS NOT NULL"
"  UPDATE steady SET palace =  'exercise', City =  'trick' WHERE cast =  probably",0,sqli_dataset.csv,,False,"UPDATE steady SET palace = 'exercise', City = 'trick' WHERE cast = probably","UPDATE steady SET palace = <STR>, City = <STR> WHERE cast = probably"
 UPDATE riding SET piano = 'perfectly'WHERE peace = 'such',0,sqli_dataset.csv,,False,UPDATE riding SET piano = 'perfectly'WHERE peace = 'such',UPDATE riding SET piano = <STR>WHERE peace = <STR>
SELECT * FROM finest,0,sqli_dataset.csv,,False,SELECT * FROM finest,SELECT * FROM finest
DELETE FROM teach WHERE its = 'all',0,sqli_dataset.csv,,False,DELETE FROM teach WHERE its = 'all',DELETE FROM teach WHERE its = <STR>
DELETE FROM push,0,sqli_dataset.csv,,False,DELETE FROM push,DELETE FROM push
SELECT from ( s )  FROM duty,0,sqli_dataset.csv,,False,SELECT from ( s ) FROM duty,SELECT from ( s ) FROM duty
SELECT * FROM  ( SELECT hand FROM wore ) ,0,sqli_dataset.csv,,False,SELECT * FROM ( SELECT hand FROM wore ),SELECT * FROM ( SELECT hand FROM wore )
SELECT TOP 3 * FROM musical,0,sqli_dataset.csv,,False,SELECT TOP 3 * FROM musical,SELECT TOP <NUM> * FROM musical
SELECT * FROM discover FETCH FIRST 3 ROWS ONLY,0,sqli_dataset.csv,,False,SELECT * FROM discover FETCH FIRST 3 ROWS ONLY,SELECT * FROM discover FETCH FIRST <NUM> ROWS ONLY
SELECT TOP 50 PERCENT * FROM yesterday,0,sqli_dataset.csv,,False,SELECT TOP 50 PERCENT * FROM yesterday,SELECT TOP <NUM> PERCENT * FROM yesterday
SELECT TOP 3 * FROM easily WHERE unless = 'percent',0,sqli_dataset.csv,,False,SELECT TOP 3 * FROM easily WHERE unless = 'percent',SELECT TOP <NUM> * FROM easily WHERE unless = <STR>
SELECT * FROM sharp WHERE seed = 'within' LIMIT 3,0,sqli_dataset.csv,,False,SELECT * FROM sharp WHERE seed = 'within' LIMIT 3,SELECT * FROM sharp WHERE seed = <STR> LIMIT <NUM>
SELECT * FROM verb WHERE pay = 'thee' FETCH FIRST 3 ROWS ONLY,0,sqli_dataset.csv,,False,SELECT * FROM verb WHERE pay = 'thee' FETCH FIRST 3 ROWS ONLY,SELECT * FROM verb WHERE pay = <STR> FETCH FIRST <NUM> ROWS ONLY
SELECT MIN ( repeat )  AS chemical FROM rain,0,sqli_dataset.csv,,False,SELECT MIN ( repeat ) AS chemical FROM rain,SELECT MIN ( repeat ) AS chemical FROM rain
SELECT MIN ( partly )  AS usually FROM combination,0,sqli_dataset.csv,,False,SELECT MIN ( partly ) AS usually FROM combination,SELECT MIN ( partly ) AS usually FROM combination
