root_id,y_complexity,abstract_family_id,grammar_signature,abstract_operator,abstract_operand_type,root_grammar_description,syntax_template_sql_reference,source_type,independent_real_attack_observed
Y3_R01,Y3_Basic_Transformation,AF_01,num_eq,eq,number,Boolean predicate num_eq with typed score/tag slots; not an independent exploit mechanism,score = 11,synthetic_documentation_informed,false
Y3_R02,Y3_Basic_Transformation,AF_02,num_ne,ne,number,Boolean predicate num_ne with typed score/tag slots; not an independent exploit mechanism,score <> 52,synthetic_documentation_informed,false
Y3_R03,Y3_Basic_Transformation,AF_03,num_gt,gt,number,Boolean predicate num_gt with typed score/tag slots; not an independent exploit mechanism,score > 93,synthetic_documentation_informed,false
Y3_R04,Y3_Basic_Transformation,AF_04,num_ge,ge,number,Boolean predicate num_ge with typed score/tag slots; not an independent exploit mechanism,score >= 134,synthetic_documentation_informed,false
Y3_R05,Y3_Basic_Transformation,AF_05,num_lt,lt,number,Boolean predicate num_lt with typed score/tag slots; not an independent exploit mechanism,score < 175,synthetic_documentation_informed,false
Y3_R06,Y3_Basic_Transformation,AF_06,num_le,le,number,Boolean predicate num_le with typed score/tag slots; not an independent exploit mechanism,score <= 216,synthetic_documentation_informed,false
Y3_R07,Y3_Basic_Transformation,AF_07,num_between,between,number,Boolean predicate num_between with typed score/tag slots; not an independent exploit mechanism,score BETWEEN 257 AND 260,synthetic_documentation_informed,false
Y3_R08,Y3_Basic_Transformation,AF_08,num_not_between,not_between,number,Boolean predicate num_not_between with typed score/tag slots; not an independent exploit mechanism,score NOT BETWEEN 298 AND 301,synthetic_documentation_informed,false
Y3_R09,Y3_Basic_Transformation,AF_09,num_in,in,number,Boolean predicate num_in with typed score/tag slots; not an independent exploit mechanism,"score IN (339, 342)",synthetic_documentation_informed,false
Y3_R10,Y3_Basic_Transformation,AF_10,num_not_in,not_in,number,Boolean predicate num_not_in with typed score/tag slots; not an independent exploit mechanism,"score NOT IN (380, 383)",synthetic_documentation_informed,false
Y3_R11,Y3_Basic_Transformation,AF_11,tag_eq,eq,text,Boolean predicate tag_eq with typed score/tag slots; not an independent exploit mechanism,tag = 'alpha1x421',synthetic_documentation_informed,false
Y3_R12,Y3_Basic_Transformation,AF_12,tag_ne,ne,text,Boolean predicate tag_ne with typed score/tag slots; not an independent exploit mechanism,tag <> 'alpha1x462',synthetic_documentation_informed,false
Y3_R13,Y3_Basic_Transformation,AF_13,tag_prefix,prefix,text,Boolean predicate tag_prefix with typed score/tag slots; not an independent exploit mechanism,tag LIKE 'alpha1x50%',synthetic_documentation_informed,false
Y3_R14,Y3_Basic_Transformation,AF_14,tag_contains,contains,text,Boolean predicate tag_contains with typed score/tag slots; not an independent exploit mechanism,tag LIKE '%alpha1x54%',synthetic_documentation_informed,false
Y3_R15,Y3_Basic_Transformation,AF_15,tag_in,in,text,Boolean predicate tag_in with typed score/tag slots; not an independent exploit mechanism,"tag IN ('alpha1x585', 'alpha1x585_alt')",synthetic_documentation_informed,false
Y3_R16,Y3_Basic_Transformation,AF_16,tag_not_in,not_in,text,Boolean predicate tag_not_in with typed score/tag slots; not an independent exploit mechanism,"tag NOT IN ('alpha1x626', 'alpha1x626_alt')",synthetic_documentation_informed,false
Y3_R17,Y3_Basic_Transformation,AF_17,and_score_tag,and,compound,Boolean predicate and_score_tag with typed score/tag slots; not an independent exploit mechanism,(score > 667 AND tag = 'alpha1x667'),synthetic_documentation_informed,false
Y3_R18,Y3_Basic_Transformation,AF_18,or_score_tag,or,compound,Boolean predicate or_score_tag with typed score/tag slots; not an independent exploit mechanism,(score = 708 OR tag <> 'alpha1x708'),synthetic_documentation_informed,false
Y3_R19,Y3_Basic_Transformation,AF_19,and_interval_prefix,and_interval_prefix,compound,Boolean predicate and_interval_prefix with typed score/tag slots; not an independent exploit mechanism,(score BETWEEN 749 AND 752 AND tag LIKE 'alpha1x74%'),synthetic_documentation_informed,false
Y3_R20,Y3_Basic_Transformation,AF_20,or_membership,or_membership,compound,Boolean predicate or_membership with typed score/tag slots; not an independent exploit mechanism,"(score IN (790, 793) OR tag IN ('alpha1x790', 'alpha1x790_alt'))",synthetic_documentation_informed,false
