id,payload_norm,sqli_type,db_engine,confidence,reasoning,verdict,critique_reasons,suggested_type,suggested_db,payload_inner,wrapper_detected,strip_depth,a_type,a_db,a_signals,c_type,c_db,c_signals
31344,leopolda,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,leopolda,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
31345,6onc+hesta,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,6onc+hesta,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
31346,del cid labastie,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,del cid labastie,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
31347,3.15402E+15,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,3.15402E+15,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
31348,miner@zing.lk,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,miner@zing.lk,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
31349,4.79764E+15,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,4.79764E+15,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
31350,6h11a3rud9,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,6h11a3rud9,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
31351,paterna del campo,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,paterna del campo,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
31352,2.93801E+15,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,2.93801E+15,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
31353,8.73E+15,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,8.73E+15,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
31354,14li6l4,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,14li6l4,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
31355,irado,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,irado,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
31356,jarad,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,jarad,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
31357,hormilla,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,hormilla,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
31358,cuatriduana,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,cuatriduana,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
31359,livino,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,livino,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
31360,4.52635E+14,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,4.52635E+14,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
31361,villalpando iturbide,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,villalpando iturbide,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
31362,griffith_chesbro@psykoterapeut.sn,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,griffith_chesbro@psykoterapeut.sn,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
31363,32727347a,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,32727347a,False,0,benign,generic,no attack signal detected,heavy_query,generic,contains 7+ digit number (DoS-style payload)
31364,ge2613an0,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,ge2613an0,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
31365,88280590n,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,88280590n,False,0,benign,generic,no attack signal detected,heavy_query,generic,contains 7+ digit number (DoS-style payload)
31366,4.80387E+15,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,4.80387E+15,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
31367,eglevsky-dux@tacticlinks.ch,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,eglevsky-dux@tacticlinks.ch,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
31368,"travesia brieva, 171,",benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,"travesia brieva, 171,",False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
31369,9.0199E+15,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,9.0199E+15,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
31370,butalov0@lettere.dm,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,butalov0@lettere.dm,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
31371,keseris,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,keseris,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
