id,payload_norm,sqli_type,db_engine,confidence,reasoning,verdict,critique_reasons,suggested_type,suggested_db,payload_inner,wrapper_detected,strip_depth,a_type,a_db,a_signals,c_type,c_db,c_signals
32544,96110955g,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,96110955g,False,0,benign,generic,no attack signal detected,heavy_query,generic,contains 7+ digit number (DoS-style payload)
32545,sa5na,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,sa5na,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
32546,hengevel,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,hengevel,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
32547,eugen-fargue@andrestabernero.im,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,eugen-fargue@andrestabernero.im,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
32548,cheyenne,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,cheyenne,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
32549,ramells lam,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,ramells lam,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
32550,1.93755E+15,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,1.93755E+15,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
32551,francois,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,francois,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
32552,azadonad?a,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,azadonad?a,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
32553,barrachina,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,barrachina,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
32554,2a6in6rosa,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,2a6in6rosa,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
32555,fisicoqumico,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,fisicoqumico,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
