id,payload_norm,sqli_type,db_engine,confidence,reasoning,verdict,critique_reasons,suggested_type,suggested_db,payload_inner,wrapper_detected,strip_depth,a_type,a_db,a_signals,c_type,c_db,c_signals
27944,freixes navaln,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,freixes navaln,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
27945,kwokchoi,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,kwokchoi,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
27946,zanquita,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,zanquita,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
27947,.raijo,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,.raijo,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
27948,"port fangos, 183,",benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,"port fangos, 183,",False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
27949,casasnova vadal,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,casasnova vadal,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
27950,11738063j,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,11738063j,False,0,benign,generic,no attack signal detected,heavy_query,generic,contains 7+ digit number (DoS-style payload)
27951,boquieni,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,boquieni,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
27952,ar2e5tad6,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,ar2e5tad6,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
27953,atigrada,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,atigrada,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
27954,tornos,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,tornos,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
27955,4.38114E+15,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,4.38114E+15,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
27956,herling,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,herling,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
