id,payload_norm,sqli_type,db_engine,confidence,reasoning,verdict,critique_reasons,suggested_type,suggested_db,payload_inner,wrapper_detected,strip_depth,a_type,a_db,a_signals,c_type,c_db,c_signals
27144,halbert,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,halbert,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
27145,satoh,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,satoh,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
27146,matthiew,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,matthiew,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
27147,aristofnico,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,aristofnico,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
27148,ozselcuk,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,ozselcuk,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
27149,yasna,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,yasna,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
27150,chi-keun,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,chi-keun,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
27151,9ig7a2i4,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,9ig7a2i4,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
27152,stimson_holbrook@cementosanfranq.ly,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,stimson_holbrook@cementosanfranq.ly,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
27153,cangrenarse,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,cangrenarse,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
27154,9.18E+15,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,9.18E+15,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
27155,solonitsin3@neotelecom.fi,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,solonitsin3@neotelecom.fi,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
27156,s3borrea,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,s3borrea,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
27157,paseo arco del ladrillo 48 10?h,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,paseo arco del ladrillo 48 10?h,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
27158,93310194e,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,93310194e,False,0,benign,generic,no attack signal detected,heavy_query,generic,contains 7+ digit number (DoS-style payload)
27159,glyn7,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,glyn7,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
