id,payload_norm,sqli_type,db_engine,confidence,reasoning,verdict,critique_reasons,suggested_type,suggested_db,payload_inner,wrapper_detected,strip_depth,a_type,a_db,a_signals,c_type,c_db,c_signals
29344,bosier@opel-e-flex.bn,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,bosier@opel-e-flex.bn,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
29345,lauraine,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,lauraine,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
29346,decio,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,decio,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
29347,tronchuda,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,tronchuda,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
29348,59072549q,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,59072549q,False,0,benign,generic,no attack signal detected,heavy_query,generic,contains 7+ digit number (DoS-style payload)
29349,emesh,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,emesh,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
29350,kelcy,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,kelcy,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
29351,bertorelli,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,bertorelli,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
29352,9.97465E+15,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,9.97465E+15,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
29353,8.87551E+14,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,8.87551E+14,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
29354,t45o0a35,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,t45o0a35,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
29355,7znallo,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,7znallo,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
29356,zapach,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,zapach,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
29357,solter@aclub.com.ke,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,solter@aclub.com.ke,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
29358,idefonsa,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,idefonsa,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
29359,l-9rn,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,l-9rn,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
