id,payload_norm,sqli_type,db_engine,confidence,reasoning,verdict,critique_reasons,suggested_type,suggested_db,payload_inner,wrapper_detected,strip_depth,a_type,a_db,a_signals,c_type,c_db,c_signals
35744,SELECT naturally ( s ) FROM history UNION,benign,generic,1.0,Normal SQL SELECT UNION syntax,RELABEL,benign payload contains 'union' (likely false negative),boolean_blind,generic,SELECT naturally ( s ) FROM history UNION,False,0,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal
35745,SELECT scientific ( s ) FROM term UNION ALL,benign,generic,1.0,Normal SQL SELECT UNION ALL,RELABEL,benign payload contains 'union' (likely false negative),boolean_blind,generic,SELECT scientific ( s ) FROM term UNION ALL,False,0,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal
35746,SELECT lost FROM refused UNION SELECT sad FROM mill ORDER BY careful,benign,generic,1.0,Normal SQL SELECT UNION ORDER BY,RELABEL,benign payload contains 'union' (likely false negative),union_based,generic,SELECT lost FROM refused UNION SELECT sad FROM mill ORDER BY careful,False,0,union_based,generic,Pattern match: 'union select' → union_based (P7); DB signature: generic,union_based,generic,UNION SELECT structure
35747,SELECT knew FROM basket UNION ALL SELECT impossible FROM heading ORDER BY announced,benign,generic,1.0,Normal SQL UNION ALL ORDER BY,RELABEL,benign payload contains 'union' (likely false negative),union_based,generic,SELECT knew FROM basket UNION ALL SELECT impossible FROM heading ORDER BY announced,False,0,union_based,generic,Pattern match: 'union all select' → union_based (P7); DB signature: generic,union_based,generic,UNION SELECT structure
35748,"SELECT school,frighten FROM furniture WHERE path = 'needed' UNION SELECT century, secret FROM bet",benign,generic,1.0,Normal SQL SELECT UNION WHERE,RELABEL,benign payload contains 'union' (likely false negative),union_based,generic,"SELECT school,frighten FROM furniture WHERE path = 'needed' UNION SELECT century, secret FROM bet",False,0,union_based,generic,Pattern match: 'union select' → union_based (P7); DB signature: generic,union_based,generic,UNION SELECT structure
35749,"INSERT INTO careful ( dropped, extra, thirty ) VALUES ( 'length', 'were', 'been' )",benign,generic,1.0,Normal SQL INSERT,RELABEL,reasoning too short (17 chars),benign,generic,"INSERT INTO careful ( dropped, extra, thirty ) VALUES ( 'length', 'were', 'been' )",False,0,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal
35750,"UPDATE location SET couple = 'line', City = 'key' WHERE belt = village",benign,generic,1.0,Normal SQL UPDATE,RELABEL,reasoning too short (17 chars),benign,generic,"UPDATE location SET couple = 'line', City = 'key' WHERE belt = village",False,0,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal
35751,SELECT COUNT ( union ) FROM these,benign,generic,1.0,Normal SQL SELECT COUNT,RELABEL,benign payload contains 'union' (likely false negative),boolean_blind,generic,SELECT COUNT ( union ) FROM these,False,0,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal
35752,SELECT bat ( s ) FROM sort UNION,benign,generic,1.0,Normal SQL SELECT UNION syntax,RELABEL,benign payload contains 'union' (likely false negative),boolean_blind,generic,SELECT bat ( s ) FROM sort UNION,False,0,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal
35753,SELECT swing ( s ) FROM whatever UNION ALL,benign,generic,1.0,Normal SQL SELECT UNION ALL,RELABEL,benign payload contains 'union' (likely false negative),boolean_blind,generic,SELECT swing ( s ) FROM whatever UNION ALL,False,0,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal
