source_archive,skill_name,path,dataset_design_signal
Security1.zip,performing-alert-triage-with-elastic-siem,sec1/Security1/skills/performing-alert-triage-with-elastic-siem/SKILL.md,"Perform systematic alert triage in Elastic Security SIEM—classifying,   prioritizing, and investigating alerts using Kibana, ES|QL queries, and ECS-normalized   data—to drive SOC analyst workflows. Use when triaging incoming Elastic Security   detections, prioritizing an analyst's alert queue, or investigating alerts during   SOC operations."
Security1.zip,performing-malware-triage-with-yara,sec1/Security1/skills/performing-malware-triage-with-yara/SKILL.md,"'Performs rapid malware triage and classification using YARA rules that   match file patterns, strings, byte sequences, and structural characteristics against   known malware families and suspicious indicators, covering rule writing, scanning,   and integration into analysis pipelines. Use when classifying a batch of malware   samples against known family signatures, writing detection rules for a newly   analyzed malware family, or performing sig"
Security1.zip,integrating-dast-with-owasp-zap-in-pipeline,sec1/Security1/skills/integrating-dast-with-owasp-zap-in-pipeline/SKILL.md,"Integrates OWASP ZAP (Zed Attack Proxy) into GitHub Actions and GitLab CI pipelines, covering baseline, full, and API scan configuration against running applications, ZAP finding interpretation, scan policy tuning, and DAST quality gates. Use when testing running web apps or REST/GraphQL APIs for XSS, SQLi, CSRF, and auth/authz flaws, or when SAST alone is insufficient and runtime DAST is required for compliance or release gating."
Security1.zip,performing-sqlite-database-forensics,sec1/Security1/skills/performing-sqlite-database-forensics/SKILL.md,"Performs forensic analysis of SQLite databases by examining B-tree page   structures, recovering deleted records from freelist pages and Write-Ahead Log (WAL)   files, decoding encoded timestamps, and extracting evidence from browser history,   messaging apps, and mobile device databases. Use when recovering deleted or unallocated   data from a SQLite database during digital forensics or mobile/browser evidence   analysis."
Security1.zip,implementing-cloud-waf-rules,sec1/Security1/skills/implementing-cloud-waf-rules/SKILL.md,"'Deploys and tunes Web Application Firewall rules on AWS WAF, Azure WAF,   and Cloudflare, covering managed rule sets, custom business-logic rules, rate limiting,   bot management, and false-positive reduction. Use when deploying new apps behind   a cloud WAF, when pentests reveal injection/XSS flaws, when facing bot or credential-stuffing   traffic, or when compliance (e.g. PCI-DSS) mandates a WAF.    '"
Security1.zip,performing-web-application-penetration-test,sec1/Security1/skills/performing-web-application-penetration-test/SKILL.md,"'Performs systematic security testing of web applications following the   OWASP Web Security Testing Guide (WSTG) methodology to identify vulnerabilities   in authentication, authorization, input validation, session management, and business   logic. The tester uses Burp Suite as the primary interception proxy alongside manual   testing techniques to find flaws that automated scanners miss. Activates for requests   involving web app pentest, OWASP"
Security1.zip,performing-second-order-sql-injection,sec1/Security1/skills/performing-second-order-sql-injection/SKILL.md,Detect and exploit second-order SQL injection vulnerabilities where malicious   input is stored in a database and later executed in an unsafe SQL query during a   different application operation.
Security1.zip,implementing-web-application-logging-with-modsecurity,sec1/Security1/skills/implementing-web-application-logging-with-modsecurity/SKILL.md,"Configure ModSecurity WAF with the OWASP Core Rule Set (CRS) for web   application audit logging, tuning SecRuleEngine, SecAuditEngine, and CRS paranoia   levels to reduce false positives, and writing custom SecRules for application-specific   threats. Use when deploying or tuning a ModSecurity WAF, analyzing audit logs for   attack detection, or reducing CRS false positives."
Security1.zip,performing-web-application-vulnerability-triage,sec1/Security1/skills/performing-web-application-vulnerability-triage/SKILL.md,"Triages web application vulnerability findings from DAST/SAST scanners   such as Burp Suite and ZAP, using the OWASP Risk Rating Methodology to confirm   true positives, dismiss false positives, and prioritize remediation. Use when   reviewing scanner output to reduce alert fatigue and rank vulnerabilities for   development teams to fix."
Security1.zip,securing-api-gateway-with-aws-waf,sec1/Security1/skills/securing-api-gateway-with-aws-waf/SKILL.md,"'Secures AWS API Gateway endpoints with AWS WAF by configuring managed   rule groups for OWASP Top 10 protection, custom rate-limiting rules, bot control,   IP reputation filtering, and WAF metric monitoring. Use when deploying API Gateway   endpoints that need protection against common web attacks, or when implementing   rate limiting and throttling to prevent API abuse and DDoS.    '"
Security1.zip,performing-web-application-scanning-with-nikto,sec1/Security1/skills/performing-web-application-scanning-with-nikto/SKILL.md,"Runs Nikto, an open-source web server and web application scanner,   to test over 7,000 potentially dangerous files/programs, check for outdated versions   across 1,250+ servers, and identify XSS, SQL injection, misconfigurations, default   credentials, and vulnerable CGI scripts. Use when performing web application vulnerability   scanning, security assessments, scheduled security testing, or validating web   server security controls."
Security1.zip,performing-web-application-firewall-bypass,sec1/Security1/skills/performing-web-application-firewall-bypass/SKILL.md,"Bypasses Web Application Firewall protections using encoding tricks,   HTTP method manipulation, parameter pollution, and payload obfuscation to smuggle   SQL injection, XSS, and other exploit payloads past WAF detection rules. Use when   a confirmed vulnerability is blocked by a WAF, during penetration tests or red   team engagements requiring bypass of perimeter security controls, or when evaluating   WAF rule effectiveness and bypass resistanc"
Security2.zip,detecting-sql-injection-via-waf-logs,sec2/Security2/Anthropic-Cybersecurity-Skills-main/skills/detecting-sql-injection-via-waf-logs/SKILL.md,"Analyze WAF (ModSecurity/AWS WAF/Cloudflare) logs to detect SQL injection   attack campaigns. Parses ModSecurity audit logs and JSON WAF event logs to identify   SQLi patterns (UNION SELECT, OR 1=1, SLEEP(), BENCHMARK()), tracks attack sources,   correlates multi-stage injection attempts, and generates incident reports with OWASP   classification."
Security2.zip,exploiting-api-injection-vulnerabilities,sec2/Security2/Anthropic-Cybersecurity-Skills-main/skills/exploiting-api-injection-vulnerabilities/SKILL.md,">-   Tests API parameters, headers, and request bodies for injection flaws — SQL injection,   NoSQL injection, OS command injection, LDAP injection, and SSRF — by crafting   payloads tailored to the target backend to extract data, execute commands, or   reach internal services, mapped to OWASP API8:2023 and API7:2023 SSRF. Use when   performing SQLi, NoSQL injection, command injection, or SSRF testing against APIs,   or assessing API input valida"
Security2.zip,exploiting-sql-injection-with-sqlmap,sec2/Security2/Anthropic-Cybersecurity-Skills-main/skills/exploiting-sql-injection-with-sqlmap/SKILL.md,Detecting and exploiting SQL injection vulnerabilities using sqlmap to   extract database contents during authorized penetration tests.
Security2.zip,exploiting-sql-injection-vulnerabilities,sec2/Security2/Anthropic-Cybersecurity-Skills-main/skills/exploiting-sql-injection-vulnerabilities/SKILL.md,"'Identifies and exploits SQL injection vulnerabilities in web applications   during authorized penetration tests using manual techniques and automated tools   like sqlmap. The tester detects injection points through error-based, union-based,   blind boolean, and time-based blind techniques across all major database engines   (MySQL, PostgreSQL, MSSQL, Oracle) to demonstrate data extraction, authentication   bypass, and potential remote code execu"
