attack_corpus,attack_intent,corpus_role,sample_id,y_level,complexity_label,dbms,dbms_version_reference,injection_family,context_level,root_id,semantic_family,root_name,structure_cell_id,cell_recipe,variation_id,sample_index_in_cell,expected_truth,payload,canonical_payload,raw_sha256,canonical_sha256,semantic_equivalence_group,char_length,token_count_est,paren_depth,operator_count_est,literal_count_est,function_count_est,cast_count_est,connector_count_est,requires_decode,decode_layers,postgres_specificity,attack_surface_class,generator_constraint_pass,engine_validated,exploit_confirmed,provenance_type,source_reference,generator_version,seed,logic_effect_target,boundary_dependency,destructive_capability,exfiltration_capability,timing_capability,behavior_confirmed,runtime_validation_state,evidence_level,structure_signature,attack_fingerprint,payload_entropy_bits_per_char,alpha_ratio,digit_ratio,whitespace_ratio,special_char_ratio,unique_char_ratio,character_class_count,raw_unique_in_y,fingerprint_unique_in_y,canonical_group_size_in_y,canonical_unique_in_y,min_char4gram_distance_within_cell,min_char4gram_distance_within_root,scope_select_union_exfiltration,scope_stacked_or_destructive_sql,scope_time_based,scope_contextual_boundary_breakout
True,boolean_predicate_injection,seqgan_attack_source,Y3_PG_BOOL_R001_C01_S01,Y3,Basic_Transformation,PostgreSQL,18.x documentation,Boolean_query_logic_candidate,Z1_payload_only,PG_BOOL_R001,numeric_comparison,numeric_=,Y3_PG_BOOL_R001_C01,url_space,PG_BOOL_R001_V01,1,True,5043%20=%205043,5043 = 5043,45efa6e9aaad1c74e2f323140e3bb9623909f88cdabc61a478a47c8773962240,83b72dd8ee5653b564bbc2c862aed982e1e321df61e353736b8a2cb0d3dea070,PG_BOOL_R001,15,3,0,1,2,0,0,0,True,1,standard_sql,predicate_logic_manipulation_candidate,True,False,False,synthetic_from_documented_PostgreSQL_boolean_construct,https://www.postgresql.org/docs/18/functions-comparison.html,pg_bool_seqgan_v1.0,30260924,predicate_true_candidate,requires_unsafe_query_composition_to_become_injection,none_in_payload,none_in_payload,none_in_payload,False,not_engine_validated,grammar_constrained_attack_intent,bc08593baa045ec276526be30c07cf1da7a946f9735661d643f436916c130fb0,f6458029fcff2927b0a2dacea74fc0cec291f97e74be10e1e38506991f8b7c04,2.7068905956085185,0.0,0.8,0.0,0.2,0.4666666666666667,2,True,True,1,True,0.7222222222222222,0.7058823529411764,excluded,excluded,excluded,excluded
True,boolean_predicate_injection,seqgan_attack_source,Y3_PG_BOOL_R001_C01_S02,Y3,Basic_Transformation,PostgreSQL,18.x documentation,Boolean_query_logic_candidate,Z1_payload_only,PG_BOOL_R001,numeric_comparison,numeric_=,Y3_PG_BOOL_R001_C01,url_space,PG_BOOL_R001_V01,2,False,6771%20=%206775,6771 = 6775,b0325ca691ff2ebbd8e8e7197985fb2112f03dc5eb63104f4f1ad147c30f7f07,6ac68464b1bdfbe23a0b9b37d49a573e0e40e571580d213902f78bd31f156248,PG_BOOL_R001,15,3,0,1,2,0,0,0,True,1,standard_sql,predicate_logic_manipulation_candidate,True,False,False,synthetic_from_documented_PostgreSQL_boolean_construct,https://www.postgresql.org/docs/18/functions-comparison.html,pg_bool_seqgan_v1.0,30261924,predicate_false_candidate,requires_unsafe_query_composition_to_become_injection,none_in_payload,none_in_payload,none_in_payload,False,not_engine_validated,grammar_constrained_attack_intent,bc08593baa045ec276526be30c07cf1da7a946f9735661d643f436916c130fb0,18345adbe89e1c2d62b37a58f050a95cf98c862e7bc0ea2bf8bb3360cfd8bd19,2.8402239289418523,0.0,0.8,0.0,0.2,0.5333333333333333,2,True,True,1,True,0.7222222222222222,0.7222222222222222,excluded,excluded,excluded,excluded
True,boolean_predicate_injection,seqgan_attack_source,Y3_PG_BOOL_R001_C01_S03,Y3,Basic_Transformation,PostgreSQL,18.x documentation,Boolean_query_logic_candidate,Z1_payload_only,PG_BOOL_R001,numeric_comparison,numeric_=,Y3_PG_BOOL_R001_C01,url_space,PG_BOOL_R001_V01,3,True,1585%20=%201585,1585 = 1585,5fcb1fdf0e6ad0f2a8060f2f49e2ac30e0e7373dfd9a33e67d35d7181fc46566,0ba2ca83f54108f7a46f06ed98935f22bbe9e90875a2849eaa83c039b6630f9e,PG_BOOL_R001,15,3,0,1,2,0,0,0,True,1,standard_sql,predicate_logic_manipulation_candidate,True,False,False,synthetic_from_documented_PostgreSQL_boolean_construct,https://www.postgresql.org/docs/18/functions-comparison.html,pg_bool_seqgan_v1.0,30262924,predicate_true_candidate,requires_unsafe_query_composition_to_become_injection,none_in_payload,none_in_payload,none_in_payload,False,not_engine_validated,grammar_constrained_attack_intent,bc08593baa045ec276526be30c07cf1da7a946f9735661d643f436916c130fb0,eb78b23c26a63c6b4417fa319af8eb6c2b11c2113511d4fb75cb99a99bb9c206,2.7068905956085185,0.0,0.8,0.0,0.2,0.4666666666666667,2,True,True,1,True,0.7058823529411764,0.625,excluded,excluded,excluded,excluded
True,boolean_predicate_injection,seqgan_attack_source,Y3_PG_BOOL_R001_C01_S04,Y3,Basic_Transformation,PostgreSQL,18.x documentation,Boolean_query_logic_candidate,Z1_payload_only,PG_BOOL_R001,numeric_comparison,numeric_=,Y3_PG_BOOL_R001_C01,url_space,PG_BOOL_R001_V01,4,False,5676%20=%205682,5676 = 5682,12277703c9842483f33cee481e5b6b6d43c7cde99a9a2cd5c74ea340115cd64c,2b6017ccd925c6516236f2aa2688a5a78f154de115b1db9ccb6cbdef9b76ad73,PG_BOOL_R001,15,3,0,1,2,0,0,0,True,1,standard_sql,predicate_logic_manipulation_candidate,True,False,False,synthetic_from_documented_PostgreSQL_boolean_construct,https://www.postgresql.org/docs/18/functions-comparison.html,pg_bool_seqgan_v1.0,30263924,predicate_false_candidate,requires_unsafe_query_composition_to_become_injection,none_in_payload,none_in_payload,none_in_payload,False,not_engine_validated,grammar_constrained_attack_intent,bc08593baa045ec276526be30c07cf1da7a946f9735661d643f436916c130fb0,21efebe3ea2b55cf6a39b296be7c38f6088fccfeab4fb5c5c5c3c76c2b4647ee,2.872905595320056,0.0,0.8,0.0,0.2,0.5333333333333333,2,True,True,1,True,0.7222222222222222,0.7222222222222222,excluded,excluded,excluded,excluded
True,boolean_predicate_injection,seqgan_attack_source,Y3_PG_BOOL_R001_C01_S05,Y3,Basic_Transformation,PostgreSQL,18.x documentation,Boolean_query_logic_candidate,Z1_payload_only,PG_BOOL_R001,numeric_comparison,numeric_=,Y3_PG_BOOL_R001_C01,url_space,PG_BOOL_R001_V01,5,True,1961%20=%201961,1961 = 1961,eca708b6e7b55e6b1cdfe41cdb9b7459b9c2972c8fbd7602c714d6f30867572b,d6cdfb45d6e6eed70a91692ff77bafee98e00c2bb1ddd4b488d870d1133dc03f,PG_BOOL_R001,15,3,0,1,2,0,0,0,True,1,standard_sql,predicate_logic_manipulation_candidate,True,False,False,synthetic_from_documented_PostgreSQL_boolean_construct,https://www.postgresql.org/docs/18/functions-comparison.html,pg_bool_seqgan_v1.0,30264924,predicate_true_candidate,requires_unsafe_query_composition_to_become_injection,none_in_payload,none_in_payload,none_in_payload,False,not_engine_validated,grammar_constrained_attack_intent,bc08593baa045ec276526be30c07cf1da7a946f9735661d643f436916c130fb0,292f4a4a0ec67398d1efb19a0e33d1b1240969c9dac981ba9feb0c93079138db,2.7068905956085185,0.0,0.8,0.0,0.2,0.4666666666666667,2,True,True,1,True,0.7058823529411764,0.7058823529411764,excluded,excluded,excluded,excluded
True,boolean_predicate_injection,seqgan_attack_source,Y3_PG_BOOL_R001_C01_S06,Y3,Basic_Transformation,PostgreSQL,18.x documentation,Boolean_query_logic_candidate,Z1_payload_only,PG_BOOL_R001,numeric_comparison,numeric_=,Y3_PG_BOOL_R001_C01,url_space,PG_BOOL_R001_V01,6,False,229%20=%20230,229 = 230,f69cbb3b3363cc2fe82119ca5f8ff88660ac17633f1734d75c65ebb95cfe0efa,5820a34c27f5c90c162880780210fd113dfd51b102f2159bd7556e0c0a124734,PG_BOOL_R001,13,3,0,1,2,0,0,0,True,1,standard_sql,predicate_logic_manipulation_candidate,True,False,False,synthetic_from_documented_PostgreSQL_boolean_construct,https://www.postgresql.org/docs/18/functions-comparison.html,pg_bool_seqgan_v1.0,30265924,predicate_false_candidate,requires_unsafe_query_composition_to_become_injection,none_in_payload,none_in_payload,none_in_payload,False,not_engine_validated,grammar_constrained_attack_intent,bc08593baa045ec276526be30c07cf1da7a946f9735661d643f436916c130fb0,d46840db4fb0e56d1c43541da27b6c567afad2d0255aa10679da7231723bca40,2.287783719941071,0.0,0.7692307692307693,0.0,0.23076923076923078,0.46153846153846156,2,True,True,1,True,0.7647058823529411,0.625,excluded,excluded,excluded,excluded
True,boolean_predicate_injection,seqgan_attack_source,Y3_PG_BOOL_R001_C02_S01,Y3,Basic_Transformation,PostgreSQL,18.x documentation,Boolean_query_logic_candidate,Z1_payload_only,PG_BOOL_R001,numeric_comparison,numeric_=,Y3_PG_BOOL_R001_C02,url_parentheses_fallback_url_full_once,PG_BOOL_R001_V02,1,True,6077%20%3D%206077,6077 = 6077,003ecc5abee83af0381a716eb53e96aaa108879f6f7c31d7fdebe2f7b0d32a60,90a6086463e25baf9229f6820746cdc19e54b5dcca599eef4001813649690c59,PG_BOOL_R001,17,3,0,1,2,0,0,0,True,1,standard_sql,predicate_logic_manipulation_candidate,True,False,False,synthetic_from_documented_PostgreSQL_boolean_construct,https://www.postgresql.org/docs/18/functions-comparison.html,pg_bool_seqgan_v1.0,30360924,predicate_true_candidate,requires_unsafe_query_composition_to_become_injection,none_in_payload,none_in_payload,none_in_payload,False,not_engine_validated,grammar_constrained_attack_intent,d8b9e094d4b442a7a2bf4c1334c4bb700cb41ceb1019c0a0b08cd9199798d1d9,083f4e04e54b5315b8bea569a925675705505da35b67e0314120a60657cfb3da,2.6312929881819,0.058823529411764705,0.7647058823529411,0.0,0.17647058823529413,0.4117647058823529,3,True,True,1,True,0.7,0.5555555555555556,excluded,excluded,excluded,excluded
True,boolean_predicate_injection,seqgan_attack_source,Y3_PG_BOOL_R001_C02_S02,Y3,Basic_Transformation,PostgreSQL,18.x documentation,Boolean_query_logic_candidate,Z1_payload_only,PG_BOOL_R001,numeric_comparison,numeric_=,Y3_PG_BOOL_R001_C02,url_parentheses_fallback_url_full_once,PG_BOOL_R001_V02,2,False,1470%20%3D%201479,1470 = 1479,a05783db1049992437707250ffe6176ff5fdbdffff543a83823415af64783a0f,21aca4b406ee9892c9d94193e72cf2bee429098d009adee18dbc0f97cd553fa8,PG_BOOL_R001,17,3,0,1,2,0,0,0,True,1,standard_sql,predicate_logic_manipulation_candidate,True,False,False,synthetic_from_documented_PostgreSQL_boolean_construct,https://www.postgresql.org/docs/18/functions-comparison.html,pg_bool_seqgan_v1.0,30361924,predicate_false_candidate,requires_unsafe_query_composition_to_become_injection,none_in_payload,none_in_payload,none_in_payload,False,not_engine_validated,grammar_constrained_attack_intent,d8b9e094d4b442a7a2bf4c1334c4bb700cb41ceb1019c0a0b08cd9199798d1d9,9846282176484ae5d82ebc28fc883be23cebc056962da67e3c4db3fd7fbc618f,3.057476076289931,0.058823529411764705,0.7647058823529411,0.0,0.17647058823529413,0.5294117647058824,3,True,True,1,True,0.5789473684210527,0.5789473684210527,excluded,excluded,excluded,excluded
True,boolean_predicate_injection,seqgan_attack_source,Y3_PG_BOOL_R001_C02_S03,Y3,Basic_Transformation,PostgreSQL,18.x documentation,Boolean_query_logic_candidate,Z1_payload_only,PG_BOOL_R001,numeric_comparison,numeric_=,Y3_PG_BOOL_R001_C02,url_parentheses_fallback_url_full_once,PG_BOOL_R001_V02,3,True,2570%20%3D%202570,2570 = 2570,0fc06e1f79538a877022edf318d5ede3f781fd9bd56d6f26035ba534300f6b45,9b5eadb18a8294c526ac130e9abd587797ed63e7eeeca0fc701320190d84145e,PG_BOOL_R001,17,3,0,1,2,0,0,0,True,1,standard_sql,predicate_logic_manipulation_candidate,True,False,False,synthetic_from_documented_PostgreSQL_boolean_construct,https://www.postgresql.org/docs/18/functions-comparison.html,pg_bool_seqgan_v1.0,30362924,predicate_true_candidate,requires_unsafe_query_composition_to_become_injection,none_in_payload,none_in_payload,none_in_payload,False,not_engine_validated,grammar_constrained_attack_intent,d8b9e094d4b442a7a2bf4c1334c4bb700cb41ceb1019c0a0b08cd9199798d1d9,1417b85ed1a043ac3a9a36ba437f897deaadc2f4ba1a79c4cb90ab25fe149727,2.6312929881819,0.058823529411764705,0.7647058823529411,0.0,0.17647058823529413,0.4117647058823529,3,True,True,1,True,0.5789473684210527,0.5789473684210527,excluded,excluded,excluded,excluded
True,boolean_predicate_injection,seqgan_attack_source,Y3_PG_BOOL_R001_C02_S04,Y3,Basic_Transformation,PostgreSQL,18.x documentation,Boolean_query_logic_candidate,Z1_payload_only,PG_BOOL_R001,numeric_comparison,numeric_=,Y3_PG_BOOL_R001_C02,url_parentheses_fallback_url_full_once,PG_BOOL_R001_V02,4,False,1361%20%3D%201364,1361 = 1364,24da7262c4c07a84f2e09207ce601b206ad8fcb6ef7c409b7cb9b5a646a095be,e929d94e63fbb2f6409988309ee9b7ce76b516312894af2b8e17f49784f1681f,PG_BOOL_R001,17,3,0,1,2,0,0,0,True,1,standard_sql,predicate_logic_manipulation_candidate,True,False,False,synthetic_from_documented_PostgreSQL_boolean_construct,https://www.postgresql.org/docs/18/functions-comparison.html,pg_bool_seqgan_v1.0,30363924,predicate_false_candidate,requires_unsafe_query_composition_to_become_injection,none_in_payload,none_in_payload,none_in_payload,False,not_engine_validated,grammar_constrained_attack_intent,d8b9e094d4b442a7a2bf4c1334c4bb700cb41ceb1019c0a0b08cd9199798d1d9,a1d71d0ee3f04cffe1a3c0993cb16a68b5f74670aaa7b1aac7d7e792403ec355,2.8954238702803154,0.058823529411764705,0.7647058823529411,0.0,0.17647058823529413,0.47058823529411764,3,True,True,1,True,0.6666666666666667,0.5789473684210527,excluded,excluded,excluded,excluded
