sample_id,arm,y_complexity,d_category,database,query_language,root_id,abstract_family_id,structure_cell_id,grammar_slots_id,sample_index,payload_raw,payload_decoded_or_canonical,query_binding_json,abstract_predicate_ast,predicate_type,representation_technique,compatibility_status,eligibility_for_detector_attack_training,generated_source_type,external_observed,behavior_validated,provenance_source_id,raw_sha256,semantic_lineage_id,split_group_key,notes
A_Y2_D01_R01_V01,A,Y2_Variation,D1,PostgreSQL,SQL,Y2_R01,AF_01,Y2_R01_D01,Y2_R01_D01_SLOTS,1,(score = 11),score = 11,,"[""eq"",""score"",11,null]",num_eq,variation,documentation_informed_not_engine_validated,not_validated_attack,synthetic_documentation_informed,false,false,SOURCES_PER_DIALECT_AND_ABSTRACT,27ce97907c5d83ec579775722599cd111a92268c363a789f5b9cdefdbb85bd70,AF_01_D01_R01,AF_01,SQL/SQL++ WHERE predicate fragment; none; DO_NOT_TREAT_AS_CONFIRMED_SQLi
A_Y2_D01_R01_V02,A,Y2_Variation,D1,PostgreSQL,SQL,Y2_R01,AF_01,Y2_R01_D01,Y2_R01_D01_SLOTS,2,score = 24,score = 24,,"[""eq"",""score"",24,null]",num_eq,variation,documentation_informed_not_engine_validated,not_validated_attack,synthetic_documentation_informed,false,false,SOURCES_PER_DIALECT_AND_ABSTRACT,f5d5b9adf45689db644336ff13e8891353f51f5020bc8b8b57a416d7e6bfe21c,AF_01_D01_R01,AF_01,SQL/SQL++ WHERE predicate fragment; none; DO_NOT_TREAT_AS_CONFIRMED_SQLi
A_Y2_D01_R01_V03,A,Y2_Variation,D1,PostgreSQL,SQL,Y2_R01,AF_01,Y2_R01_D01,Y2_R01_D01_SLOTS,3,score  =  37,score = 37,,"[""eq"",""score"",37,null]",num_eq,variation,documentation_informed_not_engine_validated,not_validated_attack,synthetic_documentation_informed,false,false,SOURCES_PER_DIALECT_AND_ABSTRACT,f855854d06794a4999a4c6520f8652824d8cd4d1c021d64d15b2ade3e7ca453b,AF_01_D01_R01,AF_01,SQL/SQL++ WHERE predicate fragment; none; DO_NOT_TREAT_AS_CONFIRMED_SQLi
A_Y2_D01_R01_V04,A,Y2_Variation,D1,PostgreSQL,SQL,Y2_R01,AF_01,Y2_R01_D01,Y2_R01_D01_SLOTS,4,(score = 50),score = 50,,"[""eq"",""score"",50,null]",num_eq,variation,documentation_informed_not_engine_validated,not_validated_attack,synthetic_documentation_informed,false,false,SOURCES_PER_DIALECT_AND_ABSTRACT,ae8c146753720f07cab94b182fa65f73bf0c5f24125e7cd3c4662cade101545f,AF_01_D01_R01,AF_01,SQL/SQL++ WHERE predicate fragment; none; DO_NOT_TREAT_AS_CONFIRMED_SQLi
A_Y2_D01_R01_V05,A,Y2_Variation,D1,PostgreSQL,SQL,Y2_R01,AF_01,Y2_R01_D01,Y2_R01_D01_SLOTS,5,score = 63,score = 63,,"[""eq"",""score"",63,null]",num_eq,variation,documentation_informed_not_engine_validated,not_validated_attack,synthetic_documentation_informed,false,false,SOURCES_PER_DIALECT_AND_ABSTRACT,af0669a27bb976cb4d8bb952f6d4326361a3fff47389b409378b51ebf8772d9c,AF_01_D01_R01,AF_01,SQL/SQL++ WHERE predicate fragment; none; DO_NOT_TREAT_AS_CONFIRMED_SQLi
A_Y2_D01_R01_V06,A,Y2_Variation,D1,PostgreSQL,SQL,Y2_R01,AF_01,Y2_R01_D01,Y2_R01_D01_SLOTS,6,score  =  76,score = 76,,"[""eq"",""score"",76,null]",num_eq,variation,documentation_informed_not_engine_validated,not_validated_attack,synthetic_documentation_informed,false,false,SOURCES_PER_DIALECT_AND_ABSTRACT,f8f2db700d8dff30a94d970f4eabf67fde14ad2f0930ff2760a8e5c7480d428d,AF_01_D01_R01,AF_01,SQL/SQL++ WHERE predicate fragment; none; DO_NOT_TREAT_AS_CONFIRMED_SQLi
A_Y2_D01_R01_V07,A,Y2_Variation,D1,PostgreSQL,SQL,Y2_R01,AF_01,Y2_R01_D01,Y2_R01_D01_SLOTS,7,(score = 89),score = 89,,"[""eq"",""score"",89,null]",num_eq,variation,documentation_informed_not_engine_validated,not_validated_attack,synthetic_documentation_informed,false,false,SOURCES_PER_DIALECT_AND_ABSTRACT,59892587bd0bd5fe523046bc02873d49d5ec92768796a7732ab4c808f0f43844,AF_01_D01_R01,AF_01,SQL/SQL++ WHERE predicate fragment; none; DO_NOT_TREAT_AS_CONFIRMED_SQLi
A_Y2_D01_R01_V08,A,Y2_Variation,D1,PostgreSQL,SQL,Y2_R01,AF_01,Y2_R01_D01,Y2_R01_D01_SLOTS,8,score = 102,score = 102,,"[""eq"",""score"",102,null]",num_eq,variation,documentation_informed_not_engine_validated,not_validated_attack,synthetic_documentation_informed,false,false,SOURCES_PER_DIALECT_AND_ABSTRACT,e1abe8ee888c82d14f8472c2599899461b80beb819947aeed49c964690364b9e,AF_01_D01_R01,AF_01,SQL/SQL++ WHERE predicate fragment; none; DO_NOT_TREAT_AS_CONFIRMED_SQLi
A_Y2_D01_R01_V09,A,Y2_Variation,D1,PostgreSQL,SQL,Y2_R01,AF_01,Y2_R01_D01,Y2_R01_D01_SLOTS,9,score  =  115,score = 115,,"[""eq"",""score"",115,null]",num_eq,variation,documentation_informed_not_engine_validated,not_validated_attack,synthetic_documentation_informed,false,false,SOURCES_PER_DIALECT_AND_ABSTRACT,aee6fd89360a23f7508347e770f4a2e177fe29eeb7b5193020e85f9974e5af49,AF_01_D01_R01,AF_01,SQL/SQL++ WHERE predicate fragment; none; DO_NOT_TREAT_AS_CONFIRMED_SQLi
A_Y2_D01_R01_V10,A,Y2_Variation,D1,PostgreSQL,SQL,Y2_R01,AF_01,Y2_R01_D01,Y2_R01_D01_SLOTS,10,(score = 128),score = 128,,"[""eq"",""score"",128,null]",num_eq,variation,documentation_informed_not_engine_validated,not_validated_attack,synthetic_documentation_informed,false,false,SOURCES_PER_DIALECT_AND_ABSTRACT,876e04444da7733d0652cd7cbe1e418451bcfb2056ddb43ba298cb15306b89c3,AF_01_D01_R01,AF_01,SQL/SQL++ WHERE predicate fragment; none; DO_NOT_TREAT_AS_CONFIRMED_SQLi
