payload,sqli_type,db_engine,evasion_tech,confidence,classification_method,source,context
"For medical nursing students O 'Malley , come United States Europe join Bwelle missions , 's hands-on opportunity 'd never get home",lateral,unknown,,0.8,rule,sqliv5_csv,unknown
SELECT * FROM wp_posts LEFT JOIN wp_postmeta ON ( wp_posts.ID = wp_postmeta.post_id ) WHERE ( post_type = 'page' AND post_status = 'publish' ) AND wp_postmeta.meta_key = '_wp_page_template' AND wp_postmeta.meta_value = 'template/reset_password.php' ORDER BY wp_posts.post_title ASC,lateral,unknown,case_variation,0.8,rule,sqliv3_csv,string_single_quote
"SELECT t.*, tt.* FROM wp_terms AS t INNER JOIN wp_term_taxonomy AS tt ON t.term_id = tt.term_id WHERE tt.taxonomy IN ( 'wp_theme' ) AND t.name IN ( 'houzez-child' )",lateral,unknown,case_variation,0.8,rule,sqliv3_csv,in_clause
"SELECT t.*, tt.* FROM wp_terms AS t INNER JOIN wp_term_taxonomy AS tt ON t.term_id = tt.term_id WHERE t.term_id = 2710",lateral,unknown,case_variation,0.8,rule,sqliv3_csv,unknown
SELECT * FROM wp_posts LEFT JOIN wp_postmeta ON ( wp_posts.ID = wp_postmeta.post_id ) WHERE ( post_type = 'page' AND post_status = 'publish' ) AND wp_postmeta.meta_key = '_wp_page_template' AND wp_postmeta.meta_value = 'template/template-compare.php' ORDER BY wp_posts.post_title ASC,lateral,unknown,case_variation,0.8,rule,sqliv3_csv,string_single_quote
SELECT * FROM wp_posts LEFT JOIN wp_postmeta ON ( wp_posts.ID = wp_postmeta.post_id ) WHERE ( post_type = 'page' AND post_status = 'publish' ) AND wp_postmeta.meta_key = '_wp_page_template' AND wp_postmeta.meta_value = 'template/template-thankyou.php' ORDER BY wp_posts.post_title ASC,lateral,unknown,case_variation,0.8,rule,sqliv3_csv,string_single_quote
"SELECT t.*, tt.* FROM wp_terms AS t INNER JOIN wp_term_taxonomy AS tt ON t.term_id = tt.term_id WHERE tt.taxonomy IN ( 'property_label' ) ORDER BY t.name ASC",lateral,unknown,case_variation,0.8,rule,sqliv3_csv,order_by
"SELECT t.*, tt.* FROM wp_terms AS t INNER JOIN wp_term_taxonomy AS tt ON t.term_id = tt.term_id WHERE tt.taxonomy IN ( 'property_status' ) ORDER BY t.name ASC",lateral,unknown,case_variation,0.8,rule,sqliv3_csv,order_by
"SELECT t.*, tt.* FROM wp_terms AS t INNER JOIN wp_term_taxonomy AS tt ON t.term_id = tt.term_id WHERE tt.taxonomy IN ( 'property_type' ) ORDER BY t.name ASC",lateral,unknown,case_variation,0.8,rule,sqliv3_csv,order_by
"SELECT t.*, tt.* FROM wp_terms AS t INNER JOIN wp_term_taxonomy AS tt ON t.term_id = tt.term_id WHERE t.term_id = 715",lateral,unknown,case_variation,0.8,rule,sqliv3_csv,unknown
SELECT tr.object_id FROM wp_term_relationships AS tr INNER JOIN wp_term_taxonomy AS tt ON tr.term_taxonomy_id = tt.term_taxonomy_id WHERE tt.taxonomy IN ( 'nav_menu' ) AND tt.term_id IN ( '715' ) ORDER BY tr.object_id ASC,lateral,unknown,case_variation,0.8,rule,sqliv3_csv,order_by
"SELECT t.*, tt.* FROM wp_terms AS t INNER JOIN wp_term_taxonomy AS tt ON t.term_id = tt.term_id WHERE t.term_id = 716",lateral,unknown,case_variation,0.8,rule,sqliv3_csv,unknown
SELECT tr.object_id FROM wp_term_relationships AS tr INNER JOIN wp_term_taxonomy AS tt ON tr.term_taxonomy_id = tt.term_taxonomy_id WHERE tt.taxonomy IN ( 'nav_menu' ) AND tt.term_id IN ( '716' ) ORDER BY tr.object_id ASC,lateral,unknown,case_variation,0.8,rule,sqliv3_csv,order_by
