row_index,payload_norm,label,sqli_type_hint
27930,SELECT AVG ( during ) FROM buy SELECT SUM ( brown ),0,
27931,SELECT COUNT ( angry ) FROM everywhere,0,
27932,SELECT COUNT ( height ) FROM studying,0,
27933,SELECT AVG ( late ) FROM vote,0,
27934,SELECT * FROM brain WHERE activity NOT LIKE 'bush%',0,
27935,SELECT * FROM settlers WHERE decide LIKE '%trace%',0,
27936,SELECT * FROM inside WHERE fear NOT LIKE '[zulu]%',0,
27937,"SELECT * FROM meet WHERE press IN ( 'original', 'individual', 'firm' )",0,
27938,"SELECT * FROM hunt WHERE drew NOT IN ( 'snake', 'hill', 'plural' )",0,
27939,SELECT * FROM everyone WHERE pond IN ( SELECT either FROM average ),0,
27940,SELECT * FROM lower WHERE football BETWEEN 10 AND 20,0,
27941,SELECT * FROM essential WHERE Price NOT BETWEEN 10 AND 20,0,
27942,SELECT * FROM lift WHERE everyone BETWEEN 'joy' AND 'construction',0,
27943,"SELECT * FROM meat WHERE powerful BETWEEN ""operation"" AND ""knife""",0,
27944,SELECT * FROM weak WHERE smaller NOT BETWEEN 'unit' AND 'dear',0,
27945,SELECT * FROM chart WHERE inch BETWEEN never09/01/1996mean AND done15/31/1996noise,0,
27946,SELECT * FROM expect WHERE nest BETWEEN '1996-07-01' AND '1996-07-31',0,
27947,SELECT AVG ( captain ) FROM hurried SELECT SUM ( certain ),0,
27948,SELECT COUNT ( struck ) FROM teach,0,
27949,SELECT COUNT ( whetherID ) FROM partly,0,
27950,SELECT AVG ( Price ) FROM western,0,
27951,SELECT * FROM not WHERE change BETWEEN '1996-07-01' AND '1996-07-31',0,
27952,"SELECT towardID AS ID, needle AS influence FROM fly",0,
27953,"SELECT recordID AS ID, southern AS famous FROM rabbit",0,
27954,"SELECT stared AS else, poetry AS [sand] FROM split",0,
27955,"SELECT busy, heard+ ', ' + interior+ ' ' + history+ ', ' + usually AS own FROM team",0,
27956,SELECT importance ( s ) FROM earth INNER JOIN,0,
27957,"SELECT complete,sit,push,including,compare ( ( energy JOIN use ON row.not = door.southern ) INNER JOIN policemanON Orders.halfway = explain.pitchID )",0,
27958,SELECT vegetable ( s ) FROM solar LEFT JOIN,0,
27959,"SELECT shine,sharp,progress FROM slope LEFT JOIN Orders ON impossible.explanationID = shape.good ORDER BY join.bee",0,
