WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
I0000 00:00:1778559009.146844    2680 port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
I0000 00:00:1778559011.015121    2680 port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
WAF disabled (--no_waf)
Device: cuda
Vocab size: 89
Loaded MLE checkpoint (val_ppl=1.2743555710579424)
Re-lex dict loaded: ['__STR__', '__INT__', '__HEX__', '__TABLE__', '__COL__', '__IDENT__', '__TIME__', '__BIGINT__']
Total adversarial steps: 20000
Entropy coeff: warmup=0.05 adv=0.03 ref=0.01
Temperature: warmup=1.2 adv=1.1 ref=1.0
C:\Users\Admin\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\autograd\graph.py:869: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\aten\src\ATen\cuda\CublasHandlePool.cpp:335.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
[   50/20000] phase=warmup g=-0.4886 pg=-0.2872 H=4.028 r=-0.3706 ema=-0.2924 adv_std=0.2855 unique=58/64
[  100/20000] phase=warmup g=-0.4253 pg=-0.3722 H=1.063 r=0.3913 ema=0.1579 adv_std=0.1421 unique=6/64
[  150/20000] phase=warmup g=-0.0784 pg=-0.0649 H=0.270 r=0.3913 ema=0.3759 adv_std=0.1608 unique=7/64
[  200/20000] phase=warmup g=-0.2593 pg=-0.2398 H=0.390 r=0.3791 ema=0.3981 adv_std=0.1925 unique=8/64
[  250/20000] phase=warmup g=-0.0608 pg=-0.0445 H=0.325 r=0.3934 ema=0.4016 adv_std=0.1627 unique=18/64
[  300/20000] phase=warmup g=-0.0361 pg=-0.0201 H=0.320 r=0.4056 ema=0.4064 adv_std=0.1150 unique=13/64
[  350/20000] phase=warmup g=-0.0589 pg=-0.0416 H=0.348 r=0.4100 ema=0.4080 adv_std=0.0938 unique=12/64
[  400/20000] phase=warmup g=-0.0290 pg=-0.0185 H=0.210 r=0.4056 ema=0.3802 adv_std=0.1150 unique=5/64
[  450/20000] phase=warmup g=-0.0349 pg=-0.0185 H=0.327 r=0.4100 ema=0.4058 adv_std=0.1181 unique=12/64
[  500/20000] phase=warmup g=0.0024 pg=0.0266 H=0.484 r=0.5019 ema=0.4558 adv_std=0.1425 unique=39/64
[  550/20000] phase=warmup g=-0.0250 pg=0.0047 H=0.594 r=0.4909 ema=0.5009 adv_std=0.1430 unique=51/64
[  600/20000] phase=warmup g=-0.1000 pg=-0.0592 H=0.816 r=0.4344 ema=0.4827 adv_std=0.3098 unique=63/64
[  650/20000] phase=warmup g=-0.0666 pg=-0.0217 H=0.897 r=0.4566 ema=0.4776 adv_std=0.2496 unique=60/64
[  700/20000] phase=warmup g=-0.0503 pg=-0.0025 H=0.956 r=0.4941 ema=0.4966 adv_std=0.1960 unique=62/64
[  750/20000] phase=warmup g=-0.0677 pg=-0.0176 H=1.001 r=0.4963 ema=0.5130 adv_std=0.1975 unique=64/64
[  800/20000] phase=warmup g=-0.1276 pg=-0.0768 H=1.015 r=0.4819 ema=0.5203 adv_std=0.2334 unique=63/64
[  850/20000] phase=warmup g=-0.0434 pg=0.0074 H=1.016 r=0.5259 ema=0.5182 adv_std=0.1428 unique=62/64
[  900/20000] phase=warmup g=-0.0272 pg=0.0229 H=1.002 r=0.5403 ema=0.5242 adv_std=0.0491 unique=64/64
[  950/20000] phase=warmup g=-0.0332 pg=0.0189 H=1.042 r=0.5381 ema=0.5269 adv_std=0.0570 unique=64/64
[ 1000/20000] phase=warmup g=-0.0756 pg=-0.0216 H=1.079 r=0.5194 ema=0.5263 adv_std=0.1587 unique=64/64
  Checkpoint: SeqGAN_SQLi\checkpoints\v3\adv_step1000.pt
  Reward stats: {'phase': 'warmup', 'cache': {'size': 36926, 'hits': 27074, 'misses': 36926, 'hit_rate': 0.42303125}, 'ast': {'cache_size': 0, 'parse_fail_rate': 0.0, 'total_seen': 0}}
[ 1050/20000] phase=warmup g=-0.0164 pg=0.0430 H=1.188 r=0.5359 ema=0.5096 adv_std=0.0588 unique=64/64
[ 1100/20000] phase=warmup g=-0.0780 pg=-0.0186 H=1.189 r=0.4919 ema=0.5072 adv_std=0.1912 unique=64/64
[ 1150/20000] phase=warmup g=-0.0469 pg=0.0116 H=1.169 r=0.5238 ema=0.5120 adv_std=0.1411 unique=64/64
[ 1200/20000] phase=warmup g=-0.0552 pg=0.0038 H=1.180 r=0.5084 ema=0.5209 adv_std=0.1483 unique=64/64
[ 1250/20000] phase=warmup g=-0.0877 pg=-0.0276 H=1.201 r=0.5072 ema=0.5216 adv_std=0.1888 unique=64/64
[ 1300/20000] phase=warmup g=-0.0284 pg=0.0317 H=1.202 r=0.5228 ema=0.5215 adv_std=0.1094 unique=63/64
