run_id,cell_ruleset_id,root_id,structure_cell_id,module_id,semantic_family,target_quota,generated_count,unique_count,accepted_count,ruleset_match_rate,skeleton_match_rate,slot_match_rate,off_ruleset_rate,near_duplicate_rate,mean_reward_total,mean_nearest_train_similarity,failure_top1,failure_top2
BOOTSTRAP_V4_1_TO_V5_RULESET_CONDITIONED,RS_Y1_R001_C01,PG_BOOL_R001,PG_BOOL_R001_C01,Y1_basic_boolean,comparison_numeric,6,6,6,6,1.0,1.0,1.0,0.0,0.0,0.9350000000000002,0.0,none,not_computed
BOOTSTRAP_V4_1_TO_V5_RULESET_CONDITIONED,RS_Y1_R001_C02,PG_BOOL_R001,PG_BOOL_R001_C02,Y1_basic_boolean,comparison_numeric,6,6,6,6,1.0,1.0,1.0,0.0,0.0,0.9350000000000002,0.0,none,not_computed
BOOTSTRAP_V4_1_TO_V5_RULESET_CONDITIONED,RS_Y1_R001_C03,PG_BOOL_R001,PG_BOOL_R001_C03,Y1_basic_boolean,comparison_numeric,6,6,6,6,1.0,1.0,1.0,0.0,0.0,0.9350000000000002,0.0,none,not_computed
BOOTSTRAP_V4_1_TO_V5_RULESET_CONDITIONED,RS_Y1_R001_C04,PG_BOOL_R001,PG_BOOL_R001_C04,Y1_basic_boolean,comparison_numeric,6,6,6,6,1.0,1.0,1.0,0.0,0.0,0.9350000000000002,0.0,none,not_computed
BOOTSTRAP_V4_1_TO_V5_RULESET_CONDITIONED,RS_Y1_R001_C05,PG_BOOL_R001,PG_BOOL_R001_C05,Y1_basic_boolean,comparison_numeric,6,6,6,6,1.0,1.0,1.0,0.0,0.0,0.9350000000000002,0.0,none,not_computed
BOOTSTRAP_V4_1_TO_V5_RULESET_CONDITIONED,RS_Y1_R001_C06,PG_BOOL_R001,PG_BOOL_R001_C06,Y1_basic_boolean,comparison_numeric,6,6,6,6,1.0,1.0,1.0,0.0,0.0,0.9350000000000002,0.0,none,not_computed
BOOTSTRAP_V4_1_TO_V5_RULESET_CONDITIONED,RS_Y1_R001_C07,PG_BOOL_R001,PG_BOOL_R001_C07,Y1_basic_boolean,comparison_numeric,6,6,6,6,1.0,1.0,1.0,0.0,0.0,0.9350000000000002,0.0,none,not_computed
BOOTSTRAP_V4_1_TO_V5_RULESET_CONDITIONED,RS_Y1_R001_C08,PG_BOOL_R001,PG_BOOL_R001_C08,Y1_basic_boolean,comparison_numeric,6,6,6,6,1.0,1.0,1.0,0.0,0.0,0.9350000000000002,0.0,none,not_computed
BOOTSTRAP_V4_1_TO_V5_RULESET_CONDITIONED,RS_Y1_R001_C09,PG_BOOL_R001,PG_BOOL_R001_C09,Y1_basic_boolean,comparison_numeric,6,6,6,6,1.0,1.0,1.0,0.0,0.0,0.9350000000000002,0.0,none,not_computed
BOOTSTRAP_V4_1_TO_V5_RULESET_CONDITIONED,RS_Y1_R001_C10,PG_BOOL_R001,PG_BOOL_R001_C10,Y1_basic_boolean,comparison_numeric,6,6,6,6,1.0,1.0,1.0,0.0,0.0,0.9350000000000002,0.0,none,not_computed
BOOTSTRAP_V4_1_TO_V5_RULESET_CONDITIONED,RS_Y1_R002_C01,PG_BOOL_R002,PG_BOOL_R002_C01,Y1_basic_boolean,comparison_numeric,6,6,6,6,1.0,1.0,1.0,0.0,0.0,0.9350000000000002,0.0,none,not_computed
BOOTSTRAP_V4_1_TO_V5_RULESET_CONDITIONED,RS_Y1_R002_C02,PG_BOOL_R002,PG_BOOL_R002_C02,Y1_basic_boolean,comparison_numeric,6,6,6,6,1.0,1.0,1.0,0.0,0.0,0.9350000000000002,0.0,none,not_computed
BOOTSTRAP_V4_1_TO_V5_RULESET_CONDITIONED,RS_Y1_R002_C03,PG_BOOL_R002,PG_BOOL_R002_C03,Y1_basic_boolean,comparison_numeric,6,6,6,6,1.0,1.0,1.0,0.0,0.0,0.9350000000000002,0.0,none,not_computed
BOOTSTRAP_V4_1_TO_V5_RULESET_CONDITIONED,RS_Y1_R002_C04,PG_BOOL_R002,PG_BOOL_R002_C04,Y1_basic_boolean,comparison_numeric,6,6,6,6,1.0,1.0,1.0,0.0,0.0,0.9350000000000002,0.0,none,not_computed
BOOTSTRAP_V4_1_TO_V5_RULESET_CONDITIONED,RS_Y1_R002_C05,PG_BOOL_R002,PG_BOOL_R002_C05,Y1_basic_boolean,comparison_numeric,6,6,6,6,1.0,1.0,1.0,0.0,0.0,0.9350000000000002,0.0,none,not_computed
BOOTSTRAP_V4_1_TO_V5_RULESET_CONDITIONED,RS_Y1_R002_C06,PG_BOOL_R002,PG_BOOL_R002_C06,Y1_basic_boolean,comparison_numeric,6,6,6,6,1.0,1.0,1.0,0.0,0.0,0.9350000000000002,0.0,none,not_computed
BOOTSTRAP_V4_1_TO_V5_RULESET_CONDITIONED,RS_Y1_R002_C07,PG_BOOL_R002,PG_BOOL_R002_C07,Y1_basic_boolean,comparison_numeric,6,6,6,6,1.0,1.0,1.0,0.0,0.0,0.9350000000000002,0.0,none,not_computed
BOOTSTRAP_V4_1_TO_V5_RULESET_CONDITIONED,RS_Y1_R002_C08,PG_BOOL_R002,PG_BOOL_R002_C08,Y1_basic_boolean,comparison_numeric,6,6,6,6,1.0,1.0,1.0,0.0,0.0,0.9350000000000002,0.0,none,not_computed
BOOTSTRAP_V4_1_TO_V5_RULESET_CONDITIONED,RS_Y1_R002_C09,PG_BOOL_R002,PG_BOOL_R002_C09,Y1_basic_boolean,comparison_numeric,6,6,6,6,1.0,1.0,1.0,0.0,0.0,0.9350000000000002,0.0,none,not_computed
BOOTSTRAP_V4_1_TO_V5_RULESET_CONDITIONED,RS_Y1_R002_C10,PG_BOOL_R002,PG_BOOL_R002_C10,Y1_basic_boolean,comparison_numeric,6,6,6,6,1.0,1.0,1.0,0.0,0.0,0.9350000000000002,0.0,none,not_computed
